player_id,names,role,batting_style,bowling_style,image,batting_last_3_avg,batting_last_5_avg,batting_last_10_avg,batting_last_20_avg,batting_all_matches_avg,bowling_last_3_avg,bowling_last_5_avg,bowling_last_10_avg,bowling_last_20_avg,bowling_all_matches_avg,fielding_last_3_avg,fielding_last_5_avg,fielding_last_10_avg,fielding_last_20_avg,fielding_all_matches_avg
4b0e3049,Alleyne,,,,,,,,,,,,,,,,,,,
4b0e3049,A Alleyne,Bowling Allrounder,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c254952/aaliyah-alleyne.jpg,,,,,,,,,,,,,,,
6a58e069,A A Bamal,Bowler,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/arun-bamal.jpg,,,,,,,,,,,,,,,
6a58e069,Arun Bamal,Bowler,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/arun-bamal.jpg,,,,,,,,,,,,,,,
b690f34a,A A Barot,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c169775/avi-barot.jpg,,,,,,,,,,,,,,,
b690f34a,Avi Barot,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c169775/avi-barot.jpg,,,,,,,,,,,,,,,
44e58b5b,A A Chakraborty,,,,,,,,,,,,,,,,,,,
44e58b5b,Abhijit Chakraborty,Bowler,Right Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abhijit-chakraborty.jpg,,,,,,,,,,,,,,,
29d72eb2,A Chavan,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ankeet-chavan.jpg,0.0,0.0,1.3,1.0769230769230769,1.0769230769230769,10.333333333333334,5.4,16.8,17.846153846153847,17.846153846153847,0.0,1.6,1.6,1.8461538461538465,1.8461538461538465
4c931d56,Allan Donald,Batsman,Right Handed Bat,Right-arm fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c157340/allan-donald.jpg,,,,,,,,,,,,,,,
797f52cc,AG Achar,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156165/ajit-agarkar.jpg,,,,,,,,,,,,,,,
4ed49d3d,A Herwadkar,Batsman,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c154670/akhil-herwadkar.jpg,,,,,,,,,,,,,,,
2815fe50,A Jhunjhunwala,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abhishek-jhunjhunwala.jpg,7.333333333333333,5.4,6.9,11.65,11.904761904761903,13.666666666666666,8.2,4.1,2.05,1.6666666666666667,2.6666666666666665,3.2,6.0,5.4,5.142857142857143
16605a1b,Abrar Kazi,Bowler,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abrar-kazi.jpg,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0
8fa8c6e2,Arthur Mailey,Batsman,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/arthur-mailey.jpg,,,,,,,,,,,,,,,
edb3df84,Ashley Mallett,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ashley-mallett.jpg,,,,,,,,,,,,,,,
7f8a923e,Aamir Nazir,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/aamer-nazir.jpg,,,,,,,,,,,,,,,
f49079b8,Aamir Sohail,Batsman,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155804/aamer-sohail.jpg,,,,,,,,,,,,,,,
907d6e58,A Yamim,Bowler,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/aamer-yamin.jpg,,,,,,,,,,,,,,,
2c3afa34,Aamir,,,,,,,,,,,,,,,,,,,
2c3afa34,A Gani,Bowling Allrounder,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c152759/aamir-gani.jpg,,,,,,,,,,,,,,,
7ecb9a14,A Kaleem,Batting Allrounder,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c154951/aamir-kaleem.jpg,,,,,,,,,,,,,,,
7ecb9a14,Aamer Kaleem,Batting Allrounder,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c154951/aamir-kaleem.jpg,,,,,,,,,,,,,,,
38a36999,Annica Andrew,,,,,,,,,,,,,,,,,,,
7081491e,S Auma,,,,,,,,,,,,,,,,,,,
7081491e,A Obanda,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c154454/alex-obanda.jpg,,,,,,,,,,,,,,,
7c1ba524,A Patil,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c332897/axar-patel.jpg,,,,,,,,,,,,,,,
70d57519,A Atkinson,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c351572/gus-atkinson.jpg,,,,,,,,,,,,,,,
70d57519,Atkinson,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c351572/gus-atkinson.jpg,,,,,,,,,,,,,,,
1911dcbc,Perez Rivero Agustin,,,,,,,,,,,,,,,,,,,
21d38d47,Aravind,Bowler,Left Handed Bat,Left-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/sreenath-aravind.jpg,,,,,,,,,,,,,,,
cd4d7695,A Sheikh,WK-Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/aasif-sheikh.jpg,,,,,,,,,,,,,,,
eab74985,A Beard,Bowler,Left Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156828/aaron-beard.jpg,,,,,,,,,,,,,,,
eab74985,Beard,Bowler,Left Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156828/aaron-beard.jpg,,,,,,,,,,,,,,,
17aa4f1d,A Jones,Batsman,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/aaron-jones.jpg,,,,,,,,,,,,,,,
90a5e58a,A A Sanklecha,Bowler,Left Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/anupam-sanklecha.jpg,,,,,,,,,,,,,,,
90a5e58a,Anupam Sanklecha,Bowler,Left Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/anupam-sanklecha.jpg,,,,,,,,,,,,,,,
1c2a64cd,Ashish Reddy,Bowling Allrounder,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ashish-reddy.jpg,5.666666666666667,17.2,15.3,14.1,11.161290322580646,11.0,6.6,14.9,9.1,17.64516129032258,2.6666666666666665,1.6,2.2,3.1,2.4516129032258065
1c2a64cd,AA Reddy,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c254781/arundhati-reddy.jpg,5.666666666666667,17.2,15.3,14.1,11.161290322580646,11.0,6.6,14.9,9.1,17.64516129032258,2.6666666666666665,1.6,2.2,3.1,2.4516129032258065
9244df4b,Ashokan,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/arun-ashokan.jpg,,,,,,,,,,,,,,,
1cca37c8,Ali Bacher,Batsman,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c157316/ali-bacher.jpg,,,,,,,,,,,,,,,
872b03f7,Ayush Badoni,Batting Allrounder,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ayush-badoni.jpg,39.0,28.2,26.5,22.1,18.904761904761905,0.0,0.0,0.0,0.0,1.1904761904761905,0.0,0.0,1.6,1.6,2.619047619047619
fa463154,Ajit Agarkar,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156165/ajit-agarkar.jpg,3.0,2.4,2.0,2.3,5.047619047619048,-2.6666666666666665,-1.6,13.7,19.55,20.357142857142858,2.6666666666666665,3.2,2.4,1.9,1.1904761904761905
fa463154,A Agarkar,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156165/ajit-agarkar.jpg,3.0,2.4,2.0,2.3,5.047619047619048,-2.6666666666666665,-1.6,13.7,19.55,20.357142857142858,2.6666666666666665,3.2,2.4,1.9,1.1904761904761905
6ef13460,Andy Balbirnie,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244616/andrew-balbirnie.jpg,,,,,,,,,,,,,,,
d3a3e82d,Adrian Barath,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c159975/adrian-barath.jpg,17.666666666666668,17.666666666666668,17.666666666666668,17.666666666666668,17.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3a3e82d,A Barath,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c159975/adrian-barath.jpg,17.666666666666668,17.666666666666668,17.666666666666668,17.666666666666668,17.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41ce15da,Abbas Baig,Batsman,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abbas-ali-baig.jpg,,,,,,,,,,,,,,,
41ce15da,AA Baig,Batsman,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abbas-ali-baig.jpg,,,,,,,,,,,,,,,
66b30f71,Ashoke Dinda,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155140/ashok-dinda.jpg,2.6666666666666665,1.6,0.8,0.5,0.2051282051282051,12.666666666666666,34.0,22.6,26.05,29.025641025641026,2.0,1.2,0.6,0.7,1.1025641025641026
66b30f71,A Dinda,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155140/ashok-dinda.jpg,2.6666666666666665,1.6,0.8,0.5,0.2051282051282051,12.666666666666666,34.0,22.6,26.05,29.025641025641026,2.0,1.2,0.6,0.7,1.1025641025641026
705a05c8,A Halim,Bowler,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abdul-halim.jpg,,,,,,,,,,,,,,,
8ab49ad2,A Bayoumy,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abdullah-bayoumy.jpg,,,,,,,,,,,,,,,
fc2fffb5,Abdullah Shafiq,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352418/abdullah-shafique.jpg,,,,,,,,,,,,,,,
fc2fffb5,A Shafique,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352418/abdullah-shafique.jpg,,,,,,,,,,,,,,,
0b1dadd2,Abdul Qadir,Batsman,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155520/abdul-qadir.jpg,,,,,,,,,,,,,,,
12f53be7,Abdul Rahman Bhadelia,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352442/abdul-rahman.jpg,,,,,,,,,,,,,,,
390ff45b,Abdur Razzaq,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155831/abdul-razzaq.jpg,,,,,,,,,,,,,,,
390ff45b,A Razzaq,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155831/abdul-razzaq.jpg,,,,,,,,,,,,,,,
8e514b4c,A Samad,Batting Allrounder,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226276/abdul-samad.jpg,8.0,7.4,9.0,16.05,14.92,0.0,0.0,0.0,0.0,0.84,2.6666666666666665,3.2,5.2,4.6,4.4
d094e7d1,A Rehman,Bowler,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156793/abdur-rehman.jpg,,,,,,,,,,,,,,,
ef618cab,Andrew Begg,--,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/andrew-begg.jpg,,,,,,,,,,,,,,,
2ccbf856,Anika Benjamin,,,,,,,,,,,,,,,,,,,
2ccbf856,Annica Benjamin,Batsman,Right Handed Bat,Right-arm fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/winston-benjamin.jpg,,,,,,,,,,,,,,,
875909c0,Assad Fudadin,Batting Allrounder,Left Handed Bat,Left-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/assad-fudadin.jpg,,,,,,,,,,,,,,,
5fd3f9db,Abhijeet,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abhijeet-tomar.jpg,,,,,,,,,,,,,,,
ef131544,Avijit Singha Roy,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/avijit-singh.jpg,,,,,,,,,,,,,,,
ef131544,Abhijit Singha Roy,,,,,,,,,,,,,,,,,,,
c224c5ef,A K Rana,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/nasrulla-rana.jpg,,,,,,,,,,,,,,,
c224c5ef,AK Rana,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c332892/ajinkya-rahane.jpg,,,,,,,,,,,,,,,
18953b31,ABHISHEK BHANDARI,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abhishek-bhandari.jpg,,,,,,,,,,,,,,,
43d1ee59,Abhishek Kumar Raman,Bowling Allrounder,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abhishek-kumar.jpg,,,,,,,,,,,,,,,
a92a9292,Sakuja,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abhishek-sakuja.jpg,,,,,,,,,,,,,,,
f29185a1,A Sharma,Batting Allrounder,Left Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c153963/abhishek-sharma.jpg,6.666666666666667,45.2,38.7,39.75,29.31746031746032,20.0,12.0,6.0,3.95,4.841269841269841,5.333333333333333,3.2,3.2,3.6,2.634920634920635
7873b849,Anthony Howard,Batsman,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/tony-howard.jpg,,,,,,,,,,,,,,,
7873b849,Tony Howard,Batsman,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/tony-howard.jpg,,,,,,,,,,,,,,,
5d836a72,A Ali,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244935/asif-ali.jpg,,,,,,,,,,,,,,,
16043342,Andrew McDonald,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c152428/andrew-mcdonald.jpg,5.666666666666667,14.2,15.0,15.0,15.0,48.333333333333336,34.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0
16043342,A McDonald,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c152428/andrew-mcdonald.jpg,5.666666666666667,14.2,15.0,15.0,15.0,48.333333333333336,34.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0
64fb6b15,Bohara,Bowler,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abinash-bohara.jpg,,,,,,,,,,,,,,,
4157fefb,Alan Brown,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/alan-brown.jpg,,,,,,,,,,,,,,,
12dff268,Augustus Tancred,,,,,,,,,,,,,,,,,,,
12dff268,Bernard Tancred,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/bernard-tancred.jpg,,,,,,,,,,,,,,,
1bb0993e,A Jayed,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c170927/abu-jayed.jpg,,,,,,,,,,,,,,,
5c756df3,A Hasan,Bowler,Left Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abul-hasan.jpg,,,,,,,,,,,,,,,
