match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1304050,872b03f7,2022-03-28,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,54,42,4,3,0,0,0,0,0,0,0,0,72,0,0,72,Shubman Gill,MS Wade,V Shankar,HH Pandya,DA Miller,R Tewatia,A Manohar,Rashid Khan,LH Ferguson,Mohammed Shami,VR Aaron
1304053,872b03f7,2022-03-31,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,19,14,0,2,0,0,0,0,0,0,0,0,25,0,0,25,RV Uthappa,RD Gaikwad,MM Ali,S Dube,AT Rayudu,RA Jadeja,MS Dhoni,D Pretorius,DJ Bravo,TU Deshpande,Mukesh Choudhary
1304058,872b03f7,2022-04-04,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,19,13,3,0,0,0,0,0,0,1,0,0,24,0,8,32,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Washington Sundar,Abdul Samad,R Shepherd,B Kumar,Umran Malik,T Natarajan
1304061,872b03f7,2022-04-07,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,10,3,1,1,0,0,0,0,0,1,0,0,13,0,8,21,PP Shaw,DA Warner,R Powell,RR Pant,SN Khan,Lalit Yadav,AR Patel,SN Thakur,Kuldeep Yadav,Mustafizur Rahman,A Nortje
1304066,872b03f7,2022-04-10,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,5,7,0,0,0,0,0,0,0,0,0,0,5,0,0,5,JC Buttler,D Padikkal,SV Samson,HE van der Dussen,SO Hetmyer,R Ashwin,R Parag,TA Boult,YS Chahal,KR Sen,M Prasidh Krishna
1304072,872b03f7,2022-04-16,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ishan Kishan,RG Sharma,D Brevis,SA Yadav,Tilak Varma,KA Pollard,FA Allen,JD Unadkat,M Ashwin,JJ Bumrah,TS Mills
1304077,872b03f7,2022-04-19,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,13,13,2,0,0,0,0,0,0,0,0,0,15,0,0,15,Anuj Rawat,F du Plessis,V Kohli,GJ Maxwell,SS Prabhudessai,Shahbaz Ahmed,KD Karthik,HV Patel,PWH de Silva,JR Hazlewood,Mohammed Siraj
1304083,872b03f7,2022-04-24,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,14,11,0,1,6,1,6,0,0,0,0,0,16,25,0,41,Ishan Kishan,RG Sharma,D Brevis,SA Yadav,Tilak Varma,KA Pollard,DR Sams,JD Unadkat,HR Shokeen,JJ Bumrah,RP Meredith
1304088,872b03f7,2022-04-29,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,4,4,0,0,0,0,0,0,0,2,0,0,4,0,16,20,MA Agarwal,S Dhawan,JM Bairstow,PBB Rajapaksa,LS Livingstone,JM Sharma,R Dhawan,K Rabada,RD Chahar,Arshdeep Singh,Sandeep Sharma
1304091,872b03f7,2022-05-01,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,PP Shaw,DA Warner,MR Marsh,RR Pant,Lalit Yadav,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,Mustafizur Rahman,C Sakariya
1304099,872b03f7,2022-05-07,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,15,19,0,0,0,0,0,0,0,2,0,1,15,0,22,37,B Indrajith,AJ Finch,SS Iyer,N Rana,RK Singh,AD Russell,SP Narine,AS Roy,Shivam Mavi,TG Southee,Harshit Rana
1304103,872b03f7,2022-05-10,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,8,12,1,0,0,0,0,0,0,1,0,0,7,0,8,15,WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,AS Joseph,Yash Dayal,Mohammed Shami
1304109,872b03f7,2022-05-15,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,0,1,0,0,6,1,6,0,0,0,0,0,-2,25,0,23,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Parag,JDS Neesham,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,OC McCoy
1359477,872b03f7,2023-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,18,9,1,2,0,0,0,0,0,0,0,0,23,0,0,23,KK Ahmed,PP Shaw,DA Warner,MR Marsh,SN Khan,RR Rossouw,R Powell,Aman Hakim Khan,AR Patel,Kuldeep Yadav,C Sakariya
1359480,872b03f7,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,23,19,0,0,0,0,0,0,0,0,0,0,23,0,0,23,TU Deshpande,RD Gaikwad,DP Conway,S Dube,MM Ali,BA Stokes,AT Rayudu,RA Jadeja,MS Dhoni,MJ Santner,DL Chahar
1359484,872b03f7,2023-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fazalhaq Farooqi,Anmolpreet Singh,MA Agarwal,RA Tripathi,AK Markram,HC Brook,Washington Sundar,Abdul Samad,AU Rashid,Umran Malik,B Kumar
1359489,872b03f7,2023-04-10,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,30,29,4,0,0,0,0,0,0,0,0,0,38,0,0,38,Anuj Rawat,V Kohli,F du Plessis,GJ Maxwell,KD Karthik,MK Lomror,Shahbaz Ahmed,DJ Willey,WD Parnell,HV Patel,Mohammed Siraj
1359495,872b03f7,2023-04-15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,5,7,0,0,0,0,0,0,0,0,0,0,5,0,0,5,Atharva Taide,P Simran Singh,MW Short,Harpreet Singh,Sikandar Raza,SM Curran,JM Sharma,M Shahrukh Khan,Harpreet Brar,K Rabada,RD Chahar
1359500,872b03f7,2023-04-19,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,YS Chahal,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,Dhruv Jurel,R Ashwin,JO Holder,TA Boult
1359504,872b03f7,2023-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,8,6,0,0,0,0,0,0,0,0,0,0,8,0,0,8,J Yadav,WP Saha,Shubman Gill,HH Pandya,A Manohar,V Shankar,DA Miller,R Tewatia,Rashid Khan,Mohammed Shami,Noor Ahmad
1359512,872b03f7,2023-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,43,25,3,3,1,0,0,0,0,1,0,0,62,0,8,70,Gurnoor Brar,P Simran Singh,S Dhawan,Atharva Taide,Sikandar Raza,LS Livingstone,SM Curran,JM Sharma,M Shahrukh Khan,RD Chahar,K Rabada
1359517,872b03f7,2023-05-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,A Badoni,Lucknow Super Giants,4,11,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,V Kohli,F du Plessis,Anuj Rawat,GJ Maxwell,SS Prabhudessai,KD Karthik,MK Lomror,PWH de Silva,KV Sharma,Mohammed Siraj,JR Hazlewood
