match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
548336,99b202b3,2012-04-23,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,24,0,29,0,0,0,0,0,0,0,0,0,V Kohli,TM Dilshan,MA Agarwal,CH Gayle,AB de Villiers,SS Tiwary,DL Vettori,R Vinay Kumar,Z Khan,HV Patel,KP Appanna
548365,99b202b3,2012-05-13,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,24,4,13,0,0,0,2,0,0,114,24,138,SC Ganguly,JD Ryder,RV Uthappa,AP Majumdar,CJ Ferguson,SPD Smith,AD Mathews,B Kumar,M Kartik,R Sharma,A Nehra
548373,99b202b3,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,1,0,0,24,1,21,0,0,1,0,0,-2,29,8,35,PA Reddy,S Dhawan,JP Duminy,CL White,CA Lynn,PA Patel,A Ashish Reddy,A Mishra,DW Steyn,MS Gony,V Pratap Singh
548377,99b202b3,2012-05-20,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,12,0,24,0,0,0,0,0,0,-4,0,-4,SR Tendulkar,DR Smith,RG Sharma,KD Karthik,JEC Franklin,AT Rayudu,KA Pollard,Harbhajan Singh,SL Malinga,RP Singh,DS Kulkarni
598014,99b202b3,2013-04-14,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,18,0,14,0,0,0,0,0,0,6,0,6,Mandeep Singh,AC Gilchrist,M Vohra,DJ Hussey,Gurkeerat Singh,R Sathish,Azhar Mahmood,PP Chawla,RJ Harris,P Kumar,P Awana
598019,99b202b3,2013-04-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,12,2,8,0,0,0,0,0,0,56,0,56,SR Tendulkar,RT Ponting,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,R Dhawan,Harbhajan Singh,MG Johnson,SL Malinga,PP Ojha
598023,99b202b3,2013-04-20,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,4,6,0,0,24,0,21,0,0,1,0,0,4,4,8,16,TM Dilshan,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,KB Arun Karthik,R Rampaul,R Vinay Kumar,M Kartik,RP Singh,JD Unadkat
598026,99b202b3,2013-04-22,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,18,1,16,0,0,0,0,0,0,29,0,29,M Vijay,MEK Hussey,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,CH Morris,S Badrinath,R Ashwin,JO Holder,MM Sharma
598032,99b202b3,2013-04-27,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,18,2,13,0,0,0,0,0,0,56,0,56,PA Reddy,S Dhawan,KC Sangakkara,GH Vihari,KV Sharma,NLTC Perera,DJG Sammy,A Mishra,A Ashish Reddy,DW Steyn,I Sharma
598036,99b202b3,2013-04-29,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,24,0,39,0,0,0,0,0,0,0,0,0,A Mukund,CH Gayle,V Kohli,AB de Villiers,MC Henriques,SS Tiwary,R Rampaul,R Vinay Kumar,M Kartik,RP Singh,JD Unadkat
598047,99b202b3,2013-05-05,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,12,0,23,0,0,0,0,0,0,-4,0,-4,RV Uthappa,AJ Finch,Yuvraj Singh,MR Marsh,AD Mathews,M Rawat,UA Birla,B Kumar,WD Parnell,K Upadhyay,R Sharma
598052,99b202b3,2013-05-09,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,A Chandila,Rajasthan Royals,0,0,0,0,24,1,24,0,0,0,0,0,0,27,0,27,Mandeep Singh,AC Gilchrist,SE Marsh,DJ Hussey,DA Miller,MS Gony,R Sathish,PP Chawla,Bipul Sharma,P Kumar,P Awana
