match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
335992,0c2730df,2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,0,22,0,0,1,0,0,0,4,8,12,GC Smith,M Rawat,YK Pathan,SR Watson,M Kaif,RA Jadeja,D Salunkhe,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
336002,0c2730df,2008-05-25,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,1,35,0,0,0,1,0,0,25,12,37,AC Gilchrist,HH Gibbs,RG Sharma,LPC Silva,Y Venugopal Rao,DB Ravi Teja,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,DP Vijaykumar
336006,0c2730df,2008-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,3,7,0,0,20,0,36,0,0,0,0,0,3,-2,0,1,SE Marsh,JR Hopes,RR Sarwan,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,U Kaul,Gagandeep Singh,S Sreesanth,VRV Singh
336010,0c2730df,2008-05-08,Eden Gardens,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,18,1,22,0,0,0,0,0,0,25,0,25,A Chopra,BJ Hodge,SC Ganguly,DJ Hussey,T Taibu,LR Shukla,WP Saha,M Kartik,Umar Gul,I Sharma,AB Dinda
336012,0c2730df,2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,0,45,0,0,0,0,0,0,-4,0,-4,ST Jayasuriya,SR Tendulkar,RV Uthappa,DR Smith,AM Nayar,SM Pollock,MK Pandey,YV Takawale,DS Kulkarni,CRD Fernando,A Nehra
336016,0c2730df,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,1,0,0,24,0,40,0,0,0,0,0,-2,0,0,-2,SE Marsh,JR Hopes,LA Pomersbach,Yuvraj Singh,DPMD Jayawardene,IK Pathan,TM Srivastava,PP Chawla,U Kaul,S Sreesanth,VRV Singh
336023,0c2730df,2008-05-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,8,8,1,0,24,1,34,0,0,0,0,0,9,25,0,34,GC Smith,SA Asnodkar,SR Watson,YK Pathan,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel
336026,0c2730df,2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,2,18,0,0,0,1,0,0,56,12,68,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,S Dhawan,KD Karthik,MF Maharoof,R Bhatia,VY Mahesh,PJ Sangwan,GD McGrath
336029,0c2730df,2008-05-21,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,2,1,0,0,24,3,15,1,0,1,0,0,2,93,8,103,PA Patel,SP Fleming,MS Dhoni,SK Raina,S Badrinath,JA Morkel,S Vidyut,MS Gony,L Balaji,M Ntini,M Muralitharan
336034,0c2730df,2008-05-03,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,0,47,0,0,1,0,0,0,-4,8,4,AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma,Shahid Afridi,SB Styris,AS Yadav,SB Bangar,RP Singh,DP Vijaykumar,PP Ojha
392182,0c2730df,2009-04-18,Newlands,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,19,5,6,0,2,1,1,0,0,171,20,191,GC Smith,SA Asnodkar,NK Patel,T Henderson,YK Pathan,AD Mascarenhas,RA Jadeja,SK Warne,M Rawat,MM Patel,Kamran Khan
392185,0c2730df,2009-04-20,St George's Park,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,1,5,0,0,24,0,26,0,0,0,0,0,1,2,0,3,PA Patel,ML Hayden,SK Raina,MS Dhoni,A Flintoff,JA Morkel,S Badrinath,Joginder Sharma,L Balaji,MS Gony,M Muralitharan
392188,0c2730df,2009-04-22,Newlands,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,1,1,0,0,24,0,39,0,0,0,0,0,1,0,0,1,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,SB Styris,Y Venugopal Rao,DB Ravi Teja,FH Edwards,Harmeet Singh,PP Ojha,RP Singh
392191,0c2730df,2009-04-24,Kingsmead,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,5,3,1,0,24,1,19,0,0,0,0,0,6,31,0,37,RS Bopara,K Goel,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,WA Mota,PP Chawla,VRV Singh,RR Bose,YA Abdulla
392194,0c2730df,2009-04-26,St George's Park,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,0,22,0,0,0,0,0,0,4,0,4,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,A Mishra,DL Vettori,DP Nannes,PJ Sangwan,A Nehra
392199,0c2730df,2009-04-29,Kingsmead,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,2,17,1,0,0,0,0,0,64,0,64,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,MN van Wyk,WP Saha,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
392204,0c2730df,2009-05-01,Kingsmead,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,1,4,0,0,24,2,25,1,0,0,0,0,1,60,0,61,Yuvraj Singh,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,IK Pathan,PP Chawla,RR Powar,TM Srivastava,VS Malik,YA Abdulla
392208,0c2730df,2009-05-03,New Wanderers Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,ST Jayasuriya,SR Tendulkar,AM Rahane,JP Duminy,DJ Bravo,AM Nayar,S Dhawan,PR Shah,Harbhajan Singh,Z Khan,SL Malinga
392213,0c2730df,2009-05-07,SuperSport Park,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,12,1,12,0,0,0,0,0,0,27,0,27,GC Smith,NV Ojha,LA Carseldine,YK Pathan,RA Jadeja,AS Raut,NK Patel,SK Warne,M Morkel,MM Patel,A Singh
392218,0c2730df,2009-05-10,St George's Park,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,7,6,1,0,24,0,32,0,0,0,0,0,8,0,0,8,ST Jayasuriya,SR Tendulkar,AM Rahane,JP Duminy,AM Nayar,DJ Bravo,Harbhajan Singh,YV Takawale,C Nanda,DS Kulkarni,SL Malinga
392221,0c2730df,2009-05-12,SuperSport Park,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,1,28,0,0,0,0,0,0,25,0,25,BB McCullum,SC Ganguly,AN Ghosh,DJ Hussey,AD Mathews,WP Saha,Yashpal Singh,AB Agarkar,M Kartik,I Sharma,BAW Mendis
392224,0c2730df,2009-05-14,Kingsmead,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,2,12,0,0,2,0,0,0,56,16,72,M Vijay,ML Hayden,SK Raina,MS Dhoni,JDP Oram,S Badrinath,JA Morkel,SB Jakati,L Balaji,M Muralitharan,S Tyagi
392232,0c2730df,2009-05-19,New Wanderers Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,2,24,1,0,0,0,0,0,60,0,60,G Gambhir,V Sehwag,M Manhas,AB de Villiers,KD Karthik,AB McDonald,Y Nagar,MF Maharoof,DL Vettori,AM Salvi,A Nehra
392236,0c2730df,2009-05-21,SuperSport Park,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,2,24,0,0,0,0,0,0,52,0,52,AC Gilchrist,HH Gibbs,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,AA Bilakhia,RJ Harris,Jaskaran Singh,RP Singh,PP Ojha
392238,0c2730df,2009-05-23,New Wanderers Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,0,31,0,0,0,0,0,0,0,0,0,PA Patel,ML Hayden,MS Dhoni,SK Raina,JA Morkel,JDP Oram,S Badrinath,SB Jakati,L Balaji,M Muralitharan,MS Gony
392239,0c2730df,2009-05-24,New Wanderers Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,1,1,0,0,24,4,18,2,0,0,0,0,1,130,0,131,AC Gilchrist,HH Gibbs,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,AA Bilakhia,RJ Harris,PP Ojha,Harmeet Singh,RP Singh
419109,0c2730df,2010-03-14,Eden Gardens,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,0,19,0,0,0,0,0,0,6,0,6,BJ Hodge,MK Tiwary,SC Ganguly,CA Pujara,OA Shah,RS Gavaskar,AD Mathews,WP Saha,M Kartik,CK Langeveldt,I Sharma
419112,0c2730df,2010-03-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,0,40,0,0,1,0,0,0,0,8,8,RS Bopara,MS Bisla,Yuvraj Singh,DPMD Jayawardene,IK Pathan,KC Sangakkara,M Kaif,PP Chawla,Bipul Sharma,YA Abdulla,S Sreesanth
419115,0c2730df,2010-03-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,23,5,10,1,0,0,2,0,0,155,24,179,NV Ojha,MJ Lumb,DR Martyn,AA Jhunjhunwala,YK Pathan,P Dogra,S Narwal,SK Warne,M Morkel,MM Patel,SK Trivedi
419119,0c2730df,2010-03-20,Brabourne Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,1,20,1,0,0,0,0,0,37,0,37,ST Jayasuriya,SR Tendulkar,AP Tare,SS Tiwary,AT Rayudu,DJ Bravo,R Sathish,KA Pollard,Harbhajan Singh,Z Khan,SL Malinga
419123,0c2730df,2010-03-23,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,0,0,0,0,24,1,19,0,0,0,0,0,0,31,0,31,PA Patel,ML Hayden,GJ Bailey,SK Raina,M Vijay,S Badrinath,JA Morkel,R Ashwin,L Balaji,M Muralitharan,S Tyagi
419128,0c2730df,2010-03-25,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Kumble,Royal Challengers Bangalore,1,1,0,0,24,0,30,0,0,0,0,0,1,0,0,1,DA Warner,V Sehwag,AB de Villiers,KD Karthik,KM Jadhav,AB McDonald,M Manhas,A Mishra,DP Nannes,UT Yadav,PJ Sangwan
