date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2022-03-28,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,A Manohar,Gujarat Titans,15,7,3,0,0,0,0,0,0,0,0,0,18,0,0,18,KL Rahul,Q de Kock,E Lewis,MK Pandey,DJ Hooda,A Badoni,KH Pandya,PVD Chameera,Mohsin Khan,Ravi Bishnoi,Avesh Khan
2022-04-02,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,A Manohar,Gujarat Titans,1,2,0,0,0,0,0,0,0,2,0,1,1,0,22,23,PP Shaw,TL Seifert,Mandeep Singh,RR Pant,Lalit Yadav,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,KK Ahmed,Mustafizur Rahman
2022-04-08,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,A Manohar,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MA Agarwal,S Dhawan,JM Bairstow,LS Livingstone,JM Sharma,OF Smith,M Shahrukh Khan,K Rabada,RD Chahar,VG Arora,Arshdeep Singh
2022-04-11,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,A Manohar,Gujarat Titans,35,22,5,1,0,0,0,0,0,0,0,0,50,0,0,50,Abhishek Sharma,KS Williamson,RA Tripathi,N Pooran,AK Markram,Shashank Singh,Washington Sundar,M Jansen,B Kumar,T Natarajan,Umran Malik
2022-04-14,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,A Manohar,Gujarat Titans,43,29,4,2,0,0,0,0,0,0,0,0,57,0,0,57,JC Buttler,D Padikkal,R Ashwin,SV Samson,HE van der Dussen,SO Hetmyer,R Parag,JDS Neesham,M Prasidh Krishna,YS Chahal,KR Sen
2022-04-17,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,A Manohar,Gujarat Titans,12,12,2,0,0,0,0,0,0,1,0,0,14,0,8,22,RD Gaikwad,RV Uthappa,MM Ali,AT Rayudu,S Dube,RA Jadeja,MS Dhoni,DJ Bravo,CJ Jordan,M Theekshana,Mukesh Choudhary
2022-04-23,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,A Manohar,Gujarat Titans,2,5,0,0,0,0,0,0,0,1,0,0,2,0,8,10,SW Billings,SP Narine,SS Iyer,N Rana,RK Singh,VR Iyer,AD Russell,Shivam Mavi,UT Yadav,TG Southee,CV Varun
2022-04-27,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,A Manohar,Gujarat Titans,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Washington Sundar,Shashank Singh,M Jansen,B Kumar,T Natarajan,Umran Malik
2023-04-09,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,A Manohar,Gujarat Titans,14,8,3,0,0,0,0,0,0,1,0,0,17,0,8,25,Suyash Sharma,Rahmanullah Gurbaz,N Jagadeesan,VR Iyer,N Rana,RK Singh,AD Russell,SP Narine,SN Thakur,UT Yadav,LH Ferguson
2023-04-16,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,A Manohar,Gujarat Titans,27,13,0,3,0,0,0,0,0,0,0,0,39,0,0,39,YS Chahal,YBK Jaiswal,JC Buttler,D Padikkal,SV Samson,R Parag,SO Hetmyer,Dhruv Jurel,R Ashwin,TA Boult,Sandeep Sharma
2023-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,A Manohar,Gujarat Titans,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,A Mishra,KL Rahul,KR Mayers,KH Pandya,N Pooran,A Badoni,MP Stoinis,DJ Hooda,PN Mankad,Ravi Bishnoi,Avesh Khan
2023-04-25,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,A Manohar,Gujarat Titans,42,21,3,3,0,0,0,0,0,1,0,0,61,0,8,69,K Kartikeya,RG Sharma,Ishan Kishan,C Green,Tilak Varma,SA Yadav,TH David,N Wadhera,PP Chawla,Arjun Tendulkar,JP Behrendorff
2023-04-29,"Eden Gardens, Kolkata",Indian Premier League,T20,20,A Manohar,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suyash Sharma,N Jagadeesan,Rahmanullah Gurbaz,SN Thakur,VR Iyer,N Rana,RK Singh,AD Russell,D Wiese,SP Narine,Harshit Rana
2023-05-02,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,A Manohar,Gujarat Titans,26,36,0,1,0,0,0,0,0,1,0,0,28,0,8,36,KK Ahmed,PD Salt,DA Warner,PK Garg,RR Rossouw,MK Pandey,AR Patel,Aman Hakim Khan,RV Patel,A Nortje,Kuldeep Yadav
2023-05-05,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,A Manohar,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Ashwin,R Parag,SO Hetmyer,Dhruv Jurel,TA Boult,A Zampa,Sandeep Sharma
2023-05-07,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,A Manohar,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yash Thakur,KR Mayers,Q de Kock,DJ Hooda,MP Stoinis,N Pooran,A Badoni,Swapnil Singh,KH Pandya,Ravi Bishnoi,Mohsin Khan
2023-05-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,A Manohar,Gujarat Titans,2,3,0,0,0,0,0,0,0,1,0,0,2,0,8,10,Akash Madhwal,Ishan Kishan,RG Sharma,SA Yadav,N Wadhera,Vishnu Vinod,TH David,C Green,CJ Jordan,PP Chawla,JP Behrendorff
2024-03-24,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,A Manohar,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,MM Sharma,WP Saha,Shubman Gill,B Sai Sudharsan,Azmatullah Omarzai,DA Miller,V Shankar,R Tewatia,Rashid Khan,UT Yadav,R Sai Kishore
2024-04-10,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,A Manohar,Gujarat Titans,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,KA Maharaj,YBK Jaiswal,JC Buttler,SV Samson,R Parag,SO Hetmyer,Dhruv Jurel,R Ashwin,TA Boult,Avesh Khan,KR Sen
2024-04-17,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,A Manohar,Gujarat Titans,8,14,1,0,0,0,0,0,0,1,0,0,5,0,8,13,KK Ahmed,PP Shaw,J Fraser-McGurk,Abishek Porel,SD Hope,RR Pant,Sumit Kumar,T Stubbs,AR Patel,Kuldeep Yadav,I Sharma
