date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-08,M.Chinnaswamy Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,8,14,0,0,12,0,32,0,0,0,0,0,4,-6,0,-2,CH Gayle,SR Watson,Mandeep Singh,KM Jadhav,STR Binny,Vishnu Vinod,P Negi,Iqbal Abdulla,TS Mills,YS Chahal,B Stanlake
2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,18,3,11,0,0,1,0,0,0,85,8,93,AM Rahane,MA Agarwal,F du Plessis,RA Tripathi,BA Stokes,MS Dhoni,R Bhatia,DL Chahar,A Zampa,AB Dinda,Imran Tahir
2017-04-15,Feroz Shah Kotla,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,18,1,16,0,0,0,0,0,0,29,0,29,M Vohra,HM Amla,WP Saha,EJG Morgan,DA Miller,GJ Maxwell,AR Patel,MM Sharma,KC Cariappa,Sandeep Sharma,VR Aaron
2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,17,1,26,0,0,0,1,0,0,25,12,37,G Gambhir,C de Grandhomme,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,18,0,33,0,0,1,0,0,0,-2,8,6,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
2017-04-22,Wankhede Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,24,2,19,0,0,0,0,0,0,56,0,56,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,MG Johnson,JJ Bumrah
2017-04-28,Eden Gardens,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,18,0,36,0,0,0,0,0,0,-4,0,-4,SP Narine,G Gambhir,RV Uthappa,MK Pandey,SP Jackson,YK Pathan,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,A Mishra,Delhi Daredevils,4,11,0,0,6,0,9,0,0,0,0,0,-2,0,0,-2,MJ Guptill,HM Amla,M Vohra,SE Marsh,GJ Maxwell,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,T Natarajan
2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,24,1,23,0,0,0,0,0,0,29,0,29,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,12,0,23,0,0,0,0,0,0,-4,0,-4,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni
2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,9,15,0,0,24,1,38,0,0,1,1,0,7,25,20,52,LMP Simmons,PA Patel,KA Pollard,RG Sharma,HH Pandya,N Rana,KV Sharma,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-05-10,Green Park,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,8,2,2,0,12,1,27,0,0,0,0,1,10,19,6,35,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
2017-05-12,Feroz Shah Kotla,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,13,10,0,1,18,0,26,0,0,0,0,0,15,0,0,15,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
2017-05-14,Feroz Shah Kotla,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,7,4,0,1,12,0,26,0,0,0,0,0,9,-6,0,3,CH Gayle,Vishnu Vinod,V Kohli,TM Head,KM Jadhav,Sachin Baby,SR Watson,P Negi,HV Patel,Avesh Khan,YS Chahal
2018-04-08,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,24,0,46,0,0,0,0,0,0,-4,0,-4,KL Rahul,MA Agarwal,Yuvraj Singh,KK Nair,DA Miller,MP Stoinis,AR Patel,R Ashwin,AJ Tye,MM Sharma,Mujeeb Ur Rahman
2018-04-23,Arun Jaitley Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,1,2,0,0,24,0,33,0,0,0,0,0,1,0,0,1,KL Rahul,AJ Finch,MA Agarwal,KK Nair,Yuvraj Singh,DA Miller,R Ashwin,AJ Tye,BB Sran,AS Rajpoot,Mujeeb Ur Rahman
2018-04-27,Arun Jaitley Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,24,3,24,1,0,0,0,0,0,89,0,89,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,Shubman Gill,AD Russell,Shivam Mavi,PP Chawla,MG Johnson,Kuldeep Yadav
2018-04-30,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,24,1,30,0,0,0,0,0,0,25,0,25,SR Watson,F du Plessis,SK Raina,AT Rayudu,MS Dhoni,RA Jadeja,DJ Bravo,KV Sharma,Harbhajan Singh,KM Asif,L Ngidi
2018-05-02,Arun Jaitley Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,12,1,12,0,0,0,1,0,0,27,12,39,DJM Short,JC Buttler,SV Samson,BA Stokes,RA Tripathi,K Gowtham,JC Archer,AM Rahane,JD Unadkat,DS Kulkarni,S Gopal
2018-05-05,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,24,2,19,2,0,0,0,0,0,72,0,72,AD Hales,S Dhawan,KS Williamson,MK Pandey,YK Pathan,Shakib Al Hasan,WP Saha,B Kumar,Rashid Khan,S Kaul,Sandeep Sharma
2018-05-10,Arun Jaitley Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,18,0,29,0,0,0,0,0,0,0,0,0,AD Hales,S Dhawan,KS Williamson,MK Pandey,Shakib Al Hasan,YK Pathan,SP Goswami,Rashid Khan,B Kumar,S Kaul,Sandeep Sharma
2018-05-12,Arun Jaitley Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,24,1,33,0,0,0,0,0,0,25,0,25,PA Patel,MM Ali,V Kohli,AB de Villiers,Mandeep Singh,SN Khan,C de Grandhomme,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal
2018-05-18,Arun Jaitley Stadium,Indian Premier League,T20,20,A Mishra,Delhi Daredevils,0,0,0,0,24,2,20,0,0,0,0,0,0,54,0,54,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,SN Thakur,L Ngidi
