match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
335982,fa463154,2008-04-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,0,0,0,0,24,3,25,0,0,0,0,1,0,81,6,87,R Dravid,W Jaffer,V Kohli,JH Kallis,CL White,MV Boucher,B Akhil,AA Noffke,P Kumar,Z Khan,SB Joshi
335986,fa463154,2008-04-20,Eden Gardens,Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,0,0,0,0,12,2,19,0,0,0,0,0,0,50,0,50,AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,RG Sharma,SB Styris,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,PP Ojha
335993,fa463154,2008-04-26,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,11,9,1,0,18,1,20,0,0,0,0,0,12,27,0,39,PA Patel,ML Hayden,MS Dhoni,MEK Hussey,S Badrinath,SK Raina,JDP Oram,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan
335997,fa463154,2008-04-29,Eden Gardens,Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,2,7,0,0,25,1,23,0,0,0,0,0,2,29,0,31,AM Rahane,ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo,SM Pollock,AM Nayar,A Nehra,DS Kulkarni,CRD Fernando,PR Shah
336000,fa463154,2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,20,15,1,2,24,1,46,0,0,0,0,0,27,21,0,48,GC Smith,SA Asnodkar,M Kaif,YK Pathan,SR Watson,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel
336003,fa463154,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,1,2,0,0,18,0,26,0,0,0,0,0,1,0,0,1,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,K Goel,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,Gagandeep Singh
336021,fa463154,2008-05-16,Wankhede Stadium,Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,15,14,2,0,6,0,5,0,0,0,0,0,17,0,0,17,ST Jayasuriya,SR Tendulkar,RV Uthappa,DJ Thornely,DJ Bravo,AM Nayar,SM Pollock,RV Pawar,YV Takawale,RR Raje,A Nehra
336025,fa463154,2008-05-18,Eden Gardens,Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,MS Gony,L Balaji,M Muralitharan,M Ntini
336027,fa463154,2008-05-20,Eden Gardens,Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,5,2,1,0,18,0,32,0,0,0,0,0,6,-2,0,4,GC Smith,SA Asnodkar,Sohail Tanvir,M Kaif,SR Watson,YK Pathan,RA Jadeja,SK Warne,M Rawat,SK Trivedi,MM Patel
392184,fa463154,2009-04-19,Newlands,Indian Premier League,T20,20,AB Agarkar,Kolkata Knight Riders,7,3,0,1,6,0,17,0,0,0,0,0,9,0,0,9,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,SB Styris,Y Venugopal Rao,Harmeet Singh,PP Ojha,RP Singh,DB Ravi Teja,FH Edwards
