date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,AB Dinda,Rising Pune Supergiant,0,0,0,0,24,1,58,0,0,0,0,1,0,19,6,25,PA Patel,JC Buttler,RG Sharma,N Rana,AT Rayudu,KH Pandya,KA Pollard,HH Pandya,TG Southee,MJ McClenaghan,JJ Bumrah
2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,AB Dinda,Rising Pune Supergiant,0,0,0,0,18,1,26,0,0,0,0,0,0,25,0,25,HM Amla,M Vohra,WP Saha,AR Patel,GJ Maxwell,DA Miller,MP Stoinis,Swapnil Singh,MM Sharma,Sandeep Sharma,T Natarajan
2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,AB Dinda,Rising Pune Supergiant,7,8,1,0,18,0,37,0,0,0,0,0,8,-6,0,2,AP Tare,SW Billings,SV Samson,RR Pant,CJ Anderson,CH Morris,KK Nair,PJ Cummins,A Mishra,Z Khan,S Nadeem
2008-04-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,18,2,9,1,0,0,0,0,0,64,0,64,R Dravid,W Jaffer,V Kohli,JH Kallis,CL White,MV Boucher,B Akhil,AA Noffke,P Kumar,Z Khan,SB Joshi
2008-04-20,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,19,1,18,0,0,1,0,0,0,29,8,37,AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,RG Sharma,SB Styris,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,PP Ojha
2008-04-26,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,18,0,25,0,0,0,0,0,0,0,0,0,PA Patel,ML Hayden,MS Dhoni,MEK Hussey,S Badrinath,SK Raina,JDP Oram,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan
2008-04-29,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,1,16,1,0,0,0,0,0,39,0,39,AM Rahane,ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo,SM Pollock,AM Nayar,A Nehra,DS Kulkarni,CRD Fernando,PR Shah
2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,1,3,0,0,24,0,30,0,0,0,0,0,1,0,0,1,GC Smith,SA Asnodkar,M Kaif,YK Pathan,SR Watson,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel
2008-05-03,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,18,1,25,0,0,0,0,0,0,25,0,25,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,K Goel,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,Gagandeep Singh
2008-05-08,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,18,0,20,0,0,0,0,0,0,2,0,2,J Arunkumar,S Chanderpaul,MV Boucher,R Dravid,CL White,P Kumar,R Vinay Kumar,V Kohli,Z Khan,A Kumble,DW Steyn
2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,3,33,0,0,0,0,0,0,79,0,79,AC Gilchrist,HH Gibbs,DB Ravi Teja,RG Sharma,SB Styris,Y Venugopal Rao,SB Bangar,WPUJC Vaas,RP Singh,DP Vijaykumar,PP Ojha
2008-05-13,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,2,30,1,0,0,0,1,0,58,6,64,G Gambhir,V Sehwag,AB de Villiers,MK Tiwary,S Dhawan,TM Dilshan,A Mishra,MF Maharoof,VY Mahesh,PJ Sangwan,GD McGrath
2008-05-16,Wankhede Stadium,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,ST Jayasuriya,SR Tendulkar,RV Uthappa,DJ Thornely,DJ Bravo,AM Nayar,SM Pollock,RV Pawar,YV Takawale,RR Raje,A Nehra
2008-05-18,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,12,0,10,0,0,0,0,0,0,4,0,4,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,MS Gony,L Balaji,M Muralitharan,M Ntini
2008-05-20,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,0,32,0,0,0,0,0,0,0,0,0,GC Smith,SA Asnodkar,Sohail Tanvir,M Kaif,SR Watson,YK Pathan,RA Jadeja,SK Warne,M Rawat,SK Trivedi,MM Patel
2008-05-25,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,12,1,18,0,0,0,0,0,0,25,0,25,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,TM Srivastava,RR Powar,VRV Singh,S Sreesanth
2009-04-19,Newlands,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,2,2,0,0,18,2,24,0,0,0,0,0,2,50,0,52,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,SB Styris,Y Venugopal Rao,Harmeet Singh,PP Ojha,RP Singh,DB Ravi Teja,FH Edwards
2009-04-21,Kingsmead,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,1,35,0,0,0,0,0,0,25,0,25,RS Bopara,K Goel,IK Pathan,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,T Kohli,PP Chawla,VS Malik,VRV Singh,YA Abdulla
2009-04-27,St George's Park,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,1,0,0,12,0,24,0,0,0,0,0,-2,-4,0,-6,ST Jayasuriya,SR Tendulkar,Harbhajan Singh,JP Duminy,AM Nayar,DJ Bravo,S Dhawan,SS Tiwary,PR Shah,Z Khan,SL Malinga
2009-04-29,Kingsmead,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JH Kallis,SP Goswami,KP Pietersen,V Kohli,MV Boucher,RE van der Merwe,MK Pandey,P Kumar,Pankaj Singh,A Kumble,KP Appanna
2009-05-01,Buffalo Park,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,18,1,28,0,0,1,0,0,0,25,8,33,ST Jayasuriya,SR Tendulkar,Harbhajan Singh,AM Nayar,JP Duminy,GR Napier,AM Rahane,Z Khan,SS Tiwary,PR Shah,SL Malinga
2009-05-03,St George's Park,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,12,0,26,0,0,0,0,0,0,-6,0,-6,S Sohal,KC Sangakkara,SM Katich,DPMD Jayawardene,Yuvraj Singh,IK Pathan,RR Powar,TM Srivastava,VS Malik,PP Chawla,YA Abdulla
2009-05-05,Kingsmead,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,G Gambhir,DA Warner,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,R Bhatia,A Mishra,PJ Sangwan,A Nehra,DP Nannes
2009-05-18,SuperSport Park,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,1,29,0,0,0,0,0,0,25,0,25,PA Patel,GJ Bailey,SK Raina,MS Dhoni,JA Morkel,S Badrinath,JDP Oram,SB Jakati,L Balaji,M Muralitharan,S Tyagi
2009-05-20,Kingsmead,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,1,12,0,0,0,0,1,0,31,6,37,NV Ojha,RJ Quiney,SA Asnodkar,NK Patel,J Botha,YK Pathan,RA Jadeja,T Henderson,SK Warne,MM Patel,A Singh
2010-03-20,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,2,28,1,0,0,0,0,0,58,0,58,MJ Lumb,NV Ojha,FY Fazal,AA Jhunjhunwala,YK Pathan,AC Voges,P Dogra,SK Warne,MM Patel,SK Trivedi,SW Tait
2010-03-27,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,RS Bopara,Yuvraj Singh,MS Bisla,KC Sangakkara,DPMD Jayawardene,IK Pathan,K Goel,B Lee,PP Chawla,SJ Srivastava,VS Malik
2010-04-07,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,3,22,1,0,0,0,0,0,91,0,91,DA Warner,V Sehwag,G Gambhir,PD Collingwood,KD Karthik,KM Jadhav,MF Maharoof,R Bhatia,DL Vettori,A Mishra,PJ Sangwan
2010-04-10,M Chinnaswamy Stadium,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,1,0,0,19,2,15,1,0,0,0,0,-2,64,0,62,S Sriram,JH Kallis,R Dravid,RV Uthappa,LRPL Taylor,CL White,V Kohli,R Vinay Kumar,P Kumar,A Kumble,DW Steyn
2010-04-13,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,12,0,25,0,0,0,0,0,0,-6,0,-6,M Vijay,ML Hayden,SK Raina,S Anirudha,MS Dhoni,S Badrinath,JA Morkel,R Ashwin,SB Jakati,M Muralitharan,DE Bollinger
2010-04-17,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,3,24,0,0,0,0,0,0,81,0,81,SR Watson,NV Ojha,YK Pathan,AJ Finch,AC Voges,AS Raut,P Dogra,FY Fazal,SK Warne,SK Trivedi,Kamran Khan
2010-04-19,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Kolkata Knight Riders,0,0,0,0,24,2,22,0,0,0,0,1,0,54,6,60,AP Tare,S Dhawan,SS Tiwary,JP Duminy,R Sathish,DJ Bravo,AT Rayudu,STR Binny,R McLaren,AG Murtaza,CRD Fernando
2011-04-10,Feroz Shah Kotla,Indian Premier League,T20,20,AB Dinda,Delhi Daredevils,0,5,0,0,12,0,8,0,0,0,0,0,-2,6,0,4,DJ Jacobs,SR Tendulkar,AT Rayudu,RG Sharma,KA Pollard,JEC Franklin,R Sathish,Harbhajan Singh,AG Murtaza,MM Patel,SL Malinga
2011-04-12,Sawai Mansingh Stadium,Indian Premier League,T20,20,AB Dinda,Delhi Daredevils,0,0,0,0,23,1,38,1,0,0,0,0,0,33,0,33,AG Paunikar,R Dravid,J Botha,AL Menaria,AM Rahane,LRPL Taylor,AS Raut,SK Warne,A Singh,SK Trivedi,SW Tait
2011-04-17,Dr DY Patil Sports Academy,Indian Premier League,T20,20,AB Dinda,Delhi Daredevils,0,0,0,0,24,2,43,0,0,0,0,0,0,48,0,48,JD Ryder,GC Smith,M Manhas,Yuvraj Singh,RV Uthappa,MD Mishra,WD Parnell,AA Jhunjhunwala,R Sharma,SB Wagh,AC Thomas
2011-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,AB Dinda,Delhi Daredevils,0,0,0,0,24,1,33,0,0,0,0,0,0,25,0,25,S Sohal,S Dhawan,KC Sangakkara,CL White,DT Christian,B Chipli,DB Ravi Teja,A Mishra,DW Steyn,PP Ojha,Harmeet Singh
2011-04-26,Feroz Shah Kotla,Indian Premier League,T20,20,AB Dinda,Delhi Daredevils,0,0,0,0,21,1,37,0,0,0,0,0,0,23,0,23,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,DL Vettori,A Mithun,J Syed Mohammad,Z Khan,S Aravind
2011-05-21,Feroz Shah Kotla,Indian Premier League,T20,20,AB Dinda,Delhi Daredevils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MK Pandey,JP Faulkner,SC Ganguly,RV Uthappa,Yuvraj Singh,CJ Ferguson,S Rana,MR Marsh,SS Mundhe,R Sharma,AC Thomas
2012-04-06,Wankhede Stadium,Indian Premier League,T20,20,AB Dinda,Pune Warriors,0,0,0,0,24,4,18,1,0,0,0,0,0,122,0,122,RE Levi,AT Rayudu,RG Sharma,JEC Franklin,KD Karthik,SA Yadav,KA Pollard,Harbhajan Singh,SL Malinga,PP Ojha,MM Patel
2012-04-08,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,AB Dinda,Pune Warriors,0,0,0,0,18,2,14,0,0,0,0,0,0,56,0,56,AC Gilchrist,PC Valthaty,Mandeep Singh,AM Nayar,DJ Hussey,PP Chawla,AD Mascarenhas,Bipul Sharma,JP Faulkner,P Kumar,Harmeet Singh
2012-04-12,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,AB Dinda,Pune Warriors,2,5,0,0,18,1,18,1,0,0,0,0,2,35,0,37,PC Valthaty,AC Gilchrist,SE Marsh,Mandeep Singh,PP Chawla,DJ Hussey,AD Mascarenhas,P Awana,Bipul Sharma,Harmeet Singh,P Kumar
2012-04-14,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,AB Dinda,Pune Warriors,0,0,0,0,26,1,31,0,0,1,0,0,0,25,8,33,F du Plessis,M Vijay,SK Raina,MS Dhoni,RA Jadeja,JA Morkel,DJ Bravo,S Badrinath,KMDN Kulasekara,R Ashwin,VY Mahesh
2012-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,AB Dinda,Pune Warriors,0,0,0,0,25,1,28,0,0,0,0,0,0,27,0,27,TM Dilshan,CH Gayle,MA Agarwal,V Kohli,SS Tiwary,AB de Villiers,DL Vettori,R Vinay Kumar,Z Khan,HV Patel,KP Appanna
2012-05-03,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,AB Dinda,Pune Warriors,0,0,0,0,25,1,34,0,1,0,0,0,0,37,0,37,JEC Franklin,SR Tendulkar,RG Sharma,RJ Peterson,KD Karthik,AT Rayudu,NLTC Perera,Harbhajan Singh,SL Malinga,PP Ojha,MM Patel
2012-05-05,Eden Gardens,Indian Premier League,T20,20,AB Dinda,Pune Warriors,0,0,0,0,12,0,28,0,0,0,0,0,0,-6,0,-6,G Gambhir,BB McCullum,YK Pathan,JH Kallis,DB Das,LR Shukla,MK Tiwary,R Bhatia,SP Narine,M de Lange,Iqbal Abdulla
2013-04-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,AB Dinda,Pune Warriors,0,2,0,0,24,2,29,1,0,1,0,0,-2,58,8,64,PA Reddy,PA Patel,KC Sangakkara,CL White,NLTC Perera,GH Vihari,A Ashish Reddy,DB Ravi Teja,A Mishra,DW Steyn,I Sharma
2013-04-07,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,AB Dinda,Pune Warriors,0,0,0,0,12,0,28,0,0,0,0,0,0,-6,0,-6,AC Gilchrist,Mandeep Singh,M Vohra,DJ Hussey,Azhar Mahmood,Gurkeerat Singh,R Sathish,PP Chawla,P Awana,P Kumar,RJ Harris
