date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2009-05-19,New Wanderers Stadium,Indian Premier League,T20,20,AB McDonald,Delhi Daredevils,3,4,0,0,18,0,22,0,0,0,0,0,3,0,0,3,RV Uthappa,JH Kallis,R Dravid,LRPL Taylor,MV Boucher,V Kohli,RE van der Merwe,P Kumar,B Akhil,A Kumble,MK Pandey
2010-03-25,M Chinnaswamy Stadium,Indian Premier League,T20,20,AB McDonald,Delhi Daredevils,18,14,1,1,24,4,42,2,0,0,0,0,21,122,0,143,MK Pandey,JH Kallis,RV Uthappa,R Dravid,EJG Morgan,V Kohli,MV Boucher,R Vinay Kumar,P Kumar,DW Steyn,A Kumble
2010-03-29,Feroz Shah Kotla,Indian Premier League,T20,20,AB McDonald,Delhi Daredevils,0,0,0,0,24,3,37,2,0,0,0,0,0,95,0,95,CH Gayle,SC Ganguly,Mandeep Singh,MK Tiwary,DJ Hussey,AD Mathews,WP Saha,AB Agarkar,M Kartik,CK Langeveldt,I Sharma
2010-03-31,Feroz Shah Kotla,Indian Premier League,T20,20,AB McDonald,Delhi Daredevils,14,9,2,0,12,0,17,0,0,0,0,0,16,0,0,16,MJ Lumb,NV Ojha,FY Fazal,AA Jhunjhunwala,AC Voges,YK Pathan,P Dogra,SK Warne,S Narwal,SW Tait,SK Trivedi
2010-04-13,Brabourne Stadium,Indian Premier League,T20,20,AB McDonald,Delhi Daredevils,33,31,0,1,24,1,42,0,0,0,0,0,39,23,0,62,C Madan,SR Tendulkar,SS Tiwary,AT Rayudu,JP Duminy,KA Pollard,DJ Bravo,Harbhajan Singh,AG Murtaza,Z Khan,CRD Fernando
2011-05-12,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,AB McDonald,Delhi Daredevils,8,7,0,0,12,0,23,0,0,0,0,0,8,-4,0,4,MEK Hussey,M Vijay,SK Raina,S Badrinath,MS Dhoni,WP Saha,JA Morkel,DJ Bravo,R Ashwin,DE Bollinger,SB Jakati
2012-04-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,AB McDonald,Royal Challengers Bangalore,30,19,4,2,12,1,11,0,0,0,0,0,46,29,0,75,AJ Finch,V Sehwag,NV Ojha,Y Venugopal Rao,GJ Maxwell,Y Nagar,IK Pathan,DAJ Bracewell,M Morkel,UT Yadav,S Nadeem
2012-04-20,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,AB McDonald,Royal Challengers Bangalore,8,6,1,0,24,2,27,1,0,0,0,0,9,60,0,69,N Saini,PC Valthaty,SE Marsh,DJ Hussey,DA Miller,Mandeep Singh,Azhar Mahmood,PP Chawla,P Awana,P Kumar,Harmeet Singh
2012-05-02,M Chinnaswamy Stadium,Indian Premier League,T20,20,AB McDonald,Royal Challengers Bangalore,9,11,1,0,24,2,25,1,0,0,0,0,10,60,0,70,Mandeep Singh,SE Marsh,N Saini,DJ Hussey,Azhar Mahmood,AM Nayar,P Dogra,PP Chawla,RJ Harris,P Kumar,P Awana
2013-04-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,AB McDonald,Royal Challengers Bangalore,0,2,0,0,12,1,17,0,0,0,0,0,-2,25,0,23,DA Warner,V Sehwag,MC Juneja,DPMD Jayawardene,BJ Rohrer,KM Jadhav,IK Pathan,M Morkel,S Nadeem,A Nehra,UT Yadav
