date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,AD Mathews,Delhi Daredevils,1,4,0,0,12,0,16,0,0,1,0,0,1,0,8,9,G Gambhir,C de Grandhomme,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,AD Mathews,Delhi Daredevils,31,24,2,1,18,0,41,0,0,1,0,0,39,-6,8,41,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,AD Mathews,Delhi Daredevils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
2009-05-12,SuperSport Park,Indian Premier League,T20,20,AD Mathews,Kolkata Knight Riders,16,14,2,0,14,0,32,0,0,1,0,0,18,-6,8,20,JD Ryder,JH Kallis,RV Uthappa,LRPL Taylor,R Dravid,MV Boucher,V Kohli,B Akhil,KP Appanna,R Vinay Kumar,A Kumble
2010-03-12,Dr DY Patil Sports Academy,Indian Premier League,T20,20,AD Mathews,Kolkata Knight Riders,65,49,5,4,25,1,27,0,0,1,0,0,88,27,8,123,AC Gilchrist,VVS Laxman,HH Gibbs,A Symonds,RG Sharma,Anirudh Singh,TL Suman,WPUJC Vaas,Jaskaran Singh,RP Singh,PP Ojha
2010-03-14,Eden Gardens,Indian Premier League,T20,20,AD Mathews,Kolkata Knight Riders,0,0,0,0,24,4,20,2,0,1,0,0,0,128,8,136,JH Kallis,SP Goswami,MK Pandey,V Kohli,EJG Morgan,R Dravid,RV Uthappa,RE van der Merwe,P Kumar,A Kumble,DW Steyn
2010-03-16,Eden Gardens,Indian Premier League,T20,20,AD Mathews,Kolkata Knight Riders,6,14,0,0,18,0,29,0,0,0,0,0,0,0,0,0,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JM Kemp,JA Morkel,R Ashwin,L Balaji,M Muralitharan,MS Gony
2010-03-20,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,AD Mathews,Kolkata Knight Riders,0,0,0,0,18,0,33,0,0,0,0,1,0,-2,6,4,MJ Lumb,NV Ojha,FY Fazal,AA Jhunjhunwala,YK Pathan,AC Voges,P Dogra,SK Warne,MM Patel,SK Trivedi,SW Tait
2010-03-22,Brabourne Stadium,Indian Premier League,T20,20,AD Mathews,Kolkata Knight Riders,3,3,0,0,21,0,29,0,0,0,0,0,3,0,0,3,S Dhawan,SR Tendulkar,SS Tiwary,KA Pollard,R Sathish,AP Tare,DJ Bravo,R McLaren,Harbhajan Singh,Z Khan,SL Malinga
2010-03-27,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,AD Mathews,Kolkata Knight Riders,19,13,2,0,24,1,26,1,0,0,0,0,23,35,0,58,RS Bopara,Yuvraj Singh,MS Bisla,KC Sangakkara,DPMD Jayawardene,IK Pathan,K Goel,B Lee,PP Chawla,SJ Srivastava,VS Malik
