match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082616,f10e94c4,2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,AD Nath,Gujarat Lions,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,M Vohra,HM Amla,SE Marsh,GJ Maxwell,MP Stoinis,AR Patel,WP Saha,MM Sharma,KC Cariappa,T Natarajan,Sandeep Sharma
1136600,f10e94c4,2018-05-08,Sawai Mansingh Stadium,Indian Premier League,T20,20,AD Nath,Kings XI Punjab,9,13,1,0,0,0,0,0,0,1,0,0,8,0,8,16,AM Rahane,JC Buttler,K Gowtham,SV Samson,BA Stokes,STR Binny,MK Lomror,JC Archer,JD Unadkat,IS Sodhi,Anureet Singh
1175369,f10e94c4,2019-04-02,Sawai Mansingh Stadium,Indian Premier League,T20,20,AD Nath,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AM Rahane,JC Buttler,SPD Smith,RA Tripathi,BA Stokes,STR Binny,K Gowtham,JC Archer,S Gopal,VR Aaron,DS Kulkarni
1175372,f10e94c4,2019-04-05,M.Chinnaswamy Stadium,Indian Premier League,T20,20,AD Nath,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,PP Chawla,Kuldeep Yadav,M Prasidh Krishna,LH Ferguson
1178395,f10e94c4,2019-04-07,M.Chinnaswamy Stadium,Indian Premier League,T20,20,AD Nath,Royal Challengers Bangalore,19,12,4,0,0,0,0,0,0,1,0,0,27,0,8,35,PP Shaw,S Dhawan,SS Iyer,CA Ingram,RR Pant,CH Morris,AR Patel,R Tewatia,K Rabada,I Sharma,S Lamichhane
1178403,f10e94c4,2019-04-13,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,AD Nath,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KL Rahul,CH Gayle,MA Agarwal,SN Khan,SM Curran,Mandeep Singh,N Pooran,AJ Tye,R Ashwin,Mohammed Shami,M Ashwin
1178406,f10e94c4,2019-04-15,Wankhede Stadium,Indian Premier League,T20,20,AD Nath,Royal Challengers Bangalore,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Q de Kock,RG Sharma,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,JP Behrendorff,RD Chahar,JJ Bumrah,SL Malinga
1178410,f10e94c4,2019-04-19,Eden Gardens,Indian Premier League,T20,20,AD Nath,Royal Challengers Bangalore,13,16,0,1,0,0,0,0,0,0,0,0,15,0,0,15,CA Lynn,SP Narine,Shubman Gill,RV Uthappa,N Rana,AD Russell,KD Karthik,PP Chawla,Kuldeep Yadav,HF Gurney,M Prasidh Krishna
1178414,f10e94c4,2019-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,AD Nath,Royal Challengers Bangalore,24,20,1,1,0,0,0,0,0,0,0,0,27,0,0,27,SR Watson,F du Plessis,SK Raina,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,DJ Bravo,SN Thakur,DL Chahar,Imran Tahir
1178417,f10e94c4,2019-04-24,M.Chinnaswamy Stadium,Indian Premier League,T20,20,AD Nath,Royal Challengers Bangalore,3,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,KL Rahul,CH Gayle,MA Agarwal,DA Miller,N Pooran,Mandeep Singh,R Ashwin,GC Viljoen,M Ashwin,AS Rajpoot,Mohammed Shami
980911,f10e94c4,2016-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,AD Nath,Gujarat Lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AM Rahane,F du Plessis,KP Pietersen,SPD Smith,MS Dhoni,MR Marsh,R Bhatia,R Ashwin,I Sharma,RP Singh,M Ashwin
980917,f10e94c4,2016-04-16,Wankhede Stadium,Indian Premier League,T20,20,AD Nath,Gujarat Lions,12,11,1,0,0,0,0,0,0,0,0,0,13,0,0,13,RG Sharma,PA Patel,HH Pandya,JC Buttler,KA Pollard,AT Rayudu,Harbhajan Singh,KH Pandya,TG Southee,MJ McClenaghan,JJ Bumrah
980929,f10e94c4,2016-04-21,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,AD Nath,Gujarat Lions,5,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,DA Warner,S Dhawan,MC Henriques,EJG Morgan,DJ Hooda,AP Tare,NV Ojha,B Kumar,Mustafizur Rahman,Bipul Sharma,BB Sran
980987,f10e94c4,2016-05-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,AD Nath,Gujarat Lions,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,CH Gayle,V Kohli,AB de Villiers,SR Watson,KL Rahul,Sachin Baby,STR Binny,CJ Jordan,S Aravind,VR Aaron,YS Chahal
