date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,15,8,0,2,0,0,0,0,0,0,0,0,19,0,0,19,G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,PP Chawla,Kuldeep Yadav,SP Narine,TA Boult
2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,AJ Finch,Gujarat Lions,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,A Nehra,Rashid Khan
2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,33,20,3,2,0,0,0,0,0,2,0,0,48,0,16,64,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MK Tiwary,MS Dhoni,Ankit Sharma,SN Thakur,LH Ferguson,RD Chahar,Imran Tahir
2017-04-18,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,19,16,2,1,0,0,0,0,0,0,0,0,23,0,0,23,CH Gayle,V Kohli,TM Head,KM Jadhav,SR Watson,Mandeep Singh,STR Binny,P Negi,AF Milne,S Aravind,YS Chahal
2017-04-21,Eden Gardens,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,31,15,4,2,0,0,0,0,0,0,0,0,49,0,0,49,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,Shakib Al Hasan,CR Woakes,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,13,12,0,1,0,0,0,0,0,1,0,0,15,0,8,23,M Vohra,HM Amla,SE Marsh,GJ Maxwell,MP Stoinis,AR Patel,WP Saha,MM Sharma,KC Cariappa,T Natarajan,Sandeep Sharma
2017-04-27,M Chinnaswamy Stadium,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,72,36,5,6,0,0,0,0,0,1,0,0,103,0,8,111,CH Gayle,V Kohli,AB de Villiers,TM Head,KM Jadhav,Mandeep Singh,P Negi,S Badree,S Aravind,A Choudhary,YS Chahal
2017-04-29,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,1,7,0,0,0,0,0,0,0,1,0,0,1,0,8,9,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga
2017-05-01,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,13,7,1,1,0,0,0,0,0,0,0,1,16,0,6,22,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,JD Unadkat,SN Thakur,Imran Tahir
2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,27,19,4,0,0,0,0,0,0,0,0,0,33,0,0,33,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,MN Samuels,PJ Cummins,K Rabada,S Nadeem,A Mishra,Mohammed Shami
2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,AJ Finch,Gujarat Lions,2,2,0,0,0,0,0,0,0,1,0,0,2,0,8,10,MJ Guptill,HM Amla,SE Marsh,GJ Maxwell,AR Patel,WP Saha,Gurkeerat Singh,MM Sharma,Sandeep Sharma,VR Aaron,T Natarajan
2017-05-10,Green Park,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,69,40,6,4,0,0,0,0,0,0,0,0,97,0,0,97,SV Samson,KK Nair,RR Pant,SS Iyer,MN Samuels,CJ Anderson,CR Brathwaite,PJ Cummins,Mohammed Shami,A Mishra,Z Khan
2017-05-13,Green Park,Indian Premier League,T20,20,AJ Finch,Gujarat Lions,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,DA Warner,S Dhawan,MC Henriques,V Shankar,DJ Hooda,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
2018-04-13,M.Chinnaswamy Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,Q de Kock,BB McCullum,V Kohli,AB de Villiers,SN Khan,Mandeep Singh,CR Woakes,Washington Sundar,UT Yadav,K Khejroliya,YS Chahal
2018-04-15,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,SR Watson,M Vijay,AT Rayudu,SW Billings,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,SN Thakur,Imran Tahir
2018-04-19,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,14,6,1,1,0,0,0,0,0,1,0,0,17,0,8,25,WP Saha,S Dhawan,KS Williamson,YK Pathan,MK Pandey,DJ Hooda,Shakib Al Hasan,CJ Jordan,B Kumar,Rashid Khan,S Kaul
2018-04-21,Eden Gardens,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,TK Curran,PP Chawla,Shivam Mavi,Kuldeep Yadav
2018-04-23,Arun Jaitley Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,2,4,0,0,0,0,0,0,0,2,0,0,2,0,16,18,PP Shaw,G Gambhir,GJ Maxwell,SS Iyer,RR Pant,DT Christian,R Tewatia,LE Plunkett,A Mishra,Avesh Khan,TA Boult
2018-04-26,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,8,4,0,1,0,0,0,0,0,0,0,0,10,0,0,10,S Dhawan,KS Williamson,WP Saha,MK Pandey,Shakib Al Hasan,YK Pathan,Mohammad Nabi,Rashid Khan,Basil Thampi,S Kaul,Sandeep Sharma
2018-05-12,Holkar Cricket Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,34,20,0,3,0,0,0,0,0,0,0,0,48,0,0,48,CA Lynn,SP Narine,RV Uthappa,AD Russell,KD Karthik,N Rana,Shubman Gill,JPR Scantlebury-Searles,PP Chawla,Kuldeep Yadav,M Prasidh Krishna
2018-05-14,Holkar Cricket Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,26,25,1,2,0,0,0,0,0,0,0,0,31,0,0,31,V Kohli,PA Patel,MM Ali,AB de Villiers,Mandeep Singh,SN Khan,C de Grandhomme,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal
2018-05-16,Wankhede Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,46,35,3,1,0,0,0,0,0,1,0,0,57,0,8,65,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah
2018-05-20,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,AJ Finch,Kings XI Punjab,4,6,1,0,0,0,0,0,0,0,0,0,5,0,0,5,AT Rayudu,F du Plessis,SK Raina,SW Billings,Harbhajan Singh,DL Chahar,MS Dhoni,DJ Bravo,RA Jadeja,SN Thakur,L Ngidi
2020-10-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,AJ Finch,Royal Challengers Bangalore,16,24,2,0,0,0,0,0,0,0,0,0,16,0,0,16,Shubman Gill,RA Tripathi,N Rana,T Banton,KD Karthik,EJG Morgan,PJ Cummins,Kuldeep Yadav,LH Ferguson,M Prasidh Krishna,CV Varun
2020-09-24,Dubai International Cricket Stadium,Indian Premier League,T20,20,AJ Finch,Royal Challengers Bangalore,20,23,3,0,0,0,0,0,0,1,0,0,23,0,8,31,KL Rahul,MA Agarwal,N Pooran,GJ Maxwell,KK Nair,JDS Neesham,SN Khan,Mohammed Shami,SS Cottrell,Ravi Bishnoi,M Ashwin
2020-10-03,Sheikh Zayed Stadium,Indian Premier League,T20,20,AJ Finch,Royal Challengers Bangalore,8,7,2,0,0,0,0,0,0,1,0,0,10,0,8,18,JC Buttler,SPD Smith,SV Samson,RV Uthappa,MK Lomror,R Parag,R Tewatia,JC Archer,TK Curran,S Gopal,JD Unadkat
2020-10-05,Dubai International Cricket Stadium,Indian Premier League,T20,20,AJ Finch,Royal Challengers Bangalore,13,16,1,0,0,0,0,0,0,0,0,0,14,0,0,14,PP Shaw,S Dhawan,SS Iyer,RR Pant,MP Stoinis,SO Hetmyer,AR Patel,R Ashwin,K Rabada,A Nortje,HV Patel
