date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2019-04-26,MA Chidambaram Stadium,Indian Premier League,T20,20,AS Roy,Mumbai Indians,0,0,0,0,12,1,11,0,0,0,0,0,0,29,0,29,M Vijay,SR Watson,SK Raina,AT Rayudu,KM Jadhav,DR Shorey,DJ Bravo,MJ Santner,DL Chahar,Harbhajan Singh,Imran Tahir
2020-10-06,Sheikh Zayed Stadium,Indian Premier League,T20,20,AS Roy,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,Q de Kock,RG Sharma,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
2020-10-18,Dubai International Cricket Stadium,Indian Premier League,T20,20,AS Roy,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,NM Coulter-Nile,RD Chahar,TA Boult,JJ Bumrah
2020-11-10,Dubai International Cricket Stadium,Indian Premier League,T20,20,AS Roy,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,MP Stoinis,S Dhawan,AM Rahane,SS Iyer,RR Pant,SO Hetmyer,AR Patel,K Rabada,P Dubey,R Ashwin,A Nortje
2021-09-26,Dubai International Cricket Stadium,Indian Premier League,T20,20,AS Roy,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,V Kohli,D Padikkal,KS Bharat,GJ Maxwell,AB de Villiers,DT Christian,Shahbaz Ahmed,KA Jamieson,HV Patel,Mohammed Siraj,YS Chahal
2022-05-02,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,0,0,0,0,24,1,28,0,0,1,0,0,0,25,8,33,JC Buttler,D Padikkal,SV Samson,KK Nair,R Parag,SO Hetmyer,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
2022-05-07,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,0,2,0,0,18,0,27,0,0,0,0,0,-2,0,0,-2,Q de Kock,KL Rahul,DJ Hooda,KH Pandya,A Badoni,MP Stoinis,JO Holder,PVD Chameera,Avesh Khan,Mohsin Khan,Ravi Bishnoi
2023-04-01,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,4,5,1,0,0,0,0,0,0,0,0,0,5,0,0,5,P Simran Singh,S Dhawan,PBB Rajapaksa,JM Sharma,Sikandar Raza,SM Curran,M Shahrukh Khan,Harpreet Brar,RD Chahar,Arshdeep Singh,NT Ellis
2023-04-09,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,AS Roy,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,J Little,WP Saha,Shubman Gill,B Sai Sudharsan,A Manohar,V Shankar,DA Miller,R Tewatia,Rashid Khan,AS Joseph,Mohammed Shami
2023-04-20,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,0,1,0,0,24,2,19,0,0,0,0,0,-2,56,0,54,I Sharma,DA Warner,PP Shaw,MR Marsh,PD Salt,MK Pandey,AR Patel,Aman Hakim Khan,Lalit Yadav,Mukesh Kumar,Kuldeep Yadav
2023-04-26,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,AS Roy,None,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,14,Suyash Sharma,JJ Roy,N Jagadeesan,VR Iyer,N Rana,AD Russell,RK Singh,D Wiese,SP Narine,VG Arora,UT Yadav
2023-05-04,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,13,7,2,0,18,1,26,1,0,1,0,0,15,33,8,56,T Natarajan,Abhishek Sharma,MA Agarwal,RA Tripathi,AK Markram,HC Brook,H Klaasen,Abdul Samad,M Jansen,B Kumar,M Markande
2023-05-11,"Eden Gardens, Kolkata",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,6,6,0,0,6,0,20,0,0,0,0,0,6,0,0,6,YBK Jaiswal,JC Buttler,SV Samson,JE Root,Dhruv Jurel,SO Hetmyer,R Ashwin,Sandeep Sharma,KM Asif,TA Boult,YS Chahal
2024-03-29,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,0,0,0,0,12,0,6,0,0,0,0,0,0,6,0,6,Vijaykumar Vyshak,V Kohli,F du Plessis,C Green,GJ Maxwell,RM Patidar,Anuj Rawat,KD Karthik,AS Joseph,Mayank Dagar,Mohammed Siraj
2024-04-08,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,3,3,0,0,10,0,18,0,0,0,0,0,3,0,0,3,Mustafizur Rahman,R Ravindra,RD Gaikwad,DJ Mitchell,S Dube,MS Dhoni,AM Rahane,Sameer Rizvi,RA Jadeja,SN Thakur,TU Deshpande
2024-04-26,"Eden Gardens, Kolkata",Indian Premier League,T20,20,AS Roy,Kolkata Knight Riders,0,0,0,0,12,1,36,0,0,0,0,0,0,19,0,19,Arshdeep Singh,P Simran Singh,JM Bairstow,RR Rossouw,Shashank Singh,SM Curran,JM Sharma,Ashutosh Sharma,Harpreet Brar,HV Patel,K Rabada
