date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,AT Rayudu,Mumbai Indians,10,12,0,0,0,0,0,0,0,0,0,0,10,0,0,10,AM Rahane,MA Agarwal,SPD Smith,BA Stokes,MS Dhoni,MK Tiwary,R Bhatia,DL Chahar,A Zampa,AB Dinda,Imran Tahir
2017-05-13,Eden Gardens,Indian Premier League,T20,20,AT Rayudu,Mumbai Indians,63,37,6,3,0,0,0,0,0,1,0,0,89,0,8,97,SP Narine,CA Lynn,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,C de Grandhomme,Kuldeep Yadav,UT Yadav,TA Boult,AS Rajpoot
2017-05-16,Wankhede Stadium,Indian Premier League,T20,20,AT Rayudu,Mumbai Indians,0,3,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat
2017-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,AT Rayudu,Mumbai Indians,6,12,0,0,0,0,0,0,0,1,0,0,2,0,8,10,CA Lynn,SP Narine,G Gambhir,RV Uthappa,IR Jaggi,C de Grandhomme,SA Yadav,PP Chawla,NM Coulter-Nile,UT Yadav,AS Rajpoot
2017-05-21,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,AT Rayudu,Mumbai Indians,12,16,1,0,0,0,0,0,0,1,0,0,13,0,8,21,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat
2018-04-07,Wankhede Stadium,Indian Premier League,T20,20,AT Rayudu,Chennai Super Kings,22,19,4,0,0,0,0,0,0,1,0,0,26,0,8,34,RG Sharma,E Lewis,Ishan Kishan,SA Yadav,HH Pandya,KH Pandya,KA Pollard,JJ Bumrah,MJ McClenaghan,Mustafizur Rahman,M Markande
2018-04-10,MA Chidambaram Stadium,Indian Premier League,T20,20,AT Rayudu,Chennai Super Kings,39,26,3,2,0,0,0,0,0,0,0,0,52,0,0,52,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,RK Singh,AD Russell,TK Curran,R Vinay Kumar,Kuldeep Yadav,PP Chawla
2018-04-15,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,AT Rayudu,Chennai Super Kings,49,37,5,1,0,0,0,0,0,0,0,0,62,0,0,62,KL Rahul,CH Gayle,MA Agarwal,Yuvraj Singh,AJ Finch,KK Nair,R Ashwin,AJ Tye,BB Sran,MM Sharma,Mujeeb Ur Rahman
2018-04-20,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,AT Rayudu,Chennai Super Kings,12,8,2,0,0,0,0,0,0,0,0,0,14,0,0,14,AM Rahane,H Klaasen,SV Samson,BA Stokes,JC Buttler,RA Tripathi,STR Binny,K Gowtham,S Gopal,JD Unadkat,B Laughlin
2018-04-22,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,AT Rayudu,Chennai Super Kings,79,39,9,4,0,0,0,0,0,0,0,0,110,0,0,110,RK Bhui,KS Williamson,MK Pandey,DJ Hooda,Shakib Al Hasan,YK Pathan,WP Saha,Rashid Khan,B Kumar,B Stanlake,S Kaul
