match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1359520,4bd09374,2023-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,19,0,37,0,0,0,0,0,0,-4,0,-4,NT Ellis,P Simran Singh,S Dhawan,MW Short,LS Livingstone,JM Sharma,SM Curran,M Shahrukh Khan,Harpreet Brar,R Dhawan,RD Chahar
1359523,4bd09374,2023-05-06,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,6,1,4,1,0,0,0,0,0,33,0,33,M Theekshana,RD Gaikwad,DP Conway,AM Rahane,AT Rayudu,S Dube,MS Dhoni,MM Ali,RA Jadeja,DL Chahar,M Pathirana
1359528,4bd09374,2023-05-09,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,13,0,23,0,0,0,0,0,0,-2,0,-2,V Kohli,F du Plessis,Anuj Rawat,GJ Maxwell,MK Lomror,KD Karthik,KM Jadhav,PWH de Silva,JR Hazlewood,Mohammed Siraj,Vijaykumar Vyshak
1359531,4bd09374,2023-05-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,24,3,32,3,0,0,0,0,0,103,0,103,MM Sharma,WP Saha,Shubman Gill,HH Pandya,V Shankar,DA Miller,A Manohar,R Tewatia,Rashid Khan,Noor Ahmad,AS Joseph
1359537,4bd09374,2023-05-16,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,24,0,31,0,0,0,0,0,0,0,0,0,Yash Thakur,DJ Hooda,Q de Kock,PN Mankad,KH Pandya,MP Stoinis,N Pooran,A Badoni,Naveen-ul-Haq,Ravi Bishnoi,Swapnil Singh
1359543,4bd09374,2023-05-21,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,25,4,37,2,0,0,0,0,0,124,0,124,Kartik Tyagi,Vivrant Sharma,MA Agarwal,H Klaasen,GD Phillips,AK Markram,HC Brook,Sanvir Singh,Nithish Kumar Reddy,Mayank Dagar,B Kumar
1370351,4bd09374,2023-05-24,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,21,6,6,2,0,0,0,1,0,188,6,194,Yash Thakur,KR Mayers,PN Mankad,KH Pandya,MP Stoinis,A Badoni,N Pooran,DJ Hooda,K Gowtham,Ravi Bishnoi,Naveen-ul-Haq
1370352,4bd09374,2023-05-26,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,26,2,52,0,0,0,0,0,0,46,0,46,J Little,WP Saha,Shubman Gill,B Sai Sudharsan,HH Pandya,Rashid Khan,DA Miller,R Tewatia,V Shankar,Noor Ahmad,Mohammed Shami
1422132,4bd09374,2024-04-01,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,4,5,0,0,24,3,22,1,0,0,0,0,4,91,0,95,YS Chahal,YBK Jaiswal,JC Buttler,SV Samson,R Parag,R Ashwin,SB Dubey,Dhruv Jurel,SO Hetmyer,TA Boult,Avesh Khan
1422138,4bd09374,2024-04-07,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,25,0,45,0,0,0,0,0,0,-2,0,-2,KK Ahmed,PP Shaw,DA Warner,Abishek Porel,T Stubbs,RR Pant,AR Patel,Lalit Yadav,Kumar Kushagra,JA Richardson,A Nortje
1426263,4bd09374,2024-04-11,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,24,1,57,0,0,1,0,0,0,19,8,27,V Kohli,F du Plessis,WG Jacks,RM Patidar,GJ Maxwell,KD Karthik,MK Lomror,Saurav Chauhan,Vijaykumar Vyshak,Akash Deep,RJW Topley
1426267,4bd09374,2024-04-14,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,18,0,37,0,0,0,0,0,0,-6,0,-6,AM Rahane,R Ravindra,RD Gaikwad,S Dube,DJ Mitchell,MS Dhoni,RA Jadeja,Sameer Rizvi,SN Thakur,TU Deshpande,Mustafizur Rahman
1426271,4bd09374,2024-04-18,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,Akash Madhwal,Mumbai Indians,0,0,0,0,20,2,48,1,0,0,0,0,0,52,0,52,Arshdeep Singh,SM Curran,P Simran Singh,RR Rossouw,LS Livingstone,Harpreet Singh,Shashank Singh,JM Sharma,Ashutosh Sharma,Harpreet Brar,HV Patel
