match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1254085,c8f5f961,2021-05-02,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,Anuj Rawat,Rajasthan Royals,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,28,MK Pandey,JM Bairstow,KS Williamson,V Shankar,KM Jadhav,Mohammad Nabi,Abdul Samad,Rashid Khan,B Kumar,Sandeep Sharma,KK Ahmed
1254103,,2021-09-29,Dubai International Cricket Stadium,Indian Premier League,T20,20,Anuj Rawat,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,E Lewis,YBK Jaiswal,SV Samson,MK Lomror,LS Livingstone,R Tewatia,R Parag,CH Morris,C Sakariya,Kartik Tyagi,Mustafizur Rahman
1254106,c8f5f961,2021-10-07,Sharjah Cricket Stadium,Indian Premier League,T20,20,Anuj Rawat,Rajasthan Royals,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,Shubman Gill,VR Iyer,N Rana,RA Tripathi,KD Karthik,EJG Morgan,Shakib Al Hasan,SP Narine,LH Ferguson,CV Varun,Shivam Mavi
1304049,c8f5f961,2022-03-27,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,Anuj Rawat,Royal Challengers Bangalore,21,21,2,1,0,0,0,0,0,2,0,0,25,0,16,41,MA Agarwal,S Dhawan,PBB Rajapaksa,LS Livingstone,RA Bawa,M Shahrukh Khan,OF Smith,Harpreet Brar,Arshdeep Singh,Sandeep Sharma,RD Chahar
1304052,c8f5f961,2022-03-30,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,Anuj Rawat,Royal Challengers Bangalore,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,AM Rahane,VR Iyer,SS Iyer,N Rana,SP Narine,SW Billings,SP Jackson,AD Russell,TG Southee,UT Yadav,CV Varun
1304059,c8f5f961,2022-04-05,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Anuj Rawat,Royal Challengers Bangalore,26,26,4,0,0,0,0,0,0,0,0,0,30,0,0,30,JC Buttler,YBK Jaiswal,D Padikkal,SV Samson,SO Hetmyer,R Parag,R Ashwin,Navdeep Saini,TA Boult,YS Chahal,M Prasidh Krishna
1304064,c8f5f961,2022-04-09,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,Anuj Rawat,Royal Challengers Bangalore,66,49,2,6,0,0,0,0,0,0,0,0,90,0,0,90,Ishan Kishan,RG Sharma,D Brevis,SA Yadav,Tilak Varma,KA Pollard,Ramandeep Singh,JD Unadkat,M Ashwin,JJ Bumrah,Basil Thampi
1304068,c8f5f961,2022-04-12,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,Anuj Rawat,Royal Challengers Bangalore,12,16,1,0,0,0,0,0,0,1,0,0,13,0,8,21,RD Gaikwad,RV Uthappa,MM Ali,S Dube,RA Jadeja,MS Dhoni,AT Rayudu,DJ Bravo,CJ Jordan,M Theekshana,Mukesh Choudhary
1304073,c8f5f961,2022-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Anuj Rawat,Royal Challengers Bangalore,0,1,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,PP Shaw,DA Warner,MR Marsh,RR Pant,R Powell,Lalit Yadav,SN Thakur,AR Patel,Kuldeep Yadav,Mustafizur Rahman,KK Ahmed
1304077,c8f5f961,2022-04-19,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,Anuj Rawat,Royal Challengers Bangalore,4,6,1,0,0,0,0,0,0,0,0,0,5,0,0,5,Q de Kock,KL Rahul,MK Pandey,KH Pandya,DJ Hooda,A Badoni,MP Stoinis,JO Holder,PVD Chameera,Ravi Bishnoi,Avesh Khan
