date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,B Chipli,Royal Challengers Bangalore,8,12,1,0,0,0,0,0,0,0,0,0,7,0,0,7,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,JA Morkel,Joginder Sharma,P Amarnath,MS Gony
2008-05-25,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,B Chipli,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,AC Gilchrist,HH Gibbs,RG Sharma,LPC Silva,Y Venugopal Rao,DB Ravi Teja,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,DP Vijaykumar
2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,B Chipli,Royal Challengers Bangalore,2,11,0,0,0,0,0,0,0,1,0,0,-4,0,8,4,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,S Dhawan,KD Karthik,MF Maharoof,R Bhatia,VY Mahesh,PJ Sangwan,GD McGrath
2008-05-03,M Chinnaswamy Stadium,Indian Premier League,T20,20,B Chipli,Royal Challengers Bangalore,10,7,2,0,0,0,0,0,0,0,0,0,12,0,0,12,AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma,Shahid Afridi,SB Styris,AS Yadav,SB Bangar,RP Singh,DP Vijaykumar,PP Ojha
2011-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,B Chipli,Deccan Chargers,6,9,1,0,0,0,0,0,0,0,0,0,7,0,0,7,AG Paunikar,R Dravid,J Botha,LRPL Taylor,AS Raut,AL Menaria,A Singh,JDP Oram,SK Warne,SK Trivedi,STR Binny
2011-04-11,Eden Gardens,Indian Premier League,T20,20,B Chipli,Deccan Chargers,48,41,6,1,0,0,0,0,0,0,0,0,60,0,0,60,JH Kallis,MS Bisla,G Gambhir,MK Tiwary,YK Pathan,EJG Morgan,RN ten Doeschate,Iqbal Abdulla,R Bhatia,L Balaji,JD Unadkat
2011-04-14,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,B Chipli,Deccan Chargers,61,35,5,3,0,0,0,0,0,0,0,0,86,0,0,86,MA Agarwal,TM Dilshan,Z Khan,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,JJ van der Wath,DL Vettori,R Ninan,S Aravind
2011-04-16,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,B Chipli,Deccan Chargers,14,12,2,0,0,0,0,0,0,0,0,0,16,0,0,16,AC Gilchrist,PC Valthaty,AM Nayar,KD Karthik,SE Marsh,Sunny Singh,R McLaren,P Kumar,RJ Harris,PP Chawla,VS Malik
2011-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,B Chipli,Deccan Chargers,5,3,0,0,0,0,0,0,0,1,0,0,5,0,8,13,DA Warner,V Sehwag,NV Ojha,AJ Finch,Y Venugopal Rao,IK Pathan,JR Hopes,Y Nagar,M Morkel,S Nadeem,AB Dinda
2011-04-24,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,B Chipli,Deccan Chargers,6,9,1,0,0,0,0,0,0,0,0,0,7,0,0,7,DJ Jacobs,SR Tendulkar,AT Rayudu,KA Pollard,RG Sharma,A Symonds,R Sathish,Harbhajan Singh,AN Ahmed,MM Patel,SL Malinga
2011-04-27,Nehru Stadium,Indian Premier League,T20,20,B Chipli,Deccan Chargers,4,10,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,BB McCullum,DPMD Jayawardene,PA Patel,RV Gomez,BJ Hodge,KM Jadhav,RA Jadeja,NLTC Perera,R Vinay Kumar,S Sreesanth,RP Singh
2011-05-01,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,B Chipli,Deccan Chargers,17,15,0,0,0,0,0,0,0,0,0,0,17,0,0,17,M Vijay,MEK Hussey,SK Raina,MS Dhoni,JA Morkel,S Badrinath,S Anirudha,R Ashwin,DE Bollinger,SB Jakati,S Randiv
2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,B Chipli,Deccan Chargers,12,7,2,0,0,0,0,0,0,0,0,0,14,0,0,14,EJG Morgan,JH Kallis,G Gambhir,YK Pathan,MK Tiwary,MV Boucher,R Bhatia,Iqbal Abdulla,L Balaji,B Lee,JD Unadkat
2011-05-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,B Chipli,Deccan Chargers,1,2,0,0,6,0,20,0,0,0,0,0,1,0,0,1,AJ Finch,V Sehwag,NV Ojha,Y Venugopal Rao,TR Birt,IK Pathan,JR Hopes,Y Nagar,M Morkel,AB Agarkar,AM Salvi
2011-05-10,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,B Chipli,Deccan Chargers,18,14,2,0,0,0,0,0,0,0,0,0,20,0,0,20,JD Ryder,MK Pandey,SC Ganguly,RV Uthappa,Yuvraj Singh,CJ Ferguson,MR Marsh,WD Parnell,SB Wagh,R Sharma,B Kumar
2011-05-14,Wankhede Stadium,Indian Premier League,T20,20,B Chipli,Deccan Chargers,10,11,1,0,0,0,0,0,0,0,0,0,11,0,0,11,SR Tendulkar,AC Blizzard,AT Rayudu,RG Sharma,A Symonds,TL Suman,KA Pollard,Harbhajan Singh,SL Malinga,DS Kulkarni,MM Patel
