match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082591,2e11c706,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,BCJ Cutting,Sunrisers Hyderabad,16,6,0,2,22,1,35,0,0,0,0,1,20,25,6,51,CH Gayle,Mandeep Singh,TM Head,KM Jadhav,SR Watson,Sachin Baby,STR Binny,S Aravind,TS Mills,YS Chahal,A Choudhary
1082596,2e11c706,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,BCJ Cutting,Sunrisers Hyderabad,0,0,0,0,18,0,29,0,0,0,0,0,0,0,0,0,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,DS Kulkarni,P Kumar,Basil Thampi,Tejas Baroka,S Kaushik
1082600,2e11c706,2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,BCJ Cutting,Sunrisers Hyderabad,20,11,4,0,12,0,18,0,0,1,0,0,30,0,8,38,PA Patel,JC Buttler,RG Sharma,N Rana,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082604,2e11c706,2017-04-15,Eden Gardens,Indian Premier League,T20,20,BCJ Cutting,Sunrisers Hyderabad,15,10,1,1,24,1,41,0,0,0,0,0,20,23,0,43,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,C de Grandhomme,CR Woakes,Kuldeep Yadav,UT Yadav,TA Boult
1136567,2e11c706,2018-04-12,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,BCJ Cutting,Mumbai Indians,9,9,1,0,24,0,40,0,0,0,0,0,10,0,0,10,WP Saha,S Dhawan,KS Williamson,MK Pandey,Shakib Al Hasan,DJ Hooda,YK Pathan,Rashid Khan,S Kaul,Sandeep Sharma,B Stanlake
1136587,2e11c706,2018-04-28,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,BCJ Cutting,Mumbai Indians,0,0,0,0,6,0,14,0,0,2,0,0,0,0,16,16,SR Watson,AT Rayudu,SK Raina,MS Dhoni,DJ Bravo,SW Billings,RA Jadeja,Harbhajan Singh,DL Chahar,SN Thakur,Imran Tahir
1136591,2e11c706,2018-05-01,M.Chinnaswamy Stadium,Indian Premier League,T20,20,BCJ Cutting,Mumbai Indians,12,6,1,1,0,0,0,0,0,1,0,0,15,0,8,23,M Vohra,Q de Kock,BB McCullum,V Kohli,Mandeep Singh,C de Grandhomme,Washington Sundar,TG Southee,UT Yadav,YS Chahal,Mohammed Siraj
1136594,2e11c706,2018-05-04,Holkar Cricket Stadium,Indian Premier League,T20,20,BCJ Cutting,Mumbai Indians,0,0,0,0,18,1,28,0,0,0,0,0,0,25,0,25,KL Rahul,CH Gayle,Yuvraj Singh,KK Nair,AR Patel,MP Stoinis,MA Agarwal,R Ashwin,AJ Tye,Mujeeb Ur Rahman,AS Rajpoot
1136597,2e11c706,2018-05-06,Wankhede Stadium,Indian Premier League,T20,20,BCJ Cutting,Mumbai Indians,0,0,0,0,12,0,23,0,0,1,0,0,0,-4,8,4,CA Lynn,Shubman Gill,RV Uthappa,N Rana,KD Karthik,AD Russell,SP Narine,PP Chawla,MG Johnson,M Prasidh Krishna,Kuldeep Yadav
1136601,2e11c706,2018-05-09,Eden Gardens,Indian Premier League,T20,20,BCJ Cutting,Mumbai Indians,24,10,1,3,12,1,12,0,0,1,0,0,37,27,8,72,SP Narine,CA Lynn,RV Uthappa,N Rana,AD Russell,KD Karthik,RK Singh,TK Curran,PP Chawla,Kuldeep Yadav,M Prasidh Krishna
1136607,2e11c706,2018-05-13,Wankhede Stadium,Indian Premier League,T20,20,BCJ Cutting,Mumbai Indians,10,7,0,1,0,0,0,0,0,0,0,0,12,0,0,12,DJM Short,JC Buttler,AM Rahane,SV Samson,BA Stokes,STR Binny,JC Archer,K Gowtham,S Gopal,JD Unadkat,DS Kulkarni
1136610,2e11c706,2018-05-16,Wankhede Stadium,Indian Premier League,T20,20,BCJ Cutting,Mumbai Indians,4,7,0,0,6,0,15,0,0,2,0,0,4,0,16,20,KL Rahul,CH Gayle,AJ Finch,MP Stoinis,AR Patel,Yuvraj Singh,MK Tiwary,R Ashwin,AJ Tye,MM Sharma,AS Rajpoot
