match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
336000,b57f8a9a,2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,GC Smith,SA Asnodkar,M Kaif,YK Pathan,SR Watson,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel
336003,b57f8a9a,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,1,3,0,0,0,0,0,0,0,1,0,0,1,0,8,9,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,K Goel,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,Gagandeep Singh
336010,b57f8a9a,2008-05-08,Eden Gardens,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,10,12,2,0,0,0,0,0,0,0,0,1,12,0,6,18,J Arunkumar,S Chanderpaul,MV Boucher,R Dravid,CL White,P Kumar,R Vinay Kumar,V Kohli,Z Khan,A Kumble,DW Steyn
392184,b57f8a9a,2009-04-19,Newlands,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,31,34,4,0,0,0,0,0,0,0,0,0,39,0,0,39,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,SB Styris,Y Venugopal Rao,Harmeet Singh,PP Ojha,RP Singh,DB Ravi Teja,FH Edwards
392186,b57f8a9a,2009-04-21,Kingsmead,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,10,14,0,0,0,0,0,0,0,0,0,0,10,0,0,10,RS Bopara,K Goel,IK Pathan,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,T Kohli,PP Chawla,VS Malik,VRV Singh,YA Abdulla
392190,b57f8a9a,2009-04-23,Newlands,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,5,7,0,0,0,0,0,0,0,0,0,0,5,0,0,5,GC Smith,PC Valthaty,RJ Quiney,YK Pathan,RA Jadeja,AD Mascarenhas,AS Raut,SK Warne,M Rawat,MM Patel,Kamran Khan
392197,b57f8a9a,2009-04-27,St George's Park,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,24,23,3,0,18,1,29,0,0,0,0,0,27,25,0,52,ST Jayasuriya,SR Tendulkar,Harbhajan Singh,JP Duminy,AM Nayar,DJ Bravo,S Dhawan,SS Tiwary,PR Shah,Z Khan,SL Malinga
392199,b57f8a9a,2009-04-29,Kingsmead,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,17,16,2,1,24,3,30,0,0,0,0,0,21,79,0,100,JH Kallis,SP Goswami,KP Pietersen,V Kohli,MV Boucher,RE van der Merwe,MK Pandey,P Kumar,Pankaj Singh,A Kumble,KP Appanna
392203,b57f8a9a,2009-05-01,Buffalo Park,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,73,64,5,3,12,1,13,1,0,0,0,0,92,35,0,127,ST Jayasuriya,SR Tendulkar,Harbhajan Singh,AM Nayar,JP Duminy,GR Napier,AM Rahane,Z Khan,SS Tiwary,PR Shah,SL Malinga
392207,b57f8a9a,2009-05-03,St George's Park,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,70,44,10,1,12,1,13,0,0,1,0,0,94,27,8,129,S Sohal,KC Sangakkara,SM Katich,DPMD Jayawardene,Yuvraj Singh,IK Pathan,RR Powar,TM Srivastava,VS Malik,PP Chawla,YA Abdulla
392211,b57f8a9a,2009-05-05,Kingsmead,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,10,19,0,0,12,0,18,0,0,0,0,0,6,0,0,6,G Gambhir,DA Warner,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,R Bhatia,A Mishra,PJ Sangwan,A Nehra,DP Nannes
392219,b57f8a9a,2009-05-10,New Wanderers Stadium,Indian Premier League,T20,20,BJ Hodge,Kolkata Knight Riders,0,3,0,0,6,0,2,0,0,1,0,0,-2,0,8,6,G Gambhir,DA Warner,AB de Villiers,TM Dilshan,KD Karthik,M Manhas,R Bhatia,A Mishra,PJ Sangwan,A Nehra,DP Nannes
