match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082596,871e9faf,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,13,8,0,1,12,0,21,0,0,0,0,0,15,-2,0,13,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,A Nehra,Rashid Khan
1082603,871e9faf,2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,0,0,0,0,18,0,21,0,0,0,0,0,0,0,0,0,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MK Tiwary,MS Dhoni,Ankit Sharma,SN Thakur,LH Ferguson,RD Chahar,Imran Tahir
1082606,871e9faf,2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,0,0,0,0,24,0,34,0,0,0,0,0,0,0,0,0,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,HH Pandya,KH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082610,871e9faf,2017-04-18,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,0,1,0,0,24,1,31,1,0,0,0,0,-2,33,0,31,CH Gayle,V Kohli,TM Head,KM Jadhav,SR Watson,Mandeep Singh,STR Binny,P Negi,AF Milne,S Aravind,YS Chahal
1082613,871e9faf,2017-04-21,Eden Gardens,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,0,0,0,0,24,2,44,1,0,0,0,0,0,56,0,56,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,Shakib Al Hasan,CR Woakes,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
1082616,871e9faf,2017-04-23,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,11,12,1,0,24,1,45,0,0,0,0,1,12,21,6,39,M Vohra,HM Amla,SE Marsh,GJ Maxwell,MP Stoinis,AR Patel,WP Saha,MM Sharma,KC Cariappa,T Natarajan,Sandeep Sharma
1082621,871e9faf,2017-04-27,M Chinnaswamy Stadium,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,0,0,0,0,24,1,34,0,0,1,0,0,0,25,8,33,CH Gayle,V Kohli,AB de Villiers,TM Head,KM Jadhav,Mandeep Singh,P Negi,S Badree,S Aravind,A Choudhary,YS Chahal
1082625,871e9faf,2017-04-29,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,2,4,0,0,24,4,29,1,0,0,0,0,2,116,0,118,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga
1082629,871e9faf,2017-05-01,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,2,5,0,0,24,2,35,1,0,0,0,0,2,58,0,60,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,JD Unadkat,SN Thakur,Imran Tahir
1082632,871e9faf,2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,Basil Thampi,Gujarat Lions,0,0,0,0,24,1,41,0,0,0,0,0,0,23,0,23,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,MN Samuels,PJ Cummins,K Rabada,S Nadeem,A Mishra,Mohammed Shami
