match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082601,94d7f855,2017-04-13,Eden Gardens,Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,0,0,0,0,14,1,16,0,0,0,0,0,0,27,0,27,HM Amla,M Vohra,MP Stoinis,GJ Maxwell,DA Miller,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,I Sharma
1082604,94d7f855,2017-04-15,Eden Gardens,Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,0,2,0,0,0,0,0,0,0,2,0,0,-2,0,16,14,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,A Nehra
1082608,94d7f855,2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,1,2,0,0,6,0,12,0,0,0,0,1,1,0,6,7,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,AD Mathews,CH Morris,PJ Cummins,Mohammed Shami,A Mishra,Z Khan
1082617,94d7f855,2017-04-23,Eden Gardens,Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,0,2,0,0,10,3,4,1,0,0,0,0,-2,87,0,85,CH Gayle,V Kohli,Mandeep Singh,AB de Villiers,KM Jadhav,STR Binny,P Negi,S Badree,TS Mills,S Aravind,YS Chahal
1082620,94d7f855,2017-04-26,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,F du Plessis,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082622,94d7f855,2017-04-28,Eden Gardens,Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,SV Samson,KK Nair,SS Iyer,RR Pant,CH Morris,CJ Anderson,AR Bawne,PJ Cummins,K Rabada,A Mishra,Z Khan
1082627,94d7f855,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,18,15,1,1,0,0,0,0,0,0,0,0,21,0,0,21,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
1082631,94d7f855,2017-05-03,Eden Gardens,Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,36,19,3,2,2,0,7,0,0,0,0,0,53,0,0,53,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082636,94d7f855,2017-05-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,31,28,1,2,12,0,15,0,0,0,0,0,40,0,0,40,CH Gayle,Mandeep Singh,V Kohli,AB de Villiers,TM Head,KM Jadhav,P Negi,S Aravind,S Badree,A Choudhary,YS Chahal
1082639,94d7f855,2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,C de Grandhomme,Kolkata Knight Riders,11,7,1,0,24,0,37,0,0,0,0,0,12,0,0,12,MJ Guptill,M Vohra,SE Marsh,WP Saha,GJ Maxwell,AR Patel,Swapnil Singh,R Tewatia,MJ Henry,MM Sharma,Sandeep Sharma
