match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082593,45eda7c8,2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,93,46,6,8,0,0,0,0,0,0,0,0,129,0,0,129,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,MS Gony,P Kumar,SB Jakati,DS Kulkarni,S Kaushik
1082597,45eda7c8,2017-04-09,Wankhede Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,32,28,3,1,0,0,0,0,0,0,0,0,41,0,0,41,PA Patel,JC Buttler,N Rana,RG Sharma,KH Pandya,KA Pollard,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082636,45eda7c8,2017-05-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,50,22,5,4,0,0,0,0,0,1,0,0,77,0,8,85,CH Gayle,Mandeep Singh,V Kohli,AB de Villiers,TM Head,KM Jadhav,P Negi,S Aravind,S Badree,A Choudhary,YS Chahal
1082639,45eda7c8,2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,84,54,8,3,0,0,0,0,0,0,0,0,110,0,0,110,MJ Guptill,M Vohra,SE Marsh,WP Saha,GJ Maxwell,AR Patel,Swapnil Singh,R Tewatia,MJ Henry,MM Sharma,Sandeep Sharma
1082644,45eda7c8,2017-05-13,Eden Gardens,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,26,15,3,2,0,0,0,0,0,0,0,0,39,0,0,39,SS Tiwary,LMP Simmons,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,KV Sharma,MG Johnson,R Vinay Kumar,TG Southee
1082648,45eda7c8,2017-05-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,6,2,0,1,0,0,0,0,0,1,0,0,8,0,8,16,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,V Shankar,NV Ojha,CJ Jordan,Bipul Sharma,B Kumar,Rashid Khan,S Kaul
1082649,45eda7c8,2017-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,4,8,0,0,0,0,0,0,0,0,0,0,4,0,0,4,LMP Simmons,PA Patel,AT Rayudu,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MG Johnson,KV Sharma,JJ Bumrah,SL Malinga
1136563,45eda7c8,2018-04-08,Eden Gardens,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,5,8,1,0,0,0,0,0,0,0,0,0,6,0,0,6,BB McCullum,Q de Kock,V Kohli,AB de Villiers,SN Khan,Mandeep Singh,CR Woakes,Washington Sundar,UT Yadav,K Khejroliya,YS Chahal
1136565,45eda7c8,2018-04-10,MA Chidambaram Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,22,16,4,0,0,0,0,0,0,0,0,0,28,0,0,28,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,SN Thakur,Imran Tahir
1136570,45eda7c8,2018-04-14,Eden Gardens,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,49,34,7,1,0,0,0,0,0,0,0,0,64,0,0,64,WP Saha,S Dhawan,KS Williamson,MK Pandey,Shakib Al Hasan,DJ Hooda,YK Pathan,B Kumar,Rashid Khan,S Kaul,B Stanlake
1136573,45eda7c8,2018-04-16,Eden Gardens,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,31,29,4,1,0,0,0,0,0,0,0,0,41,0,0,41,G Gambhir,JJ Roy,SS Iyer,RR Pant,GJ Maxwell,R Tewatia,V Shankar,CH Morris,Mohammed Shami,S Nadeem,TA Boult
1136575,45eda7c8,2018-04-18,Sawai Mansingh Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,AM Rahane,DJM Short,SV Samson,RA Tripathi,BA Stokes,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
1136578,45eda7c8,2018-04-21,Eden Gardens,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,74,41,6,4,0,0,0,0,0,0,0,0,102,0,0,102,KL Rahul,CH Gayle,MA Agarwal,KK Nair,AJ Finch,Yuvraj Singh,R Ashwin,AJ Tye,BB Sran,Mujeeb Ur Rahman,AS Rajpoot
1136586,45eda7c8,2018-04-27,Arun Jaitley Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,5,6,1,0,0,0,0,0,0,0,0,0,6,0,0,6,PP Shaw,C Munro,SS Iyer,RR Pant,GJ Maxwell,V Shankar,R Tewatia,LE Plunkett,A Mishra,Avesh Khan,TA Boult
1136589,45eda7c8,2018-04-29,M.Chinnaswamy Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,62,55,7,1,0,0,0,0,0,0,0,0,79,0,0,79,Q de Kock,BB McCullum,V Kohli,M Vohra,Mandeep Singh,C de Grandhomme,M Ashwin,TG Southee,UT Yadav,YS Chahal,Mohammed Siraj
1136593,45eda7c8,2018-05-03,Eden Gardens,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,12,6,0,2,0,0,0,0,0,0,0,0,16,0,0,16,SR Watson,F du Plessis,SK Raina,AT Rayudu,MS Dhoni,RA Jadeja,KV Sharma,DJ Bravo,Harbhajan Singh,KM Asif,L Ngidi
1136597,45eda7c8,2018-05-06,Wankhede Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,17,13,4,0,0,0,0,0,0,1,0,0,23,0,8,31,SA Yadav,E Lewis,RG Sharma,HH Pandya,KH Pandya,JP Duminy,Ishan Kishan,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah
1136601,45eda7c8,2018-05-09,Eden Gardens,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,21,15,3,1,0,0,0,0,0,1,0,0,28,0,8,36,SA Yadav,E Lewis,RG Sharma,Ishan Kishan,HH Pandya,BCJ Cutting,KH Pandya,JP Duminy,MJ McClenaghan,M Markande,JJ Bumrah
1136604,45eda7c8,2018-05-12,Holkar Cricket Stadium,Indian Premier League,T20,20,CA Lynn,Kolkata Knight Riders,27,17,2,2,0,0,0,0,0,0,0,0,37,0,0,37,KL Rahul,CH Gayle,MA Agarwal,KK Nair,AJ Finch,AR Patel,R Ashwin,AJ Tye,BB Sran,MM Sharma,Mujeeb Ur Rahman
