date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-07,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,0,0,0,0,18,0,36,0,0,0,0,0,0,-4,0,-4,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,MS Gony,P Kumar,SB Jakati,DS Kulkarni,S Kaushik
2017-04-09,Wankhede Stadium,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,9,8,0,0,24,1,36,0,0,0,0,0,9,25,0,34,PA Patel,JC Buttler,N Rana,RG Sharma,KH Pandya,KA Pollard,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-04-13,Eden Gardens,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,0,0,0,0,18,2,30,0,0,1,0,0,0,50,8,58,HM Amla,M Vohra,MP Stoinis,GJ Maxwell,DA Miller,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,I Sharma
2017-04-15,Eden Gardens,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,1,1,0,0,24,2,50,0,0,1,0,0,1,44,8,53,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,A Nehra
2017-04-17,Feroz Shah Kotla,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,3,5,0,0,24,1,32,0,0,0,0,0,3,25,0,28,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,AD Mathews,CH Morris,PJ Cummins,Mohammed Shami,A Mishra,Z Khan
2017-04-21,Eden Gardens,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,0,0,0,0,12,1,20,0,0,0,0,0,0,25,0,25,AJ Finch,BB McCullum,SK Raina,KD Karthik,Ishan Kishan,DR Smith,RA Jadeja,JP Faulkner,P Kumar,Basil Thampi,DS Kulkarni
2017-04-23,Eden Gardens,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,18,21,3,0,12,3,6,1,0,1,0,0,21,93,8,122,CH Gayle,V Kohli,Mandeep Singh,AB de Villiers,KM Jadhav,STR Binny,P Negi,S Badree,TS Mills,S Aravind,YS Chahal
2017-04-26,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,0,0,0,0,18,0,38,0,0,0,0,0,0,-6,0,-6,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,F du Plessis,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
2017-04-28,Eden Gardens,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,0,0,0,0,18,0,20,0,0,1,0,0,0,2,8,10,SV Samson,KK Nair,SS Iyer,RR Pant,CH Morris,CJ Anderson,AR Bawne,PJ Cummins,K Rabada,A Mishra,Z Khan
2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,6,3,1,0,24,2,46,0,0,0,0,0,7,46,0,53,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
2017-05-03,Eden Gardens,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,1,3,0,0,24,3,19,2,0,0,0,0,1,101,0,102,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
2017-05-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,0,0,0,0,24,1,39,0,0,0,0,0,0,25,0,25,CH Gayle,Mandeep Singh,V Kohli,AB de Villiers,TM Head,KM Jadhav,P Negi,S Aravind,S Badree,A Choudhary,YS Chahal
2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,CR Woakes,Kolkata Knight Riders,8,6,0,1,24,2,21,2,0,1,0,0,10,70,8,88,MJ Guptill,M Vohra,SE Marsh,WP Saha,GJ Maxwell,AR Patel,Swapnil Singh,R Tewatia,MJ Henry,MM Sharma,Sandeep Sharma
2018-04-08,Eden Gardens,Indian Premier League,T20,20,CR Woakes,Royal Challengers Bangalore,5,5,1,0,24,3,36,0,0,0,0,0,6,79,0,85,SP Narine,CA Lynn,RV Uthappa,N Rana,KD Karthik,RK Singh,AD Russell,R Vinay Kumar,PP Chawla,MG Johnson,Kuldeep Yadav
2018-04-13,M.Chinnaswamy Stadium,Indian Premier League,T20,20,CR Woakes,Royal Challengers Bangalore,1,2,0,0,20,2,36,0,0,0,0,0,1,48,0,49,KL Rahul,MA Agarwal,AJ Finch,Yuvraj Singh,KK Nair,MP Stoinis,AR Patel,R Ashwin,AJ Tye,MM Sharma,Mujeeb Ur Rahman
2018-04-15,M.Chinnaswamy Stadium,Indian Premier League,T20,20,CR Woakes,Royal Challengers Bangalore,0,1,0,0,24,2,48,0,0,0,0,0,-2,46,0,44,AM Rahane,DJM Short,SV Samson,BA Stokes,JC Buttler,RA Tripathi,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
2018-04-17,Wankhede Stadium,Indian Premier League,T20,20,CR Woakes,Royal Challengers Bangalore,11,11,0,1,18,1,31,0,0,1,0,0,13,23,8,44,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman
2018-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,CR Woakes,Royal Challengers Bangalore,0,0,0,0,24,0,45,0,0,0,0,0,0,-4,0,-4,JJ Roy,G Gambhir,SS Iyer,RR Pant,GJ Maxwell,R Tewatia,CH Morris,V Shankar,S Nadeem,HV Patel,TA Boult
2021-04-10,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,CR Woakes,Delhi Capitals,0,0,0,0,18,2,19,1,0,0,0,0,0,60,0,60,RD Gaikwad,F du Plessis,MM Ali,SK Raina,AT Rayudu,RA Jadeja,MS Dhoni,SM Curran,DJ Bravo,SN Thakur,DL Chahar
2021-04-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,CR Woakes,Delhi Capitals,15,11,2,0,24,2,23,0,0,0,0,0,19,54,0,73,JC Buttler,M Vohra,SV Samson,S Dube,DA Miller,R Parag,R Tewatia,CH Morris,JD Unadkat,C Sakariya,Mustafizur Rahman
2021-04-18,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,CR Woakes,Delhi Capitals,0,0,0,0,25,1,43,0,0,0,0,0,0,23,0,23,KL Rahul,MA Agarwal,CH Gayle,DJ Hooda,N Pooran,M Shahrukh Khan,Jalaj S Saxena,JA Richardson,Mohammed Shami,RP Meredith,Arshdeep Singh
