date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-29,Eden Gardens,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,0,0,0,0,24,1,42,0,0,0,0,0,0,23,0,23,BB McCullum,SC Ganguly,RT Ponting,DB Das,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,0,0,0,0,24,5,18,0,0,1,0,1,0,147,14,161,MV Boucher,SP Goswami,Misbah-ul-Haq,R Dravid,CL White,V Kohli,B Akhil,P Kumar,R Vinay Kumar,A Kumble,DW Steyn
2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,0,0,0,0,25,3,39,1,0,0,0,0,0,87,0,87,AC Gilchrist,Shahid Afridi,RG Sharma,LPC Silva,Y Venugopal Rao,DB Ravi Teja,DNT Zoysa,H Das,RP Singh,PP Ojha,DP Vijaykumar
2008-05-21,Wankhede Stadium,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,2,1,0,0,24,1,36,0,0,0,0,0,2,25,0,27,SE Marsh,JR Hopes,LA Pomersbach,Yuvraj Singh,DPMD Jayawardene,IK Pathan,TM Srivastava,PP Chawla,U Kaul,S Sreesanth,VRV Singh
2008-05-26,Sawai Mansingh Stadium,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,0,0,0,0,24,2,29,0,0,0,0,0,0,50,0,50,Kamran Akmal,SA Asnodkar,YK Pathan,SR Watson,M Kaif,RA Jadeja,NK Patel,SK Warne,Sohail Tanvir,SK Trivedi,Pankaj Singh
2010-04-13,Brabourne Stadium,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,0,0,0,0,25,2,33,1,0,0,0,0,0,58,0,58,DA Warner,V Sehwag,G Gambhir,KD Karthik,AB de Villiers,PD Collingwood,AB McDonald,A Mishra,PJ Sangwan,A Nehra,S Ladda
2010-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,0,0,0,0,24,2,25,0,0,0,0,0,0,52,0,52,MK Pandey,JH Kallis,KP Pietersen,R Dravid,RV Uthappa,LRPL Taylor,V Kohli,DW Steyn,R Vinay Kumar,Pankaj Singh,A Kumble
2010-04-19,Eden Gardens,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,0,0,0,0,19,0,31,0,0,0,0,0,0,0,0,0,SC Ganguly,BB McCullum,DJ Hussey,MK Tiwary,AD Mathews,CA Pujara,WP Saha,JD Unadkat,M Kartik,AB Dinda,SE Bond
2010-04-21,Dr DY Patil Sports Academy,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,0,0,0,0,25,1,28,1,0,0,0,0,0,35,0,35,JH Kallis,R Dravid,KP Pietersen,RV Uthappa,LRPL Taylor,V Kohli,MK Pandey,P Kumar,R Vinay Kumar,DW Steyn,A Kumble
2010-04-25,Dr DY Patil Sports Academy,Indian Premier League,T20,20,CRD Fernando,Mumbai Indians,2,2,0,0,24,2,25,0,0,1,0,0,2,52,8,62,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JA Morkel,S Anirudha,R Ashwin,SB Jakati,DE Bollinger,M Muralitharan
