match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1216494,2c25d4f5,2020-10-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,25,17,3,0,0,0,0,0,0,1,0,0,30,0,8,38,Shubman Gill,RA Tripathi,N Rana,T Banton,KD Karthik,EJG Morgan,PJ Cummins,Kuldeep Yadav,LH Ferguson,M Prasidh Krishna,CV Varun
1216499,2c25d4f5,2020-10-28,Sheikh Zayed Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,74,46,12,1,0,0,0,0,0,1,0,0,100,0,8,108,Q de Kock,Ishan Kishan,SA Yadav,SS Tiwary,KH Pandya,HH Pandya,KA Pollard,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
1216502,2c25d4f5,2020-10-31,Sharjah Cricket Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,5,8,1,0,0,0,0,0,0,0,0,0,6,0,0,6,DA Warner,WP Saha,MK Pandey,KS Williamson,Abhishek Sharma,JO Holder,Abdul Samad,Rashid Khan,S Nadeem,Sandeep Sharma,T Natarajan
1216505,2c25d4f5,2020-11-02,Sheikh Zayed Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,50,43,5,0,0,0,0,0,0,0,0,0,63,0,0,63,PP Shaw,S Dhawan,AM Rahane,SS Iyer,RR Pant,MP Stoinis,AR Patel,DR Sams,R Ashwin,K Rabada,A Nortje
1216510,2c25d4f5,2020-09-24,Dubai International Cricket Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,KL Rahul,MA Agarwal,N Pooran,GJ Maxwell,KK Nair,JDS Neesham,SN Khan,Mohammed Shami,SS Cottrell,Ravi Bishnoi,M Ashwin
1216514,2c25d4f5,2020-10-03,Sheikh Zayed Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,63,46,6,1,0,0,0,0,0,2,0,0,81,0,16,97,JC Buttler,SPD Smith,SV Samson,RV Uthappa,MK Lomror,R Parag,R Tewatia,JC Archer,TK Curran,S Gopal,JD Unadkat
1216519,2c25d4f5,2020-10-05,Dubai International Cricket Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,4,6,0,0,0,0,0,0,0,1,0,0,4,0,8,12,PP Shaw,S Dhawan,SS Iyer,RR Pant,MP Stoinis,SO Hetmyer,AR Patel,R Ashwin,K Rabada,A Nortje,HV Patel
1216522,2c25d4f5,2020-10-17,Dubai International Cricket Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,35,42,2,0,0,0,0,0,0,0,0,0,41,0,0,41,RV Uthappa,BA Stokes,SV Samson,SPD Smith,JC Buttler,R Tewatia,JC Archer,R Parag,S Gopal,JD Unadkat,Kartik Tyagi
1216525,2c25d4f5,2020-10-10,Dubai International Cricket Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,33,38,2,1,0,0,0,0,0,1,0,0,41,0,8,49,SR Watson,F du Plessis,AT Rayudu,N Jagadeesan,MS Dhoni,SM Curran,RA Jadeja,DJ Bravo,DL Chahar,SN Thakur,KV Sharma
1216531,2c25d4f5,2020-10-15,Sharjah Cricket Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,18,13,1,1,0,0,0,0,0,0,0,0,23,0,0,23,KL Rahul,MA Agarwal,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,M Ashwin,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
1216534,2c25d4f5,2020-09-21,Dubai International Cricket Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,56,44,8,0,0,0,0,0,0,0,0,0,72,0,0,72,DA Warner,JM Bairstow,MK Pandey,PK Garg,V Shankar,Abhishek Sharma,Rashid Khan,B Kumar,Sandeep Sharma,MR Marsh,T Natarajan
1216540,2c25d4f5,2020-10-12,Sharjah Cricket Stadium,Indian Premier League,T20,20,D Padikkal,Royal Challengers Bangalore,32,23,4,1,0,0,0,0,0,1,0,0,44,0,8,52,T Banton,Shubman Gill,N Rana,EJG Morgan,KD Karthik,AD Russell,RA Tripathi,PJ Cummins,KL Nagarkoti,CV Varun,M Prasidh Krishna
