match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1359502,,2023-04-20,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,D Wiese,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,JJ Roy,Liton Das,VR Iyer,N Rana,Mandeep Singh,RK Singh,SP Narine,AD Russell,AS Roy,UT Yadav,CV Varun
1359507,aa8d28ae,2023-04-23,"Eden Gardens, Kolkata",Indian Premier League,T20,20,D Wiese,Kolkata Knight Riders,1,2,0,0,18,0,38,0,0,1,0,0,1,-6,8,3,Akash Singh,RD Gaikwad,DP Conway,AM Rahane,S Dube,RA Jadeja,MS Dhoni,MM Ali,AT Rayudu,M Pathirana,TU Deshpande
1359510,aa8d28ae,2023-04-26,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,D Wiese,Kolkata Knight Riders,12,3,0,2,0,0,0,0,0,1,0,0,16,0,8,24,HV Patel,V Kohli,F du Plessis,Shahbaz Ahmed,GJ Maxwell,MK Lomror,KD Karthik,SS Prabhudessai,PWH de Silva,DJ Willey,Vijaykumar Vyshak
1359513,aa8d28ae,2023-04-29,"Eden Gardens, Kolkata",Indian Premier League,T20,20,D Wiese,Kolkata Knight Riders,8,6,0,1,0,0,0,0,0,0,0,0,10,0,0,10,MM Sharma,WP Saha,Shubman Gill,HH Pandya,V Shankar,DA Miller,A Manohar,R Tewatia,Rashid Khan,Noor Ahmad,Mohammed Shami
829737,aa8d28ae,2015-04-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,47,25,6,2,24,4,36,1,0,0,0,0,67,116,0,183,LMP Simmons,PA Patel,UBT Chand,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,HH Pandya,JJ Bumrah,MJ McClenaghan,SL Malinga
829745,aa8d28ae,2015-04-22,M Chinnaswamy Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,22,20,2,1,24,1,47,0,0,0,0,0,26,21,0,47,DR Smith,BB McCullum,SK Raina,MS Dhoni,RA Jadeja,F du Plessis,DJ Bravo,R Ashwin,MM Sharma,A Nehra,IC Pandey
829749,aa8d28ae,2015-04-24,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,0,0,0,0,24,0,27,0,0,1,0,0,0,2,8,10,AM Rahane,SR Watson,SPD Smith,KK Nair,DJ Hooda,SV Samson,STR Binny,JP Faulkner,CH Morris,DS Kulkarni,PV Tambe
829757,aa8d28ae,2015-04-26,Feroz Shah Kotla,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,0,0,0,0,20,3,18,1,0,0,0,0,0,91,0,91,MA Agarwal,SS Iyer,JP Duminy,Yuvraj Singh,AD Mathews,KM Jadhav,NM Coulter-Nile,A Mishra,S Nadeem,Imran Tahir,DJ Muthuswami
829763,aa8d28ae,2015-04-29,M Chinnaswamy Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,11,9,2,0,0,0,0,0,0,0,0,0,13,0,0,13,AM Rahane,SR Watson,SPD Smith,KK Nair,SV Samson,STR Binny,DJ Hooda,JP Faulkner,PV Tambe,DS Kulkarni,TG Southee
829771,aa8d28ae,2015-05-02,M Chinnaswamy Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,9,8,0,0,12,1,20,0,0,0,0,0,9,25,0,34,RV Uthappa,G Gambhir,AD Russell,RN ten Doeschate,YK Pathan,SA Yadav,MK Pandey,PJ Cummins,PP Chawla,GB Hogg,UT Yadav
829779,aa8d28ae,2015-05-04,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,17,15,2,0,24,2,29,0,0,1,0,0,19,50,8,77,DR Smith,BB McCullum,SK Raina,F du Plessis,MS Dhoni,RA Jadeja,P Negi,DJ Bravo,MM Sharma,A Nehra,IC Pandey
829785,aa8d28ae,2015-05-06,M Chinnaswamy Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,0,0,0,0,6,0,4,0,0,1,0,0,0,0,8,8,M Vijay,M Vohra,WP Saha,GJ Maxwell,DA Miller,GJ Bailey,AR Patel,MG Johnson,Anureet Singh,Karanveer Singh,Sandeep Sharma
829795,aa8d28ae,2015-05-10,Wankhede Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,0,0,0,0,24,0,38,0,0,0,0,0,0,0,0,0,PA Patel,LMP Simmons,RG Sharma,KA Pollard,HH Pandya,AT Rayudu,Harbhajan Singh,J Suchith,MJ McClenaghan,SL Malinga,JJ Bumrah
829803,aa8d28ae,2015-05-13,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,4,5,0,0,12,1,17,0,0,0,0,0,4,25,0,29,WP Saha,M Vohra,GJ Maxwell,DA Miller,GJ Bailey,AR Patel,Gurkeerat Singh,R Dhawan,BE Hendricks,Anureet Singh,Sandeep Sharma
829807,aa8d28ae,2015-05-15,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,0,0,0,0,12,2,20,0,0,0,0,0,0,50,0,50,DA Warner,S Dhawan,MC Henriques,EJG Morgan,NV Ojha,KL Rahul,Bipul Sharma,KV Sharma,B Kumar,P Kumar,DW Steyn
829813,aa8d28ae,2015-05-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,0,0,0,0,24,0,39,0,0,0,0,0,0,0,0,0,Q de Kock,SS Iyer,JP Duminy,Yuvraj Singh,KM Jadhav,AD Mathews,SS Tiwary,J Yadav,S Nadeem,GS Sandhu,Z Khan
829819,aa8d28ae,2015-05-20,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,0,0,0,0,24,2,32,0,0,0,0,0,0,50,0,50,AM Rahane,SR Watson,SV Samson,SPD Smith,KK Nair,DJ Hooda,JP Faulkner,STR Binny,CH Morris,Ankit Sharma,DS Kulkarni
829821,aa8d28ae,2015-05-22,JSCA International Stadium Complex,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,12,8,0,1,24,1,33,0,0,1,0,0,14,25,8,47,DR Smith,MEK Hussey,F du Plessis,SK Raina,MS Dhoni,P Negi,DJ Bravo,RA Jadeja,R Ashwin,MM Sharma,A Nehra
980921,aa8d28ae,2016-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,D Wiese,Royal Challengers Bangalore,5,4,0,0,25,0,49,0,0,1,0,0,5,-4,8,9,Q de Kock,SS Iyer,SV Samson,KK Nair,JP Duminy,CR Brathwaite,CH Morris,P Negi,Z Khan,A Mishra,Mohammed Shami
