date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,16,12,0,1,6,1,7,0,0,0,0,0,20,25,0,45,CH Gayle,Mandeep Singh,TM Head,KM Jadhav,SR Watson,Sachin Baby,STR Binny,S Aravind,TS Mills,YS Chahal,A Choudhary
2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,DS Kulkarni,P Kumar,Basil Thampi,Tejas Baroka,S Kaushik
2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,9,10,1,0,12,1,18,0,0,0,0,0,10,25,0,35,PA Patel,JC Buttler,RG Sharma,N Rana,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-04-15,Eden Gardens,Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,13,7,1,1,0,0,0,0,0,0,0,0,16,0,0,16,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,C de Grandhomme,CR Woakes,Kuldeep Yadav,UT Yadav,TA Boult
2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,12,10,1,0,0,0,0,0,0,0,0,0,13,0,0,13,HM Amla,M Vohra,GJ Maxwell,EJG Morgan,DA Miller,WP Saha,AR Patel,MM Sharma,KC Cariappa,I Sharma,Sandeep Sharma
2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,9,4,0,1,0,0,0,0,0,1,0,0,11,0,8,19,SV Samson,SW Billings,KK Nair,RR Pant,SS Iyer,AD Mathews,CH Morris,J Yadav,PJ Cummins,A Mishra,Z Khan
2017-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,19,10,2,1,0,0,0,0,0,0,0,0,29,0,0,29,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,MK Tiwary,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,0,0,0,0,6,0,17,0,0,3,0,0,0,0,28,28,MJ Guptill,M Vohra,SE Marsh,GJ Maxwell,EJG Morgan,WP Saha,AR Patel,Anureet Singh,MM Sharma,I Sharma,KC Cariappa
2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,CH Morris,AD Mathews,J Yadav,K Rabada,A Mishra,Mohammed Shami
2017-05-13,Green Park,Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,PJ Sangwan,Ankit Soni,P Kumar,MM Patel
2018-04-09,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AM Rahane,DJM Short,SV Samson,BA Stokes,RA Tripathi,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
2018-04-12,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,32,26,1,1,0,0,0,0,0,1,0,0,39,0,8,47,RG Sharma,E Lewis,Ishan Kishan,SA Yadav,KH Pandya,KA Pollard,BCJ Cutting,PJ Sangwan,M Markande,JJ Bumrah,Mustafizur Rahman
2018-04-14,Eden Gardens,Indian Premier League,T20,20,DJ Hooda,Sunrisers Hyderabad,5,9,0,0,0,0,0,0,0,0,0,0,5,0,0,5,RV Uthappa,CA Lynn,N Rana,SP Narine,KD Karthik,AD Russell,Shubman Gill,Shivam Mavi,MG Johnson,PP Chawla,Kuldeep Yadav
