match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
598030,c03c6200,2013-04-25,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,19,12,2,1,18,0,31,0,0,1,0,0,27,-2,8,33,MEK Hussey,M Vijay,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,CH Morris,S Badrinath,R Ashwin,JO Holder,MM Sharma
598032,c03c6200,2013-04-27,Sawai Mansingh Stadium,Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,60,44,8,1,18,0,17,0,0,0,0,0,80,4,0,84,R Dravid,AM Rahane,SR Watson,STR Binny,BJ Hodge,DH Yagnik,Sachin Baby,JP Faulkner,KK Cooper,A Chandila,SK Trivedi
598039,c03c6200,2013-05-01,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,MG Johnson,SL Malinga,DS Kulkarni,PP Ojha
598044,c03c6200,2013-05-04,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,18,20,0,1,18,3,10,1,0,0,0,1,20,93,6,119,DPMD Jayawardene,V Sehwag,UBT Chand,DA Warner,BMAJ Mendis,KM Jadhav,IK Pathan,J Botha,S Nadeem,A Nehra,UT Yadav
598051,c03c6200,2013-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,7,3,0,1,13,0,33,0,0,0,0,0,9,-6,0,3,MEK Hussey,M Vijay,SK Raina,MS Dhoni,RA Jadeja,S Badrinath,DJ Bravo,CH Morris,R Ashwin,JO Holder,MM Sharma
598056,c03c6200,2013-05-11,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,0,3,0,0,24,6,23,1,0,0,0,1,-2,178,6,182,AC Gilchrist,Mandeep Singh,SE Marsh,LA Pomersbach,DA Miller,R Sathish,PP Chawla,P Kumar,Harmeet Singh,P Awana,Sandeep Sharma
598060,c03c6200,2013-05-13,Wankhede Stadium,Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,DR Smith,SR Tendulkar,KD Karthik,RG Sharma,AT Rayudu,KA Pollard,Harbhajan Singh,MG Johnson,DS Kulkarni,SL Malinga,PP Ojha
598065,c03c6200,2013-05-17,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,23,19,1,1,6,0,4,0,0,1,0,0,26,0,8,34,R Dravid,AM Rahane,SR Watson,SV Samson,STR Binny,BJ Hodge,Sachin Baby,JP Faulkner,KK Cooper,PV Tambe,SK Trivedi
598069,c03c6200,2013-05-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,17,12,0,2,6,0,9,0,0,0,0,0,23,0,0,23,MS Bisla,G Gambhir,JH Kallis,EJG Morgan,YK Pathan,RN ten Doeschate,P Dogra,SP Narine,Iqbal Abdulla,PJ Sangwan,Mohammed Shami
598071,c03c6200,2013-05-22,Feroz Shah Kotla,Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,29,22,0,3,20,2,27,2,0,1,0,0,37,66,8,111,R Dravid,AM Rahane,SR Watson,DH Yagnik,STR Binny,SV Samson,BJ Hodge,JP Faulkner,KK Cooper,VS Malik,SK Trivedi
729285,c03c6200,2014-04-18,Sheikh Zayed Stadium,Indian Premier League,T20,20,DJG Sammy,Sunrisers Hyderabad,6,12,0,0,12,0,19,0,0,1,0,0,2,0,8,10,AM Nayar,AM Rahane,SV Samson,SR Watson,STR Binny,BJ Hodge,R Bhatia,JP Faulkner,KW Richardson,DS Kulkarni,PV Tambe
