match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
392183,c404f58a,2009-04-19,Newlands,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,18,0,26,0,0,1,0,0,0,0,8,8,RS Bopara,K Goel,Yuvraj Singh,KC Sangakkara,DPMD Jayawardene,IK Pathan,PP Chawla,T Kohli,VS Malik,VRV Singh,YA Abdulla
392189,c404f58a,2009-04-23,Kingsmead,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,2,32,0,0,1,0,1,0,50,14,64,PA Patel,ML Hayden,SK Raina,MS Dhoni,A Flintoff,JA Morkel,S Badrinath,MS Gony,Joginder Sharma,L Balaji,M Muralitharan
392194,c404f58a,2009-04-26,St George's Park,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,1,28,1,0,0,0,0,0,33,0,33,JH Kallis,RV Uthappa,KP Pietersen,LRPL Taylor,V Kohli,MV Boucher,B Akhil,R Vinay Kumar,Pankaj Singh,A Kumble,KP Appanna
392198,c404f58a,2009-04-28,SuperSport Park,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,21,0,24,0,0,0,0,0,0,2,0,2,RJ Quiney,GC Smith,SA Asnodkar,PC Valthaty,RA Jadeja,SK Warne,YK Pathan,AD Mascarenhas,M Rawat,MM Patel,Kamran Khan
392201,c404f58a,2009-04-30,SuperSport Park,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,3,16,0,0,0,0,0,0,85,0,85,AC Gilchrist,HH Gibbs,AA Bilakhia,RG Sharma,TL Suman,DR Smith,Y Venugopal Rao,Shoaib Ahmed,RP Singh,PP Ojha,FH Edwards
392206,c404f58a,2009-05-02,New Wanderers Stadium,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,4,27,0,0,0,0,0,0,110,0,110,M Vijay,ML Hayden,SK Raina,S Badrinath,JA Morkel,MS Dhoni,JDP Oram,SB Jakati,L Balaji,M Muralitharan,S Tyagi
392211,c404f58a,2009-05-05,Kingsmead,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,0,49,0,0,0,0,0,0,-6,0,-6,MN van Wyk,BB McCullum,BJ Hodge,MC Henriques,WP Saha,SC Ganguly,Yashpal Singh,AB Agarkar,M Kartik,I Sharma,AB Dinda
392215,c404f58a,2009-05-08,Buffalo Park,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,3,33,0,0,0,0,0,0,79,0,79,L Ronchi,JP Duminy,PR Shah,SR Tendulkar,AM Nayar,DJ Bravo,Harbhajan Singh,AM Rahane,RR Raje,DS Kulkarni,SL Malinga
392219,c404f58a,2009-05-10,New Wanderers Stadium,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,2,15,0,0,0,0,0,0,56,0,56,BB McCullum,SC Ganguly,BJ Hodge,MN van Wyk,Yashpal Singh,WP Saha,MC Henriques,AB Agarkar,M Kartik,I Sharma,SS Sarkar
392223,c404f58a,2009-05-13,Kingsmead,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,1,33,0,0,0,0,0,0,25,0,25,TL Suman,AC Gilchrist,RG Sharma,DB Ravi Teja,A Symonds,DR Smith,Y Venugopal Rao,WPUJC Vaas,RP Singh,PP Ojha,Shoaib Ahmed
392230,c404f58a,2009-05-17,OUTsurance Oval,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,1,35,0,0,1,0,0,0,25,8,33,RJ Quiney,GC Smith,NV Ojha,J Botha,RA Jadeja,YK Pathan,AS Raut,SK Warne,A Singh,SK Trivedi,MM Patel
392235,c404f58a,2009-05-21,SuperSport Park,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,3,28,1,0,0,0,0,0,87,0,87,ST Jayasuriya,SR Tendulkar,JP Duminy,Mohammad Ashraful,AM Rahane,AM Nayar,PR Shah,Harbhajan Singh,SL Malinga,DS Kulkarni,RA Shaikh
392237,c404f58a,2009-05-22,SuperSport Park,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,18,0,38,0,0,1,0,0,0,-6,8,2,AC Gilchrist,HH Gibbs,AA Bilakhia,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,RJ Harris,PP Ojha,Harmeet Singh,RP Singh
419108,c404f58a,2010-03-13,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,2,19,1,0,0,0,0,0,64,0,64,RS Bopara,MS Bisla,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,M Kaif,PP Chawla,RR Powar,S Sreesanth,YA Abdulla
419111,c404f58a,2010-03-15,"Sardar Patel Stadium, Motera",Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,2,27,0,0,0,0,0,0,52,0,52,SA Asnodkar,GC Smith,NV Ojha,YK Pathan,AA Jhunjhunwala,P Dogra,AD Mascarenhas,A Uniyal,SK Warne,SW Tait,MM Patel
419114,c404f58a,2010-03-17,Feroz Shah Kotla,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,3,11,0,0,25,1,36,0,0,0,0,0,-3,25,0,22,ST Jayasuriya,SR Tendulkar,AP Tare,SS Tiwary,AT Rayudu,KA Pollard,DJ Bravo,R Sathish,Harbhajan Singh,Z Khan,SL Malinga
419116,c404f58a,2010-03-19,Feroz Shah Kotla,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,2,19,1,0,0,0,0,0,64,0,64,PA Patel,ML Hayden,S Badrinath,SK Raina,JA Morkel,JM Kemp,M Vijay,R Ashwin,L Balaji,M Muralitharan,Joginder Sharma
419120,c404f58a,2010-03-21,Barabati Stadium,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,1,2,0,0,24,1,39,0,0,0,0,0,1,25,0,26,MD Mishra,AC Gilchrist,HH Gibbs,A Symonds,RG Sharma,TL Suman,Y Venugopal Rao,WPUJC Vaas,R Sharma,PP Ojha,RP Singh
419128,c404f58a,2010-03-25,M Chinnaswamy Stadium,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,1,33,0,0,0,0,1,0,25,6,31,MK Pandey,JH Kallis,RV Uthappa,R Dravid,EJG Morgan,V Kohli,MV Boucher,R Vinay Kumar,P Kumar,DW Steyn,A Kumble
419131,c404f58a,2010-03-29,Feroz Shah Kotla,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,19,1,15,1,0,0,0,0,0,39,0,39,CH Gayle,SC Ganguly,Mandeep Singh,MK Tiwary,DJ Hussey,AD Mathews,WP Saha,AB Agarkar,M Kartik,CK Langeveldt,I Sharma
419155,c404f58a,2010-04-15,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,20,1,25,0,0,0,0,0,0,25,0,25,M Vijay,ML Hayden,MS Dhoni,SK Raina,MEK Hussey,S Badrinath,JA Morkel,R Ashwin,L Balaji,DE Bollinger,SB Jakati
419160,c404f58a,2010-04-18,Feroz Shah Kotla,Indian Premier League,T20,20,DP Nannes,Delhi Daredevils,0,0,0,0,24,0,22,0,0,0,0,0,0,4,0,4,AC Gilchrist,MD Mishra,TL Suman,RG Sharma,A Symonds,MR Marsh,B Sumanth,WPUJC Vaas,R Sharma,PP Ojha,Harmeet Singh
501200,c404f58a,2011-04-09,Nehru Stadium,Indian Premier League,T20,20,DP Nannes,Royal Challengers Bangalore,0,0,0,0,18,1,31,0,0,1,0,0,0,23,8,31,BB McCullum,VVS Laxman,DPMD Jayawardene,BJ Hodge,RA Jadeja,RV Gomez,PA Patel,M Muralitharan,R Vinay Kumar,RP Singh,S Sreesanth
501205,c404f58a,2011-04-12,M Chinnaswamy Stadium,Indian Premier League,T20,20,DP Nannes,Royal Challengers Bangalore,0,0,0,0,6,1,0,1,1,0,0,0,0,45,0,45,DJ Jacobs,SR Tendulkar,AT Rayudu,RG Sharma,KA Pollard,JEC Franklin,R Sathish,Harbhajan Singh,AG Murtaza,MM Patel,SL Malinga
598002,c404f58a,2013-04-06,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,DP Nannes,Chennai Super Kings,0,0,0,0,24,1,19,1,0,1,0,0,0,39,8,47,RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,AT Rayudu,KA Pollard,DR Smith,Harbhajan Singh,MG Johnson,MM Patel,PP Ojha
598007,c404f58a,2013-04-10,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,DP Nannes,Chennai Super Kings,0,0,0,0,23,3,17,0,0,1,0,0,0,85,8,93,Mandeep Singh,AC Gilchrist,M Vohra,DJ Hussey,Gurkeerat Singh,Azhar Mahmood,R Sathish,PP Chawla,RJ Harris,P Kumar,P Awana
598012,c404f58a,2013-04-13,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,DP Nannes,Chennai Super Kings,0,0,0,0,25,1,31,0,0,0,0,0,0,25,0,25,CH Gayle,MA Agarwal,V Kohli,AB de Villiers,DT Christian,R Rampaul,KB Arun Karthik,J Syed Mohammad,R Vinay Kumar,M Kartik,RP Singh
598015,c404f58a,2013-04-15,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,DP Nannes,Chennai Super Kings,0,0,0,0,24,0,43,0,0,0,0,0,0,-2,0,-2,RV Uthappa,AJ Finch,LRPL Taylor,SPD Smith,MR Marsh,MK Pandey,AM Nayar,TL Suman,B Kumar,R Sharma,AB Dinda
598034,c404f58a,2013-04-28,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,DP Nannes,Chennai Super Kings,0,0,0,0,25,0,55,0,0,1,0,0,0,-6,8,2,MS Bisla,G Gambhir,BB McCullum,JH Kallis,EJG Morgan,YK Pathan,DB Das,R Bhatia,SP Narine,Mohammed Shami,L Balaji
