match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1422123,3204c99f,2024-03-24,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,1,3,0,0,24,2,29,0,0,0,0,0,1,50,0,51,MM Sharma,WP Saha,Shubman Gill,B Sai Sudharsan,Azmatullah Omarzai,DA Miller,V Shankar,R Tewatia,Rashid Khan,UT Yadav,R Sai Kishore
1422126,3204c99f,2024-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,0,0,0,0,25,1,61,0,0,0,0,0,0,19,0,19,Umran Malik,MA Agarwal,TM Head,Abhishek Sharma,AK Markram,H Klaasen,Abdul Samad,Shahbaz Ahmed,PJ Cummins,B Kumar,M Markande
1422132,3204c99f,2024-04-01,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,4,9,0,0,15,0,37,0,0,0,0,0,4,-6,0,-2,YS Chahal,YBK Jaiswal,JC Buttler,SV Samson,R Parag,R Ashwin,SB Dubey,Dhruv Jurel,SO Hetmyer,TA Boult,Avesh Khan
1422138,3204c99f,2024-04-07,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,0,0,0,0,24,4,35,0,0,0,0,0,0,108,0,108,KK Ahmed,PP Shaw,DA Warner,Abishek Porel,T Stubbs,RR Pant,AR Patel,Lalit Yadav,Kumar Kushagra,JA Richardson,A Nortje
1426263,3204c99f,2024-04-11,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,0,0,0,0,24,1,42,0,0,0,0,0,0,23,0,23,V Kohli,F du Plessis,WG Jacks,RM Patidar,GJ Maxwell,KD Karthik,MK Lomror,Saurav Chauhan,Vijaykumar Vyshak,Akash Deep,RJW Topley
1426267,3204c99f,2024-04-14,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,0,0,0,0,24,1,37,0,0,0,0,0,0,25,0,25,AM Rahane,R Ravindra,RD Gaikwad,S Dube,DJ Mitchell,MS Dhoni,RA Jadeja,Sameer Rizvi,SN Thakur,TU Deshpande,Mustafizur Rahman
1426271,3204c99f,2024-04-18,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,0,0,0,0,24,3,34,0,0,0,0,0,0,79,0,79,Arshdeep Singh,SM Curran,P Simran Singh,RR Rossouw,LS Livingstone,Harpreet Singh,Shashank Singh,JM Sharma,Ashutosh Sharma,Harpreet Brar,HV Patel
1426276,3204c99f,2024-04-22,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,0,1,0,0,12,0,25,0,0,0,0,0,-2,-6,0,-8,YS Chahal,YBK Jaiswal,JC Buttler,SV Samson,R Powell,R Parag,SO Hetmyer,Dhruv Jurel,R Ashwin,TA Boult,Avesh Khan
1426286,3204c99f,2024-04-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,1,2,0,0,18,1,33,1,0,0,0,0,1,31,0,32,MP Yadav,KL Rahul,AA Kulkarni,MP Stoinis,DJ Hooda,N Pooran,AJ Turner,A Badoni,KH Pandya,Ravi Bishnoi,Naveen-ul-Haq
1426289,3204c99f,2024-05-03,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,G Coetzee,Mumbai Indians,8,7,0,1,12,0,24,0,0,1,0,0,10,-4,8,14,PD Salt,SP Narine,A Raghuvanshi,SS Iyer,VR Iyer,RK Singh,MK Pandey,AD Russell,Ramandeep Singh,MA Starc,VG Arora
