date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,GC Smith,Rajasthan Royals,71,46,9,2,0,0,0,0,0,0,0,0,96,0,0,96,AC Gilchrist,VVS Laxman,Shahid Afridi,A Symonds,RG Sharma,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,PP Ojha,D Kalyankrishna
2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,GC Smith,Rajasthan Royals,49,42,8,0,0,0,0,0,0,1,0,0,61,0,8,69,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,P Kumar,SB Joshi,Z Khan,R Vinay Kumar,A Kumble
2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,GC Smith,Rajasthan Royals,2,7,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Salman Butt,SC Ganguly,AB Agarkar,BJ Hodge,DJ Hussey,LR Shukla,DB Das,WP Saha,Umar Gul,I Sharma,AB Dinda
2008-05-04,Sawai Mansingh Stadium,Indian Premier League,T20,20,GC Smith,Rajasthan Royals,35,48,4,0,0,0,0,0,0,1,0,0,43,0,8,51,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,M Muralitharan,M Ntini
2008-05-07,Dr DY Patil Sports Academy,Indian Premier League,T20,20,GC Smith,Rajasthan Royals,5,9,0,0,0,0,0,0,0,0,0,0,5,0,0,5,YV Takawale,ST Jayasuriya,RV Uthappa,DJ Bravo,AM Nayar,DJ Thornely,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni
2008-05-09,Sawai Mansingh Stadium,Indian Premier League,T20,20,GC Smith,Rajasthan Royals,40,43,4,0,0,0,0,0,0,0,0,0,48,0,0,48,AC Gilchrist,HH Gibbs,SB Styris,RG Sharma,Shahid Afridi,SB Bangar,DB Ravi Teja,Y Venugopal Rao,RP Singh,PP Ojha,DP Vijaykumar
2008-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,GC Smith,Rajasthan Royals,24,29,3,0,0,0,0,0,0,0,0,0,27,0,0,27,G Gambhir,V Sehwag,S Dhawan,AB de Villiers,KD Karthik,TM Dilshan,A Mishra,MF Maharoof,VY Mahesh,GD McGrath,PJ Sangwan
2008-05-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,GC Smith,Rajasthan Royals,75,53,8,2,0,0,0,0,0,0,0,0,97,0,0,97,J Arunkumar,V Kohli,Misbah-ul-Haq,JH Kallis,CL White,R Dravid,DT Patil,P Kumar,Z Khan,A Kumble,Abdur Razzak
2008-05-20,Eden Gardens,Indian Premier League,T20,20,GC Smith,Rajasthan Royals,24,24,4,0,0,0,0,0,0,0,0,0,28,0,0,28,Salman Butt,Mohammad Hafeez,SC Ganguly,DJ Hussey,DB Das,LR Shukla,WP Saha,AB Agarkar,Umar Gul,I Sharma,AB Dinda
2008-05-24,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,GC Smith,Rajasthan Royals,91,52,9,4,0,0,0,0,0,0,0,0,122,0,0,122,PA Patel,SP Fleming,SK Raina,JA Morkel,MS Dhoni,S Badrinath,MS Gony,A Mukund,L Balaji,M Muralitharan,M Ntini
