date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-20,Holkar Cricket Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Kings XI Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA Patel,JC Buttler,N Rana,HH Pandya,RG Sharma,KA Pollard,KH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,Gurkeerat Singh,Kings XI Punjab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
2019-04-28,Arun Jaitley Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,27,20,2,1,0,0,0,0,0,0,0,0,33,0,0,33,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,SE Rutherford,AR Patel,S Lamichhane,A Mishra,K Rabada,I Sharma
2019-04-30,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,6,3,1,0,0,0,0,0,0,0,0,0,7,0,0,7,SV Samson,LS Livingstone,AM Rahane,SPD Smith,R Parag,STR Binny,MK Lomror,S Gopal,JD Unadkat,VR Aaron,O Thomas
2019-05-04,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,65,50,8,1,0,0,0,0,0,1,0,0,83,0,8,91,WP Saha,MJ Guptill,MK Pandey,KS Williamson,V Shankar,YK Pathan,Mohammad Nabi,Rashid Khan,B Kumar,KK Ahmed,Basil Thampi
2020-10-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,21,26,4,0,0,0,0,0,0,1,0,0,25,0,8,33,Shubman Gill,RA Tripathi,N Rana,T Banton,KD Karthik,EJG Morgan,PJ Cummins,Kuldeep Yadav,LH Ferguson,M Prasidh Krishna,CV Varun
2020-10-28,Sheikh Zayed Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,14,12,2,0,0,0,0,0,0,1,0,0,16,0,8,24,Q de Kock,Ishan Kishan,SA Yadav,SS Tiwary,KH Pandya,HH Pandya,KA Pollard,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
2020-10-31,Sharjah Cricket Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,15,24,1,0,0,0,0,0,0,1,0,0,14,0,8,22,DA Warner,WP Saha,MK Pandey,KS Williamson,Abhishek Sharma,JO Holder,Abdul Samad,Rashid Khan,S Nadeem,Sandeep Sharma,T Natarajan
2020-10-03,Sheikh Zayed Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JC Buttler,SPD Smith,SV Samson,RV Uthappa,MK Lomror,R Parag,R Tewatia,JC Archer,TK Curran,S Gopal,JD Unadkat
2020-10-17,Dubai International Cricket Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,19,19,1,0,0,0,0,0,0,0,0,0,20,0,0,20,RV Uthappa,BA Stokes,SV Samson,SPD Smith,JC Buttler,R Tewatia,JC Archer,R Parag,S Gopal,JD Unadkat,Kartik Tyagi
2020-10-10,Dubai International Cricket Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,SR Watson,F du Plessis,AT Rayudu,N Jagadeesan,MS Dhoni,SM Curran,RA Jadeja,DJ Bravo,DL Chahar,SN Thakur,KV Sharma
2020-10-25,Dubai International Cricket Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,RD Gaikwad,F du Plessis,AT Rayudu,MS Dhoni,N Jagadeesan,RA Jadeja,SM Curran,MJ Santner,DL Chahar,Imran Tahir,Monu Kumar
2020-09-28,Dubai International Cricket Stadium,Indian Premier League,T20,20,Gurkeerat Singh,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,HH Pandya,KA Pollard,KH Pandya,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
