match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082592,dbe50b21,2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,35,17,1,4,24,1,37,0,0,0,0,0,54,25,0,79,AM Rahane,MA Agarwal,SPD Smith,BA Stokes,MS Dhoni,MK Tiwary,R Bhatia,DL Chahar,A Zampa,AB Dinda,Imran Tahir
1082597,dbe50b21,2017-04-09,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,29,11,3,2,0,0,0,0,0,2,0,0,42,0,16,58,G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,Kuldeep Yadav,AS Rajpoot,TA Boult
1082600,dbe50b21,2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,2,3,0,0,18,1,24,1,0,0,0,0,2,33,0,35,S Dhawan,DA Warner,DJ Hooda,Yuvraj Singh,BCJ Cutting,NV Ojha,V Shankar,Rashid Khan,B Kumar,A Nehra,Mustafizur Rahman
1082602,dbe50b21,2017-04-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,9,5,0,1,12,1,9,0,0,0,0,0,11,31,0,42,CH Gayle,V Kohli,AB de Villiers,KM Jadhav,P Negi,Mandeep Singh,STR Binny,TS Mills,S Aravind,YS Chahal,S Badree
1082606,dbe50b21,2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,6,4,1,0,6,0,15,0,0,0,0,0,7,0,0,7,DR Smith,BB McCullum,SK Raina,Ishan Kishan,KD Karthik,JJ Roy,RA Jadeja,P Kumar,Basil Thampi,AJ Tye,MM Patel
1082612,dbe50b21,2017-04-20,Holkar Cricket Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,15,4,2,1,12,0,19,0,0,0,0,0,19,0,0,19,HM Amla,SE Marsh,WP Saha,GJ Maxwell,MP Stoinis,AR Patel,Gurkeerat Singh,Swapnil Singh,MM Sharma,Sandeep Sharma,I Sharma
1082614,dbe50b21,2017-04-22,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,24,23,0,2,18,1,25,1,0,0,0,1,28,33,6,67,SV Samson,AP Tare,KK Nair,SS Iyer,CJ Anderson,RR Pant,K Rabada,CH Morris,PJ Cummins,A Mishra,Z Khan
1082618,dbe50b21,2017-04-24,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,13,12,2,0,0,0,0,0,0,0,0,0,15,0,0,15,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,MK Tiwary,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082625,dbe50b21,2017-04-29,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,4,5,0,0,0,0,0,0,0,1,0,0,4,0,8,12,Ishan Kishan,BB McCullum,SK Raina,AJ Finch,KD Karthik,RA Jadeja,JP Faulkner,IK Pathan,AJ Tye,Basil Thampi,Ankit Soni
1082628,dbe50b21,2017-05-01,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,14,10,0,1,6,0,5,0,0,2,0,0,18,0,16,34,V Kohli,Mandeep Singh,TM Head,AB de Villiers,KM Jadhav,SR Watson,P Negi,AF Milne,S Aravind,A Choudhary,YS Chahal
1082635,dbe50b21,2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,29,17,1,3,6,0,2,0,0,0,0,0,42,0,0,42,SV Samson,KK Nair,SS Iyer,RR Pant,CJ Anderson,MN Samuels,PJ Cummins,K Rabada,A Mishra,Mohammed Shami,Z Khan
1082638,dbe50b21,2017-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,HH Pandya,Mumbai Indians,15,25,0,0,6,0,13,0,0,1,0,0,13,0,8,21,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,V Shankar,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
1082641,dbe50b21,2017-05-11,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,30,14,0,4,12,0,29,0,0,1,0,0,48,-6,8,50,MJ Guptill,WP Saha,GJ Maxwell,SE Marsh,AR Patel,M Vohra,R Tewatia,MM Sharma,Sandeep Sharma,I Sharma,MJ Henry
1082644,dbe50b21,2017-05-13,Eden Gardens,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,1,3,0,0,24,2,22,1,0,2,0,0,1,62,16,79,SP Narine,CA Lynn,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,C de Grandhomme,Kuldeep Yadav,UT Yadav,TA Boult,AS Rajpoot
1082647,dbe50b21,2017-05-16,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,14,10,1,1,6,0,15,0,0,1,0,0,19,0,8,27,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat
1082649,dbe50b21,2017-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,0,0,0,0,6,0,4,0,0,2,0,0,0,0,16,16,CA Lynn,SP Narine,G Gambhir,RV Uthappa,IR Jaggi,C de Grandhomme,SA Yadav,PP Chawla,NM Coulter-Nile,UT Yadav,AS Rajpoot
1082650,dbe50b21,2017-05-21,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,HH Pandya,Mumbai Indians,10,9,0,1,0,0,0,0,0,0,0,0,12,0,0,12,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat
1136561,dbe50b21,2018-04-07,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,22,20,2,0,24,3,24,0,0,0,0,0,24,81,0,105,SR Watson,AT Rayudu,SK Raina,KM Jadhav,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,MA Wood,Imran Tahir
1136569,dbe50b21,2018-04-14,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,2,3,0,0,12,0,32,0,0,0,0,0,2,-6,0,-4,JJ Roy,G Gambhir,RR Pant,GJ Maxwell,SS Iyer,V Shankar,DT Christian,R Tewatia,S Nadeem,Mohammed Shami,TA Boult
1136574,dbe50b21,2018-04-17,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,17,5,1,2,6,0,4,0,0,1,0,0,22,0,8,30,V Kohli,Q de Kock,AB de Villiers,Mandeep Singh,CJ Anderson,Washington Sundar,SN Khan,CR Woakes,UT Yadav,Mohammed Siraj,YS Chahal
1136581,dbe50b21,2018-04-22,Sawai Mansingh Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,4,2,1,0,16,2,25,1,0,1,0,0,5,58,8,71,AM Rahane,RA Tripathi,SV Samson,BA Stokes,JC Buttler,H Klaasen,JC Archer,K Gowtham,JD Unadkat,DS Kulkarni,S Gopal
1136583,dbe50b21,2018-04-24,Wankhede Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,3,19,0,0,18,2,20,0,0,1,0,0,-3,52,8,57,S Dhawan,KS Williamson,WP Saha,MK Pandey,Shakib Al Hasan,YK Pathan,Mohammad Nabi,Rashid Khan,Basil Thampi,S Kaul,Sandeep Sharma
1136587,dbe50b21,2018-04-28,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,13,8,0,1,24,1,40,0,0,0,0,0,15,25,0,40,SR Watson,AT Rayudu,SK Raina,MS Dhoni,DJ Bravo,SW Billings,RA Jadeja,Harbhajan Singh,DL Chahar,SN Thakur,Imran Tahir
1136591,dbe50b21,2018-05-01,M.Chinnaswamy Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,50,45,5,1,19,3,28,0,0,0,0,0,65,79,0,144,M Vohra,Q de Kock,BB McCullum,V Kohli,Mandeep Singh,C de Grandhomme,Washington Sundar,TG Southee,UT Yadav,YS Chahal,Mohammed Siraj
1136594,dbe50b21,2018-05-04,Holkar Cricket Stadium,Indian Premier League,T20,20,HH Pandya,Mumbai Indians,23,13,2,1,24,1,48,0,0,2,0,0,33,21,16,70,KL Rahul,CH Gayle,Yuvraj Singh,KK Nair,AR Patel,MP Stoinis,MA Agarwal,R Ashwin,AJ Tye,Mujeeb Ur Rahman,AS Rajpoot
