date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-09,Wankhede Stadium,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,1,1,0,0,24,0,27,0,0,0,0,0,1,2,0,3,G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,Kuldeep Yadav,AS Rajpoot,TA Boult
2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,3,3,0,0,24,2,24,0,0,0,0,0,3,52,0,55,S Dhawan,DA Warner,DJ Hooda,Yuvraj Singh,BCJ Cutting,NV Ojha,V Shankar,Rashid Khan,B Kumar,A Nehra,Mustafizur Rahman
2017-04-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,0,0,0,0,24,0,25,0,0,0,0,0,0,2,0,2,CH Gayle,V Kohli,AB de Villiers,KM Jadhav,P Negi,Mandeep Singh,STR Binny,TS Mills,S Aravind,YS Chahal,S Badree
2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,0,0,0,0,24,1,22,0,0,0,0,0,0,29,0,29,DR Smith,BB McCullum,SK Raina,Ishan Kishan,KD Karthik,JJ Roy,RA Jadeja,P Kumar,Basil Thampi,AJ Tye,MM Patel
2017-04-20,Holkar Cricket Stadium,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,0,0,0,0,12,0,12,0,0,0,0,0,0,2,0,2,HM Amla,SE Marsh,WP Saha,GJ Maxwell,MP Stoinis,AR Patel,Gurkeerat Singh,Swapnil Singh,MM Sharma,Sandeep Sharma,I Sharma
2017-04-22,Wankhede Stadium,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,2,2,0,0,24,0,26,0,0,1,0,0,2,2,8,12,SV Samson,AP Tare,KK Nair,SS Iyer,CJ Anderson,RR Pant,K Rabada,CH Morris,PJ Cummins,A Mishra,Z Khan
2017-04-24,Wankhede Stadium,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,7,2,0,1,24,1,20,1,0,0,0,0,9,37,0,46,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,MK Tiwary,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
2017-04-29,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,0,1,0,0,24,1,23,0,0,0,0,0,-2,29,0,27,Ishan Kishan,BB McCullum,SK Raina,AJ Finch,KD Karthik,RA Jadeja,JP Faulkner,IK Pathan,AJ Tye,Basil Thampi,Ankit Soni
2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,0,0,0,0,24,3,22,0,0,1,0,0,0,83,8,91,SV Samson,KK Nair,SS Iyer,RR Pant,CJ Anderson,MN Samuels,PJ Cummins,K Rabada,A Mishra,Mohammed Shami,Z Khan
2017-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Harbhajan Singh,Mumbai Indians,1,4,0,0,24,0,23,0,0,0,0,0,1,4,0,5,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,V Shankar,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
