date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-08,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Iqbal Abdulla,Royal Challengers Bangalore,5,7,0,0,18,2,36,1,0,0,0,0,5,54,0,59,AP Tare,SW Billings,KK Nair,SV Samson,RR Pant,CH Morris,CR Brathwaite,PJ Cummins,A Mishra,S Nadeem,Z Khan
2017-04-10,Holkar Cricket Stadium,Indian Premier League,T20,20,Iqbal Abdulla,Royal Challengers Bangalore,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,M Vohra,HM Amla,AR Patel,GJ Maxwell,WP Saha,DA Miller,MP Stoinis,MM Sharma,Sandeep Sharma,VR Aaron,T Natarajan
2008-05-13,Eden Gardens,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,1,2,0,0,18,1,22,0,0,0,0,0,1,25,0,26,G Gambhir,V Sehwag,AB de Villiers,MK Tiwary,S Dhawan,TM Dilshan,A Mishra,MF Maharoof,VY Mahesh,PJ Sangwan,GD McGrath
2010-03-27,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,12,0,12,0,0,0,0,0,0,2,0,2,RS Bopara,Yuvraj Singh,MS Bisla,KC Sangakkara,DPMD Jayawardene,IK Pathan,K Goel,B Lee,PP Chawla,SJ Srivastava,VS Malik
2010-04-07,Eden Gardens,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,24,2,29,1,0,0,0,1,0,58,6,64,DA Warner,V Sehwag,G Gambhir,PD Collingwood,KD Karthik,KM Jadhav,MF Maharoof,R Bhatia,DL Vettori,A Mishra,PJ Sangwan
2010-04-13,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,1,0,0,15,0,21,0,0,0,0,0,-2,0,0,-2,M Vijay,ML Hayden,SK Raina,S Anirudha,MS Dhoni,S Badrinath,JA Morkel,R Ashwin,SB Jakati,M Muralitharan,DE Bollinger
2011-04-08,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,3,3,0,0,24,1,26,0,0,0,0,0,3,27,0,30,S Anirudha,M Vijay,SK Raina,MS Dhoni,JA Morkel,SB Styris,S Badrinath,R Ashwin,SB Jakati,TG Southee,S Randiv
2011-04-11,Eden Gardens,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,24,3,25,1,0,0,0,0,0,89,0,89,S Dhawan,IR Jaggi,B Chipli,KC Sangakkara,JP Duminy,DT Christian,DB Ravi Teja,DW Steyn,A Mishra,I Sharma,PP Ojha
2011-04-15,Sawai Mansingh Stadium,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,AG Paunikar,R Dravid,AL Menaria,SR Watson,LRPL Taylor,J Botha,AS Raut,SK Warne,A Singh,SK Trivedi,ND Doshi
2011-04-17,Eden Gardens,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,18,2,18,0,0,0,1,1,0,52,18,70,SR Watson,AG Paunikar,FY Fazal,AS Raut,AL Menaria,LRPL Taylor,AM Rahane,SK Warne,A Singh,SW Tait,SK Trivedi
2011-04-20,Eden Gardens,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,12,9,1,0,24,0,24,0,0,0,0,0,13,2,0,15,BB McCullum,DPMD Jayawardene,PA Patel,BJ Hodge,RA Jadeja,KM Jadhav,RV Gomez,R Vinay Kumar,RR Powar,RP Singh,M Muralitharan
2011-04-22,Eden Gardens,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,12,0,12,0,0,0,0,0,0,2,0,2,TM Dilshan,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,Z Khan,AUK Pathan,DL Vettori,S Aravind,J Syed Mohammad
2011-04-28,Feroz Shah Kotla,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,24,3,27,0,0,0,0,0,0,81,0,81,DA Warner,V Sehwag,JR Hopes,IK Pathan,TR Birt,Y Venugopal Rao,NV Ojha,Y Nagar,AB Agarkar,M Morkel,UT Yadav
2011-04-30,Eden Gardens,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,24,3,19,2,0,0,0,1,0,101,6,107,AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik,AM Nayar,DJ Hussey,Bipul Sharma,P Kumar,PP Chawla,BA Bhatt,RJ Harris
2011-05-03,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,24,2,35,0,0,0,0,0,0,50,0,50,S Sohal,S Dhawan,KC Sangakkara,CL White,DT Christian,DB Ravi Teja,B Chipli,A Mishra,PP Ojha,I Sharma,DW Steyn
2011-05-05,Nehru Stadium,Indian Premier League,T20,20,Iqbal Abdulla,Kolkata Knight Riders,0,0,0,0,12,0,16,0,0,1,0,0,0,0,8,8,BB McCullum,M Klinger,PA Patel,DPMD Jayawardene,RA Jadeja,BJ Hodge,RV Gomez,R Vinay Kumar,RP Singh,S Sreesanth,P Parameswaran
