date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2009-05-14,Kingsmead,Indian Premier League,T20,20,J Botha,Rajasthan Royals,2,3,0,0,24,1,34,0,0,0,0,0,2,25,0,27,DJ Bravo,YV Takawale,AM Rahane,ST Jayasuriya,SR Tendulkar,JP Duminy,AM Nayar,Harbhajan Singh,DS Kulkarni,C Nanda,SL Malinga
2009-05-17,OUTsurance Oval,Indian Premier League,T20,20,J Botha,Rajasthan Royals,37,33,3,0,24,1,23,1,0,0,0,0,44,37,0,81,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,KD Karthik,A Mishra,M Manhas,MF Maharoof,AM Salvi,A Nehra,DP Nannes
2009-05-20,Kingsmead,Indian Premier League,T20,20,J Botha,Rajasthan Royals,8,6,2,0,24,3,19,0,0,0,1,1,10,85,18,113,BB McCullum,SC Ganguly,BJ Hodge,Yashpal Singh,DJ Hussey,LR Shukla,SS Shaikh,AB Agarkar,CK Langeveldt,AB Dinda,SS Sarkar
2011-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,J Botha,Rajasthan Royals,67,47,8,1,24,0,31,0,0,3,0,0,87,0,28,115,S Dhawan,IR Jaggi,KC Sangakkara,B Chipli,JP Duminy,DT Christian,DB Ravi Teja,DW Steyn,A Mishra,I Sharma,PP Ojha
2011-04-12,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,39,32,4,0,24,0,36,0,0,1,0,0,47,0,8,55,DA Warner,V Sehwag,AJ Finch,UBT Chand,NV Ojha,Y Venugopal Rao,IK Pathan,RE van der Merwe,M Morkel,S Nadeem,AB Dinda
2011-04-15,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,12,12,0,0,12,0,13,0,0,0,0,0,12,2,0,14,MS Bisla,JH Kallis,G Gambhir,MK Tiwary,YK Pathan,EJG Morgan,Shakib Al Hasan,Iqbal Abdulla,R Bhatia,B Lee,L Balaji
2011-04-24,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,14,7,3,0,24,1,19,1,0,0,0,1,17,39,6,62,DPMD Jayawardene,VVS Laxman,PA Patel,BJ Hodge,RA Jadeja,RV Gomez,NLTC Perera,KM Jadhav,R Vinay Kumar,M Muralitharan,RP Singh
2011-04-29,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,45,39,2,1,12,3,6,2,0,1,1,0,53,101,20,174,DJ Jacobs,SR Tendulkar,AT Rayudu,RG Sharma,A Symonds,KA Pollard,R Sathish,Harbhajan Singh,SL Malinga,AG Murtaza,MM Patel
2011-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,12,18,1,0,24,1,25,0,0,0,1,0,11,27,12,50,JD Ryder,MK Pandey,RV Uthappa,Yuvraj Singh,Harpreet Singh,M Manhas,NL McCullum,R Sharma,M Kartik,JE Taylor,AC Thomas
2011-05-04,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,J Botha,Rajasthan Royals,8,6,1,0,24,1,22,1,0,1,0,0,9,37,8,54,MEK Hussey,M Vijay,SK Raina,JA Morkel,MS Dhoni,S Badrinath,S Anirudha,R Ashwin,DE Bollinger,SB Jakati,S Randiv
2011-05-09,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,14,18,0,0,24,1,23,1,0,0,0,1,14,37,6,57,MEK Hussey,M Vijay,SK Raina,MS Dhoni,JA Morkel,S Badrinath,DJ Bravo,WP Saha,R Ashwin,DE Bollinger,SB Jakati
2011-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,19,21,1,0,24,0,43,0,0,0,0,0,20,-2,0,18,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,KB Arun Karthik,M Kaif,SS Tiwary,AA Kazi,Z Khan,S Aravind,CK Langeveldt
2011-05-20,Wankhede Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,0,0,0,0,24,0,24,0,0,0,0,0,0,2,0,2,TL Suman,SR Tendulkar,AT Rayudu,RG Sharma,KA Pollard,JEC Franklin,Harbhajan Singh,A Symonds,DS Kulkarni,MM Patel,SL Malinga
2012-04-06,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,0,0,0,0,24,0,37,0,0,0,0,0,0,0,0,0,AC Gilchrist,PC Valthaty,SE Marsh,AM Nayar,DJ Hussey,Mandeep Singh,Bipul Sharma,PP Chawla,JP Faulkner,P Kumar,Harmeet Singh
2012-04-08,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,0,0,0,0,24,1,34,1,0,0,0,0,0,33,0,33,JH Kallis,BB McCullum,G Gambhir,MK Tiwary,DB Das,YK Pathan,R Bhatia,LR Shukla,B Lee,SP Narine,Iqbal Abdulla
2012-04-11,Wankhede Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,2,3,0,0,6,0,23,0,0,0,0,0,2,0,0,2,RE Levi,TL Suman,RG Sharma,AT Rayudu,KA Pollard,KD Karthik,JEC Franklin,Harbhajan Singh,SL Malinga,PP Ojha,MM Patel
2012-04-13,Eden Gardens,Indian Premier League,T20,20,J Botha,Rajasthan Royals,6,7,1,0,24,1,22,1,0,0,0,0,7,37,0,44,JH Kallis,G Gambhir,MS Bisla,MK Tiwary,Shakib Al Hasan,YK Pathan,RN ten Doeschate,DB Das,R Bhatia,L Balaji,SP Narine
2012-04-15,M Chinnaswamy Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,0,0,0,0,24,1,30,0,0,0,0,0,0,25,0,25,MA Agarwal,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,M Kaif,DL Vettori,R Vinay Kumar,Z Khan,S Aravind,M Muralitharan
2012-04-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,14,9,0,1,24,0,30,0,0,0,0,0,16,0,0,16,KC Sangakkara,S Dhawan,DT Christian,JP Duminy,B Chipli,T Mishra,AA Jhunjhunwala,Ankit Sharma,A Mishra,DW Steyn,Anand Rajan
2012-05-05,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,J Botha,Rajasthan Royals,14,8,2,0,24,2,23,1,0,1,0,0,16,62,8,86,SE Marsh,Mandeep Singh,N Saini,DJ Hussey,Azhar Mahmood,Gurkeerat Singh,AM Nayar,PP Chawla,RJ Harris,P Kumar,P Awana
2012-05-08,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,0,0,0,0,24,1,26,1,0,0,0,0,0,35,0,35,SC Ganguly,MJ Clarke,RV Uthappa,AP Majumdar,SPD Smith,AD Mathews,M Manhas,WD Parnell,B Kumar,M Kartik,A Nehra
2012-05-10,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,12,21,0,0,24,0,23,0,0,1,0,0,8,4,8,20,MEK Hussey,M Vijay,SK Raina,DJ Bravo,MS Dhoni,RA Jadeja,JA Morkel,S Anirudha,R Ashwin,BW Hilfenhaus,VY Mahesh
2012-05-13,Sawai Mansingh Stadium,Indian Premier League,T20,20,J Botha,Rajasthan Royals,7,3,1,0,24,2,26,1,0,0,0,0,8,60,0,68,SC Ganguly,JD Ryder,RV Uthappa,AP Majumdar,CJ Ferguson,SPD Smith,AD Mathews,B Kumar,M Kartik,R Sharma,A Nehra
2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,J Botha,Rajasthan Royals,3,4,0,0,24,1,30,0,0,0,0,0,3,25,0,28,PA Reddy,S Dhawan,JP Duminy,CL White,CA Lynn,PA Patel,A Ashish Reddy,A Mishra,DW Steyn,MS Gony,V Pratap Singh
