date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2023-03-31,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,24,1,42,1,0,0,0,0,0,31,0,31,TU Deshpande,DP Conway,RD Gaikwad,MM Ali,BA Stokes,AT Rayudu,S Dube,RA Jadeja,MS Dhoni,MJ Santner,DL Chahar
2023-04-04,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,24,0,27,0,0,1,0,0,0,2,8,10,KK Ahmed,DA Warner,PP Shaw,MR Marsh,SN Khan,RR Rossouw,Abishek Porel,AR Patel,Aman Hakim Khan,Kuldeep Yadav,A Nortje
2023-04-09,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,24,1,45,0,0,0,0,0,0,21,0,21,Suyash Sharma,Rahmanullah Gurbaz,N Jagadeesan,VR Iyer,N Rana,RK Singh,AD Russell,SP Narine,SN Thakur,UT Yadav,LH Ferguson
2023-04-13,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,24,3,32,0,0,0,0,0,0,79,0,79,RD Chahar,P Simran Singh,S Dhawan,MW Short,PBB Rajapaksa,JM Sharma,SM Curran,M Shahrukh Khan,Harpreet Brar,R Dhawan,K Rabada
2023-04-25,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,12,0,18,0,0,2,0,0,0,0,16,16,K Kartikeya,RG Sharma,Ishan Kishan,C Green,Tilak Varma,SA Yadav,TH David,N Wadhera,PP Chawla,Arjun Tendulkar,JP Behrendorff
2023-04-29,"Eden Gardens, Kolkata",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,24,2,25,1,0,1,0,0,0,60,8,68,Suyash Sharma,N Jagadeesan,Rahmanullah Gurbaz,SN Thakur,VR Iyer,N Rana,RK Singh,AD Russell,D Wiese,SP Narine,Harshit Rana
2023-05-02,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,18,0,27,0,0,0,0,0,0,0,0,0,KK Ahmed,PD Salt,DA Warner,PK Garg,RR Rossouw,MK Pandey,AR Patel,Aman Hakim Khan,RV Patel,A Nortje,Kuldeep Yadav
2023-05-05,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,24,1,24,0,0,0,0,0,0,27,0,27,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Ashwin,R Parag,SO Hetmyer,Dhruv Jurel,TA Boult,A Zampa,Sandeep Sharma
2023-05-26,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,18,1,26,1,0,1,0,0,0,33,8,41,Ishan Kishan,Akash Madhwal,RG Sharma,N Wadhera,C Green,SA Yadav,Tilak Varma,Vishnu Vinod,TH David,CJ Jordan,PP Chawla
2023-05-29,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,12,0,30,0,0,0,0,0,0,-6,0,-6,RD Gaikwad,DP Conway,S Dube,AM Rahane,AT Rayudu,MS Dhoni,RA Jadeja,MM Ali,DL Chahar,M Pathirana,TU Deshpande
2024-05-04,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,J Little,Gujarat Titans,0,0,0,0,24,4,45,0,0,0,0,0,0,104,0,104,Yash Dayal,V Kohli,F du Plessis,WG Jacks,RM Patidar,GJ Maxwell,C Green,KD Karthik,Swapnil Singh,KV Sharma,Mohammed Siraj
