match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082607,1e66c162,2017-04-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,2,5,0,0,24,2,25,2,0,0,0,0,2,68,0,70,V Kohli,Mandeep Singh,AB de Villiers,KM Jadhav,SR Watson,STR Binny,P Negi,AF Milne,S Badree,S Aravind,YS Chahal
1082615,1e66c162,2017-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,24,1,42,1,0,0,0,0,0,31,0,31,DA Warner,S Dhawan,KS Williamson,MC Henriques,DJ Hooda,NV Ojha,Bipul Sharma,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
1082618,1e66c162,2017-04-24,Wankhede Stadium,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,24,3,41,0,0,1,0,1,0,77,14,91,PA Patel,JC Buttler,N Rana,RG Sharma,KV Sharma,KA Pollard,HH Pandya,Harbhajan Singh,MJ McClenaghan,MG Johnson,JJ Bumrah
1082620,1e66c162,2017-04-26,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,18,1,27,0,0,0,0,0,0,25,0,25,SP Narine,G Gambhir,RV Uthappa,DM Bravo,MK Pandey,YK Pathan,C de Grandhomme,CR Woakes,PP Chawla,Kuldeep Yadav,UT Yadav
1082624,1e66c162,2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,24,1,20,1,0,0,0,0,0,37,0,37,TM Head,V Kohli,AB de Villiers,KM Jadhav,Sachin Baby,STR Binny,P Negi,AF Milne,S Badree,S Aravind,YS Chahal
1082629,1e66c162,2017-05-01,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,23,4,31,1,0,1,0,0,0,116,8,124,Ishan Kishan,BB McCullum,SK Raina,AJ Finch,DR Smith,KD Karthik,RA Jadeja,JP Faulkner,PJ Sangwan,Basil Thampi,Ankit Soni
1082631,1e66c162,2017-05-03,Eden Gardens,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,24,2,28,0,1,0,0,0,0,62,0,62,SP Narine,G Gambhir,SP Jackson,MK Pandey,YK Pathan,C de Grandhomme,SA Yadav,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082634,1e66c162,2017-05-06,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,24,5,30,0,1,0,0,0,0,153,0,153,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,NV Ojha,Bipul Sharma,Rashid Khan,B Kumar,S Kaul,A Nehra
1082642,1e66c162,2017-05-12,Feroz Shah Kotla,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,24,3,29,0,0,1,0,0,0,79,8,87,SV Samson,KK Nair,SS Iyer,RR Pant,MN Samuels,CJ Anderson,PJ Cummins,A Mishra,Mohammed Shami,S Nadeem,Z Khan
1082645,1e66c162,2017-05-14,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,18,2,12,0,1,1,0,1,0,68,14,82,MJ Guptill,WP Saha,SE Marsh,EJG Morgan,R Tewatia,GJ Maxwell,AR Patel,Swapnil Singh,MM Sharma,I Sharma,Sandeep Sharma
1082647,1e66c162,2017-05-16,Wankhede Stadium,Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,24,1,24,0,0,1,0,0,0,27,8,35,LMP Simmons,PA Patel,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,MJ McClenaghan,KV Sharma,JJ Bumrah,SL Malinga
1082650,1e66c162,2017-05-21,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,JD Unadkat,Rising Pune Supergiant,0,0,0,0,24,2,21,0,0,0,0,0,0,54,0,54,LMP Simmons,PA Patel,AT Rayudu,RG Sharma,KH Pandya,KA Pollard,HH Pandya,KV Sharma,MG Johnson,JJ Bumrah,SL Malinga
1136564,1e66c162,2018-04-09,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,JD Unadkat,Rajasthan Royals,1,2,0,0,18,1,28,0,0,0,0,0,1,25,0,26,WP Saha,S Dhawan,KS Williamson,MK Pandey,DJ Hooda,YK Pathan,Shakib Al Hasan,Rashid Khan,B Kumar,B Stanlake,S Kaul
