date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2022-04-03,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,JM Sharma,Punjab Kings,26,18,0,3,0,0,0,0,0,2,0,0,34,0,16,50,RV Uthappa,RD Gaikwad,MM Ali,AT Rayudu,RA Jadeja,S Dube,MS Dhoni,DJ Bravo,D Pretorius,CJ Jordan,Mukesh Choudhary
2022-04-08,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,JM Sharma,Punjab Kings,23,11,1,2,0,0,0,0,0,0,0,0,34,0,0,34,MS Wade,Shubman Gill,B Sai Sudharsan,HH Pandya,DA Miller,R Tewatia,A Manohar,Rashid Khan,DG Nalkande,Mohammed Shami,LH Ferguson
2022-04-13,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,JM Sharma,Punjab Kings,30,16,2,2,0,0,0,0,0,1,0,1,46,0,14,60,RG Sharma,Ishan Kishan,D Brevis,Tilak Varma,SA Yadav,KA Pollard,JD Unadkat,M Ashwin,JJ Bumrah,TS Mills,Basil Thampi
2022-04-17,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,JM Sharma,Punjab Kings,11,8,2,0,0,0,0,0,0,0,0,0,13,0,0,13,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Shashank Singh,J Suchith,B Kumar,M Jansen,T Natarajan,Umran Malik
2022-04-20,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,JM Sharma,Punjab Kings,32,23,5,0,0,0,0,0,0,0,0,0,43,0,0,43,PP Shaw,DA Warner,SN Khan,RR Pant,R Powell,Lalit Yadav,SN Thakur,AR Patel,Kuldeep Yadav,Mustafizur Rahman,KK Ahmed
2022-04-25,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,JM Sharma,Punjab Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RD Gaikwad,RV Uthappa,MJ Santner,S Dube,AT Rayudu,RA Jadeja,MS Dhoni,D Pretorius,DJ Bravo,Mukesh Choudhary,M Theekshana
2022-04-29,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,JM Sharma,Punjab Kings,2,6,0,0,0,0,0,0,0,2,0,0,2,0,16,18,Q de Kock,KL Rahul,DJ Hooda,KH Pandya,MP Stoinis,A Badoni,JO Holder,PVD Chameera,Mohsin Khan,Avesh Khan,Ravi Bishnoi
2022-05-03,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,JM Sharma,Punjab Kings,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,WP Saha,Shubman Gill,B Sai Sudharsan,HH Pandya,DA Miller,R Tewatia,Rashid Khan,PJ Sangwan,LH Ferguson,AS Joseph,Mohammed Shami
2022-05-07,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,JM Sharma,Punjab Kings,38,20,4,2,0,0,0,0,0,0,0,0,56,0,0,56,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
2022-05-13,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,JM Sharma,Punjab Kings,9,5,2,0,0,0,0,0,0,1,0,0,11,0,8,19,V Kohli,F du Plessis,RM Patidar,MK Lomror,GJ Maxwell,KD Karthik,Shahbaz Ahmed,HV Patel,PWH de Silva,Mohammed Siraj,JR Hazlewood
