date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2018-04-17,Wankhede Stadium,Indian Premier League,T20,20,JP Duminy,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman
2018-04-28,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SR Watson,AT Rayudu,SK Raina,MS Dhoni,DJ Bravo,SW Billings,RA Jadeja,Harbhajan Singh,DL Chahar,SN Thakur,Imran Tahir
2018-05-01,M.Chinnaswamy Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,23,34,3,0,12,0,28,0,0,0,0,0,24,-6,0,18,M Vohra,Q de Kock,BB McCullum,V Kohli,Mandeep Singh,C de Grandhomme,Washington Sundar,TG Southee,UT Yadav,YS Chahal,Mohammed Siraj
2018-05-04,Holkar Cricket Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,0,0,0,0,6,0,8,0,0,1,0,0,0,0,8,8,KL Rahul,CH Gayle,Yuvraj Singh,KK Nair,AR Patel,MP Stoinis,MA Agarwal,R Ashwin,AJ Tye,Mujeeb Ur Rahman,AS Rajpoot
2018-05-06,Wankhede Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,13,12,0,1,0,0,0,0,0,0,0,0,15,0,0,15,CA Lynn,Shubman Gill,RV Uthappa,N Rana,KD Karthik,AD Russell,SP Narine,PP Chawla,MG Johnson,M Prasidh Krishna,Kuldeep Yadav
2018-05-09,Eden Gardens,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,SP Narine,CA Lynn,RV Uthappa,N Rana,AD Russell,KD Karthik,RK Singh,TK Curran,PP Chawla,Kuldeep Yadav,M Prasidh Krishna
2018-05-13,Wankhede Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DJM Short,JC Buttler,AM Rahane,SV Samson,BA Stokes,STR Binny,JC Archer,K Gowtham,S Gopal,JD Unadkat,DS Kulkarni
2009-04-18,Newlands,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,9,7,1,0,0,0,0,0,0,0,0,0,10,0,0,10,PA Patel,ML Hayden,SK Raina,A Flintoff,MS Dhoni,JDP Oram,S Badrinath,Joginder Sharma,T Thushara,MS Gony,R Ashwin
2009-04-25,Kingsmead,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,47,43,4,2,0,0,0,0,0,0,0,0,59,0,0,59,AC Gilchrist,HH Gibbs,DR Smith,RG Sharma,VVS Laxman,Y Venugopal Rao,DB Ravi Teja,RP Singh,FH Edwards,PP Ojha,Harmeet Singh
2009-04-27,St George's Park,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,18,14,1,0,0,0,0,0,0,1,0,0,19,0,8,27,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,Yashpal Singh,AN Ghosh,LR Shukla,I Sharma,BAW Mendis,AB Dinda,Anureet Singh
2009-04-29,Kingsmead,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,59,65,4,0,18,1,23,0,0,0,0,0,71,25,0,96,RS Bopara,K Goel,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,WA Mota,PP Chawla,RR Powar,VS Malik,YA Abdulla
2009-05-01,Buffalo Park,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,52,38,1,4,0,0,0,0,0,1,0,1,71,0,14,85,CH Gayle,SC Ganguly,BJ Hodge,MN van Wyk,LR Shukla,BB McCullum,WP Saha,AB Agarkar,M Kartik,I Sharma,AB Dinda
2009-05-03,New Wanderers Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,JH Kallis,W Jaffer,RV Uthappa,R Dravid,V Kohli,MV Boucher,RE van der Merwe,D du Preez,P Kumar,R Vinay Kumar,A Kumble
2009-05-06,SuperSport Park,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,52,49,7,0,0,0,0,0,0,0,0,0,67,0,0,67,AC Gilchrist,HH Gibbs,TL Suman,RG Sharma,DR Smith,Y Venugopal Rao,DB Ravi Teja,RJ Harris,Shoaib Ahmed,RP Singh,Harmeet Singh
2009-05-08,Buffalo Park,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,0,4,0,0,24,1,15,0,0,0,1,0,-2,31,12,41,G Gambhir,DA Warner,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,R Bhatia,A Mishra,PJ Sangwan,A Nehra,DP Nannes
2009-05-10,St George's Park,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,59,42,2,3,0,0,0,0,0,1,0,0,77,0,8,85,JH Kallis,V Kohli,RV Uthappa,LRPL Taylor,R Dravid,MV Boucher,RE van der Merwe,R Vinay Kumar,A Kumble,KP Appanna,A Mithun
2009-05-12,SuperSport Park,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,0,0,0,0,24,2,15,0,0,0,0,0,0,56,0,56,S Sohal,SM Katich,IK Pathan,KC Sangakkara,Yuvraj Singh,WA Mota,LA Pomersbach,K Goel,B Lee,PP Chawla,S Sreesanth
2009-05-14,Kingsmead,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,4,6,0,0,18,0,19,0,0,1,0,0,4,2,8,14,RJ Quiney,GC Smith,YK Pathan,RA Jadeja,SD Chitnis,NV Ojha,J Botha,SK Warne,AS Raut,MM Patel,SK Trivedi
2009-05-16,St George's Park,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,62,54,4,2,12,0,10,0,0,0,0,0,78,4,0,82,PA Patel,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JDP Oram,JA Morkel,SB Jakati,L Balaji,M Muralitharan,S Tyagi
2009-05-21,SuperSport Park,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,9,6,2,0,9,0,14,0,0,0,0,0,11,0,0,11,G Gambhir,DA Warner,V Sehwag,TM Dilshan,R Bhatia,AB de Villiers,KD Karthik,A Mishra,AM Salvi,DP Nannes,PJ Sangwan
2010-03-28,Dr DY Patil Sports Academy,Indian Premier League,T20,20,JP Duminy,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,AC Gilchrist,MD Mishra,HH Gibbs,A Symonds,RG Sharma,TL Suman,Y Venugopal Rao,Jaskaran Singh,KAJ Roach,RP Singh,PP Ojha
2010-04-09,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,JP Duminy,Mumbai Indians,35,29,1,2,18,1,15,1,0,1,0,0,44,37,8,89,AB Barath,DPMD Jayawardene,KC Sangakkara,Yuvraj Singh,IK Pathan,RS Sodhi,K Goel,PP Chawla,RR Powar,B Lee,L Ablish
2010-04-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,31,33,4,0,0,0,0,0,0,1,0,0,39,0,8,47,MJ Lumb,NV Ojha,FY Fazal,SR Watson,AA Jhunjhunwala,AC Voges,YK Pathan,AS Raut,AP Dole,SK Warne,SK Trivedi
2010-04-13,Brabourne Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,21,15,3,0,0,0,0,0,0,0,0,0,26,0,0,26,DA Warner,V Sehwag,G Gambhir,KD Karthik,AB de Villiers,PD Collingwood,AB McDonald,A Mishra,PJ Sangwan,A Nehra,S Ladda
2010-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,42,19,3,3,0,0,0,0,0,0,0,0,61,0,0,61,MK Pandey,JH Kallis,KP Pietersen,R Dravid,RV Uthappa,LRPL Taylor,V Kohli,DW Steyn,R Vinay Kumar,Pankaj Singh,A Kumble
2010-04-19,Eden Gardens,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,19,27,2,0,15,0,22,0,0,0,0,0,21,0,0,21,SC Ganguly,BB McCullum,DJ Hussey,MK Tiwary,AD Mathews,CA Pujara,WP Saha,JD Unadkat,M Kartik,AB Dinda,SE Bond
2010-04-21,Dr DY Patil Sports Academy,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,3,4,0,0,0,0,0,0,0,1,0,0,3,0,8,11,JH Kallis,R Dravid,KP Pietersen,RV Uthappa,LRPL Taylor,V Kohli,MK Pandey,P Kumar,R Vinay Kumar,DW Steyn,A Kumble
2010-04-25,Dr DY Patil Sports Academy,Indian Premier League,T20,20,JP Duminy,Mumbai Indians,6,7,0,0,0,0,0,0,0,0,0,0,6,0,0,6,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JA Morkel,S Anirudha,R Ashwin,SB Jakati,DE Bollinger,M Muralitharan
2011-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,JP Duminy,Deccan Chargers,14,17,0,1,0,0,0,0,0,0,0,0,16,0,0,16,AG Paunikar,R Dravid,J Botha,LRPL Taylor,AS Raut,AL Menaria,A Singh,JDP Oram,SK Warne,SK Trivedi,STR Binny
2011-04-11,Eden Gardens,Indian Premier League,T20,20,JP Duminy,Deccan Chargers,6,8,0,0,12,1,23,0,0,0,0,0,6,21,0,27,JH Kallis,MS Bisla,G Gambhir,MK Tiwary,YK Pathan,EJG Morgan,RN ten Doeschate,Iqbal Abdulla,R Bhatia,L Balaji,JD Unadkat
2011-04-14,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,JP Duminy,Deccan Chargers,22,15,2,1,0,0,0,0,0,0,0,0,28,0,0,28,MA Agarwal,TM Dilshan,Z Khan,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,JJ van der Wath,DL Vettori,R Ninan,S Aravind
2011-04-16,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,JP Duminy,Deccan Chargers,18,16,1,0,12,0,23,0,0,0,0,0,19,-4,0,15,AC Gilchrist,PC Valthaty,AM Nayar,KD Karthik,SE Marsh,Sunny Singh,R McLaren,P Kumar,RJ Harris,PP Chawla,VS Malik
2011-05-01,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,JP Duminy,Deccan Chargers,17,11,2,0,18,0,21,0,0,0,0,0,23,0,0,23,M Vijay,MEK Hussey,SK Raina,MS Dhoni,JA Morkel,S Badrinath,S Anirudha,R Ashwin,DE Bollinger,SB Jakati,S Randiv
2011-05-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,JP Duminy,Deccan Chargers,55,32,2,4,6,0,11,0,0,1,0,0,79,0,8,87,AJ Finch,V Sehwag,NV Ojha,Y Venugopal Rao,TR Birt,IK Pathan,JR Hopes,Y Nagar,M Morkel,AB Agarkar,AM Salvi
2011-05-10,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,JP Duminy,Deccan Chargers,30,30,1,0,12,0,22,0,0,0,0,0,35,-2,0,33,JD Ryder,MK Pandey,SC Ganguly,RV Uthappa,Yuvraj Singh,CJ Ferguson,MR Marsh,WD Parnell,SB Wagh,R Sharma,B Kumar
2011-05-14,Wankhede Stadium,Indian Premier League,T20,20,JP Duminy,Deccan Chargers,8,10,1,0,12,1,7,1,0,0,0,0,9,39,0,48,SR Tendulkar,AC Blizzard,AT Rayudu,RG Sharma,A Symonds,TL Suman,KA Pollard,Harbhajan Singh,SL Malinga,DS Kulkarni,MM Patel
2011-05-16,Dr DY Patil Sports Academy,Indian Premier League,T20,20,JP Duminy,Deccan Chargers,23,27,0,1,12,1,19,0,0,0,0,0,25,25,0,50,JD Ryder,MK Pandey,SC Ganguly,RV Uthappa,Yuvraj Singh,M Manhas,CJ Ferguson,MR Marsh,WD Parnell,B Kumar,R Sharma
2011-05-21,Himachal Pradesh Cricket Association Stadium,Indian Premier League,T20,20,JP Duminy,Deccan Chargers,12,10,0,1,24,1,23,0,0,0,0,0,14,29,0,43,PC Valthaty,AC Gilchrist,SE Marsh,KD Karthik,R McLaren,AM Nayar,Mandeep Singh,PP Chawla,RJ Harris,P Kumar,BA Bhatt
2012-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,JP Duminy,Deccan Chargers,4,5,0,0,18,0,33,0,0,1,0,0,4,-2,8,10,NV Ojha,V Sehwag,KP Pietersen,DPMD Jayawardene,LRPL Taylor,IK Pathan,Y Nagar,AB Agarkar,M Morkel,UT Yadav,S Nadeem
2012-04-17,Sawai Mansingh Stadium,Indian Premier League,T20,20,JP Duminy,Deccan Chargers,58,27,3,5,0,0,0,0,0,1,0,0,85,0,8,93,R Dravid,AM Rahane,AL Menaria,OA Shah,BJ Hodge,J Botha,DH Yagnik,GB Hogg,A Singh,SK Trivedi,Pankaj Singh
2012-05-10,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,JP Duminy,Deccan Chargers,13,9,2,0,0,0,0,0,0,0,0,0,15,0,0,15,V Sehwag,DA Warner,NV Ojha,DPMD Jayawardene,Y Nagar,AD Russell,Y Venugopal Rao,IK Pathan,M Morkel,S Nadeem,VR Aaron
2012-04-22,Barabati Stadium,Indian Premier League,T20,20,JP Duminy,Deccan Chargers,16,15,1,0,0,0,1,0,0,0,0,0,17,0,0,17,BB McCullum,G Gambhir,MS Bisla,JH Kallis,YK Pathan,MK Tiwary,DB Das,R Bhatia,SP Narine,L Balaji,B Lee
