date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-21,Eden Gardens,Indian Premier League,T20,20,JP Faulkner,Gujarat Lions,4,2,0,0,24,1,39,0,0,1,0,0,4,25,8,37,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,Shakib Al Hasan,CR Woakes,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
2017-04-27,M Chinnaswamy Stadium,Indian Premier League,T20,20,JP Faulkner,Gujarat Lions,0,0,0,0,18,2,20,0,0,0,0,0,0,52,0,52,CH Gayle,V Kohli,AB de Villiers,TM Head,KM Jadhav,Mandeep Singh,P Negi,S Badree,S Aravind,A Choudhary,YS Chahal
2017-04-29,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,JP Faulkner,Gujarat Lions,21,29,2,0,29,4,45,0,0,0,0,1,23,108,6,137,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga
2017-05-01,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,JP Faulkner,Gujarat Lions,6,7,0,0,17,1,31,0,0,0,0,0,6,23,0,29,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,JD Unadkat,SN Thakur,Imran Tahir
2017-05-04,Feroz Shah Kotla,Indian Premier League,T20,20,JP Faulkner,Gujarat Lions,1,4,0,0,15,0,38,0,0,1,0,0,1,-6,8,3,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,MN Samuels,PJ Cummins,K Rabada,S Nadeem,A Mishra,Mohammed Shami
2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,JP Faulkner,Gujarat Lions,0,0,0,0,24,0,43,0,0,0,0,0,0,-2,0,-2,MJ Guptill,HM Amla,SE Marsh,GJ Maxwell,AR Patel,WP Saha,Gurkeerat Singh,MM Sharma,Sandeep Sharma,VR Aaron,T Natarajan
2017-05-10,Green Park,Indian Premier League,T20,20,JP Faulkner,Gujarat Lions,14,8,1,0,24,3,39,0,0,0,0,0,15,79,0,94,SV Samson,KK Nair,RR Pant,SS Iyer,MN Samuels,CJ Anderson,CR Brathwaite,PJ Cummins,Mohammed Shami,A Mishra,Z Khan
2017-05-13,Green Park,Indian Premier League,T20,20,JP Faulkner,Gujarat Lions,8,10,1,0,12,0,24,0,0,1,0,0,9,-4,8,13,DA Warner,S Dhawan,MC Henriques,V Shankar,DJ Hooda,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
2011-05-21,Feroz Shah Kotla,Indian Premier League,T20,20,JP Faulkner,Pune Warriors,0,0,0,0,12,1,10,1,0,0,0,0,0,37,0,37,NV Ojha,DA Warner,MS Wade,CA Ingram,Y Venugopal Rao,JR Hopes,IK Pathan,Y Nagar,VR Aaron,UT Yadav,AB Dinda
2012-04-06,Sawai Mansingh Stadium,Indian Premier League,T20,20,JP Faulkner,Kings XI Punjab,11,9,0,0,24,2,43,2,0,1,0,0,11,64,8,83,R Dravid,AM Rahane,AL Menaria,BJ Hodge,OA Shah,KK Cooper,J Botha,AA Chavan,SP Goswami,A Singh,SK Trivedi
2012-04-08,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,JP Faulkner,Kings XI Punjab,3,5,0,0,24,1,31,1,0,0,0,0,3,33,0,36,JD Ryder,SC Ganguly,MN Samuels,RV Uthappa,CJ Ferguson,SPD Smith,MK Pandey,R Sharma,M Kartik,AB Dinda,A Nehra
