date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-19,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,K Goel,Kings XI Punjab,24,20,2,1,12,0,25,0,0,0,0,0,28,-6,0,22,PA Patel,ML Hayden,MEK Hussey,MS Dhoni,SK Raina,JDP Oram,S Badrinath,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan
2008-04-21,Sawai Mansingh Stadium,Indian Premier League,T20,20,K Goel,Kings XI Punjab,26,21,3,2,0,0,0,0,0,0,0,0,33,0,0,33,M Kaif,Kamran Akmal,YK Pathan,SR Watson,DS Lehmann,RA Jadeja,Pankaj Singh,D Salunkhe,SK Warne,SK Trivedi,MM Patel
2008-04-25,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,K Goel,Kings XI Punjab,18,21,1,1,0,0,0,0,0,0,0,0,21,0,0,21,L Ronchi,ST Jayasuriya,RV Uthappa,DJ Bravo,SS Tiwary,SM Pollock,AM Nayar,Harbhajan Singh,MA Khote,DS Kulkarni,A Nehra
2008-04-27,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,K Goel,Kings XI Punjab,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,MK Tiwary,KD Karthik,R Bhatia,MF Maharoof,VY Mahesh,Mohammad Asif,GD McGrath
2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,K Goel,Kings XI Punjab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma,Shahid Afridi,Y Venugopal Rao,SB Bangar,DNT Zoysa,D Kalyankrishna,RP Singh,PP Ojha
2008-05-03,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,K Goel,Kings XI Punjab,6,7,1,0,0,0,0,0,0,0,0,0,7,0,0,7,Mohammad Hafeez,SC Ganguly,DB Das,BJ Hodge,DJ Hussey,LR Shukla,WP Saha,AB Agarkar,Umar Gul,I Sharma,AB Dinda
2008-05-10,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,K Goel,Kings XI Punjab,1,7,0,0,0,0,0,0,0,1,0,0,1,0,8,9,S Vidyut,SP Fleming,SK Raina,S Badrinath,MS Dhoni,JA Morkel,CK Kapugedera,P Amarnath,MS Gony,M Muralitharan,L Balaji
2009-04-19,Newlands,Indian Premier League,T20,20,K Goel,Kings XI Punjab,38,22,3,3,0,0,0,0,0,0,0,0,57,0,0,57,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,MK Tiwary,KD Karthik,DP Nannes,DL Vettori,VY Mahesh,AM Salvi,PJ Sangwan
2009-04-21,Kingsmead,Indian Premier League,T20,20,K Goel,Kings XI Punjab,0,7,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,Yashpal Singh,A Chopra,MC Henriques,LR Shukla,I Sharma,M Kartik,AB Dinda
2009-04-24,Kingsmead,Indian Premier League,T20,20,K Goel,Kings XI Punjab,19,21,1,0,0,0,0,0,0,1,0,0,20,0,8,28,JD Ryder,RV Uthappa,JH Kallis,KP Pietersen,R Dravid,LRPL Taylor,V Kohli,P Kumar,R Vinay Kumar,Pankaj Singh,A Kumble
