date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2022-04-30,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,24,1,19,0,0,0,0,0,0,31,0,31,JC Buttler,D Padikkal,SV Samson,DJ Mitchell,SO Hetmyer,R Parag,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
2022-05-06,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,18,0,29,0,0,0,0,0,0,0,0,0,WP Saha,Shubman Gill,HH Pandya,B Sai Sudharsan,DA Miller,R Tewatia,Rashid Khan,PJ Sangwan,LH Ferguson,AS Joseph,Mohammed Shami
2022-05-09,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,3,6,0,0,18,2,32,1,0,0,0,0,3,56,0,59,VR Iyer,AM Rahane,N Rana,SS Iyer,AD Russell,RK Singh,SP Jackson,PJ Cummins,SP Narine,TG Southee,CV Varun
2022-05-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,18,2,23,1,0,0,0,0,0,58,0,58,RD Gaikwad,DP Conway,MM Ali,RV Uthappa,AT Rayudu,MS Dhoni,S Dube,DJ Bravo,Simarjeet Singh,M Theekshana,Mukesh Choudhary
2023-04-08,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,24,1,24,1,0,0,0,0,0,35,0,35,DL Chahar,DP Conway,RD Gaikwad,AM Rahane,S Dube,AT Rayudu,RA Jadeja,MS Dhoni,D Pretorius,MJ Santner,SSB Magala
2023-04-25,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,24,1,39,0,0,0,0,0,0,25,0,25,J Little,WP Saha,Shubman Gill,HH Pandya,V Shankar,DA Miller,A Manohar,R Tewatia,Rashid Khan,MM Sharma,Mohammed Shami
2023-04-30,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,KR Sen,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,JO Holder,SO Hetmyer,Dhruv Jurel,R Ashwin,TA Boult,Sandeep Sharma
2023-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,18,0,25,0,0,0,0,0,0,0,0,0,NT Ellis,P Simran Singh,S Dhawan,MW Short,LS Livingstone,JM Sharma,SM Curran,M Shahrukh Khan,Harpreet Brar,R Dhawan,RD Chahar
2023-05-09,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,24,1,36,1,0,0,0,0,0,33,0,33,V Kohli,F du Plessis,Anuj Rawat,GJ Maxwell,MK Lomror,KD Karthik,KM Jadhav,PWH de Silva,JR Hazlewood,Mohammed Siraj,Vijaykumar Vyshak
2023-05-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,18,2,37,2,0,0,0,0,0,60,0,60,MM Sharma,WP Saha,Shubman Gill,HH Pandya,V Shankar,DA Miller,A Manohar,R Tewatia,Rashid Khan,Noor Ahmad,AS Joseph
2023-05-21,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,0,0,0,0,24,0,39,0,0,1,0,0,0,0,8,8,Kartik Tyagi,Vivrant Sharma,MA Agarwal,H Klaasen,GD Phillips,AK Markram,HC Brook,Sanvir Singh,Nithish Kumar Reddy,Mayank Dagar,B Kumar
2023-05-26,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,K Kartikeya,Mumbai Indians,6,7,1,0,12,0,16,0,0,0,0,0,7,0,0,7,J Little,WP Saha,Shubman Gill,B Sai Sudharsan,HH Pandya,Rashid Khan,DA Miller,R Tewatia,V Shankar,Noor Ahmad,Mohammed Shami
