match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
392194,d92e42f5,2009-04-26,St George's Park,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,24,1,24,1,0,0,0,0,0,35,0,35,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,A Mishra,DL Vettori,DP Nannes,PJ Sangwan,A Nehra
392199,d92e42f5,2009-04-29,Kingsmead,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,18,1,30,0,0,0,0,0,0,25,0,25,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,MN van Wyk,WP Saha,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
392204,d92e42f5,2009-05-01,Kingsmead,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,1,0,0,12,0,14,0,0,0,0,0,-2,0,0,-2,Yuvraj Singh,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,IK Pathan,PP Chawla,RR Powar,TM Srivastava,VS Malik,YA Abdulla
392218,d92e42f5,2009-05-10,St George's Park,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,12,0,13,0,0,0,0,0,0,2,0,2,ST Jayasuriya,SR Tendulkar,AM Rahane,JP Duminy,AM Nayar,DJ Bravo,Harbhajan Singh,YV Takawale,C Nanda,DS Kulkarni,SL Malinga
392221,d92e42f5,2009-05-12,SuperSport Park,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,BB McCullum,SC Ganguly,AN Ghosh,DJ Hussey,AD Mathews,WP Saha,Yashpal Singh,AB Agarkar,M Kartik,I Sharma,BAW Mendis
419123,,2010-03-23,M Chinnaswamy Stadium,Indian Premier League,T20,20,KP Appanna,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,MK Pandey,JH Kallis,R Dravid,RV Uthappa,V Kohli,EJG Morgan,MV Boucher,P Kumar,A Kumble,DW Steyn,R Vinay Kumar
419140,d92e42f5,2010-04-04,Feroz Shah Kotla,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,1,2,0,0,24,2,24,0,0,0,0,1,1,52,6,59,DA Warner,V Sehwag,G Gambhir,PD Collingwood,KD Karthik,KM Jadhav,DL Vettori,R Bhatia,A Mishra,MF Maharoof,PJ Sangwan
419151,d92e42f5,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,1,1,0,0,18,1,27,0,0,0,0,0,1,25,0,26,HH Gibbs,AC Gilchrist,TL Suman,RG Sharma,MD Mishra,A Symonds,RJ Harris,B Sumanth,RP Singh,PP Ojha,Harmeet Singh
548327,d92e42f5,2012-04-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,12,0,23,0,0,0,0,0,0,-4,0,-4,RV Uthappa,JD Ryder,SC Ganguly,MN Samuels,SPD Smith,AD Mathews,M Manhas,B Kumar,R Sharma,AB Dinda,A Nehra
548336,d92e42f5,2012-04-23,Sawai Mansingh Stadium,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,24,4,19,0,0,0,1,0,0,114,12,126,R Dravid,AM Rahane,OA Shah,SP Goswami,BJ Hodge,STR Binny,KK Cooper,GB Hogg,Pankaj Singh,SK Trivedi,A Chandila
548344,d92e42f5,2012-04-28,Eden Gardens,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,18,0,27,0,0,1,0,0,0,0,8,8,BB McCullum,G Gambhir,JH Kallis,YK Pathan,MK Tiwary,LR Shukla,R Bhatia,DB Das,SP Narine,B Lee,Iqbal Abdulla
548350,d92e42f5,2012-05-02,M Chinnaswamy Stadium,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,18,1,30,1,0,0,0,1,0,33,6,39,Mandeep Singh,SE Marsh,N Saini,DJ Hussey,Azhar Mahmood,AM Nayar,P Dogra,PP Chawla,RJ Harris,P Kumar,P Awana
548362,d92e42f5,2012-05-11,Subrata Roy Sahara Stadium,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,24,1,31,0,0,0,1,0,0,25,12,37,MD Mishra,MJ Clarke,MK Pandey,RV Uthappa,AP Majumdar,AD Mathews,SPD Smith,B Kumar,AC Thomas,R Sharma,K Upadhyay
548367,d92e42f5,2012-05-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,KP Appanna,Royal Challengers Bangalore,0,0,0,0,6,0,19,0,0,0,0,1,0,0,6,6,HH Gibbs,SR Tendulkar,RG Sharma,KD Karthik,AT Rayudu,DR Smith,KA Pollard,Harbhajan Singh,SL Malinga,RP Singh,MM Patel
548376,,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,KP Appanna,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,S Dhawan,PA Reddy,KC Sangakkara,CL White,JP Duminy,PA Patel,A Ashish Reddy,DW Steyn,A Mishra,MS Gony,V Pratap Singh
