date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2022-04-10,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,24,1,35,1,0,0,0,0,0,33,0,33,KL Rahul,Q de Kock,K Gowtham,JO Holder,DJ Hooda,A Badoni,KH Pandya,MP Stoinis,PVD Chameera,Avesh Khan,Ravi Bishnoi
2022-04-14,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,3,0,0,24,1,51,0,0,0,0,0,-2,19,0,17,MS Wade,Shubman Gill,V Shankar,HH Pandya,A Manohar,DA Miller,R Tewatia,Rashid Khan,Mohammed Shami,LH Ferguson,Yash Dayal
2022-04-26,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,21,4,20,0,1,1,0,0,0,124,8,132,V Kohli,F du Plessis,RM Patidar,GJ Maxwell,Shahbaz Ahmed,SS Prabhudessai,KD Karthik,PWH de Silva,HV Patel,Mohammed Siraj,JR Hazlewood
2022-04-30,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,20,1,30,0,0,0,0,0,0,25,0,25,RG Sharma,Ishan Kishan,SA Yadav,Tilak Varma,KA Pollard,TH David,DR Sams,HR Shokeen,K Kartikeya,JJ Bumrah,RP Meredith
2022-05-02,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,19,1,28,1,0,0,0,0,0,33,0,33,B Indrajith,AJ Finch,SS Iyer,N Rana,RK Singh,AS Roy,AD Russell,SP Narine,UT Yadav,TG Southee,Shivam Mavi
2022-05-07,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,24,0,43,0,0,0,0,0,0,-2,0,-2,JM Bairstow,S Dhawan,PBB Rajapaksa,MA Agarwal,JM Sharma,LS Livingstone,R Dhawan,K Rabada,RD Chahar,Arshdeep Singh,Sandeep Sharma
2022-05-11,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,19,0,33,0,0,1,0,0,0,-2,8,6,KS Bharat,DA Warner,MR Marsh,RR Pant,R Powell,Lalit Yadav,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,C Sakariya
2023-04-12,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,12,0,9,0,0,0,0,0,0,6,0,6,RD Gaikwad,DP Conway,AM Rahane,S Dube,MM Ali,AT Rayudu,RA Jadeja,MS Dhoni,SSB Magala,TU Deshpande,M Theekshana
2023-04-30,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,RG Sharma,Ishan Kishan,C Green,SA Yadav,Tilak Varma,TH David,PP Chawla,JC Archer,K Kartikeya,RP Meredith,Arshad Khan
2024-04-10,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,25,3,42,3,0,0,0,0,0,101,0,101,MM Sharma,B Sai Sudharsan,Shubman Gill,MS Wade,A Manohar,V Shankar,R Tewatia,M Shahrukh Khan,Rashid Khan,Noor Ahmad,UT Yadav
2024-04-13,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,24,1,35,0,0,1,0,0,0,25,8,33,Atharva Taide,JM Bairstow,P Simran Singh,SM Curran,JM Sharma,Shashank Singh,LS Livingstone,Ashutosh Sharma,Harpreet Brar,HV Patel,K Rabada
2024-04-16,"Eden Gardens, Kolkata",Indian Premier League,T20,20,KR Sen,Rajasthan Royals,0,0,0,0,24,2,50,0,0,0,0,0,0,44,0,44,VG Arora,PD Salt,SP Narine,A Raghuvanshi,SS Iyer,AD Russell,RK Singh,VR Iyer,Ramandeep Singh,MA Starc,CV Varun
