match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082611,d027ba9f,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,89,52,6,5,0,0,0,0,0,0,0,0,119,0,0,119,SV Samson,SW Billings,KK Nair,RR Pant,SS Iyer,AD Mathews,CH Morris,J Yadav,PJ Cummins,A Mishra,Z Khan
1082615,d027ba9f,2017-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,21,14,1,1,0,0,0,0,0,0,0,0,26,0,0,26,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,MK Tiwary,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082623,d027ba9f,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,54,27,4,2,0,0,0,0,0,1,0,0,76,0,8,84,MJ Guptill,M Vohra,SE Marsh,GJ Maxwell,EJG Morgan,WP Saha,AR Patel,Anureet Singh,MM Sharma,I Sharma,KC Cariappa
1082627,d027ba9f,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,40,25,5,0,0,0,0,0,0,0,0,0,53,0,0,53,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SP Jackson,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082630,d027ba9f,2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,24,24,1,1,0,0,0,0,0,0,0,0,27,0,0,27,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,CH Morris,AD Mathews,J Yadav,K Rabada,A Mishra,Mohammed Shami
1082634,d027ba9f,2017-05-06,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,4,2,1,0,0,0,0,0,0,0,0,0,5,0,0,5,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MS Dhoni,DT Christian,MK Tiwary,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082648,d027ba9f,2017-05-17,M Chinnaswamy Stadium,Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,24,26,2,1,0,0,0,0,0,0,0,0,28,0,0,28,RV Uthappa,CA Lynn,YK Pathan,G Gambhir,IR Jaggi,SA Yadav,SP Narine,PP Chawla,UT Yadav,NM Coulter-Nile,TA Boult
1136564,d027ba9f,2018-04-09,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,36,35,3,1,0,0,0,0,0,1,0,0,45,0,8,53,AM Rahane,DJM Short,SV Samson,BA Stokes,RA Tripathi,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
1136567,d027ba9f,2018-04-12,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,6,4,1,0,0,0,0,0,0,1,0,0,7,0,8,15,RG Sharma,E Lewis,Ishan Kishan,SA Yadav,KH Pandya,KA Pollard,BCJ Cutting,PJ Sangwan,M Markande,JJ Bumrah,Mustafizur Rahman
1136570,d027ba9f,2018-04-14,Eden Gardens,Indian Premier League,T20,20,KS Williamson,Sunrisers Hyderabad,50,44,4,1,0,0,0,0,0,1,0,0,64,0,8,72,RV Uthappa,CA Lynn,N Rana,SP Narine,KD Karthik,AD Russell,Shubman Gill,Shivam Mavi,MG Johnson,PP Chawla,Kuldeep Yadav
