match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082618,119678fd,2017-04-24,Wankhede Stadium,Indian Premier League,T20,20,KV Sharma,Mumbai Indians,11,10,0,1,24,2,39,0,0,0,0,0,13,50,0,63,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,MK Tiwary,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082628,119678fd,2017-05-01,Wankhede Stadium,Indian Premier League,T20,20,KV Sharma,Mumbai Indians,9,8,1,0,18,1,23,0,0,0,0,0,10,25,0,35,V Kohli,Mandeep Singh,TM Head,AB de Villiers,KM Jadhav,SR Watson,P Negi,AF Milne,S Aravind,A Choudhary,YS Chahal
1082635,119678fd,2017-05-06,Feroz Shah Kotla,Indian Premier League,T20,20,KV Sharma,Mumbai Indians,0,0,0,0,22,3,12,0,1,1,0,0,0,97,8,105,SV Samson,KK Nair,SS Iyer,RR Pant,CJ Anderson,MN Samuels,PJ Cummins,K Rabada,A Mishra,Mohammed Shami,Z Khan
1082638,119678fd,2017-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,KV Sharma,Mumbai Indians,5,5,1,0,12,0,20,0,0,0,0,0,6,0,0,6,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,V Shankar,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
1082641,119678fd,2017-05-11,Wankhede Stadium,Indian Premier League,T20,20,KV Sharma,Mumbai Indians,19,6,3,1,18,1,32,0,0,0,0,0,24,23,0,47,MJ Guptill,WP Saha,GJ Maxwell,SE Marsh,AR Patel,M Vohra,R Tewatia,MM Sharma,Sandeep Sharma,I Sharma,MJ Henry
1082644,119678fd,2017-05-13,Eden Gardens,Indian Premier League,T20,20,KV Sharma,Mumbai Indians,0,0,0,0,18,1,26,0,0,1,0,0,0,25,8,33,SP Narine,CA Lynn,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,C de Grandhomme,Kuldeep Yadav,UT Yadav,TA Boult,AS Rajpoot
1082647,119678fd,2017-05-16,Wankhede Stadium,Indian Premier League,T20,20,KV Sharma,Mumbai Indians,4,8,0,0,24,1,30,1,0,0,0,0,4,33,0,37,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat
1082649,119678fd,2017-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,KV Sharma,Mumbai Indians,0,0,0,0,24,4,17,1,0,0,1,0,0,122,12,134,CA Lynn,SP Narine,G Gambhir,RV Uthappa,IR Jaggi,C de Grandhomme,SA Yadav,PP Chawla,NM Coulter-Nile,UT Yadav,AS Rajpoot
1082650,119678fd,2017-05-21,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,KV Sharma,Mumbai Indians,1,5,0,0,24,0,18,0,0,0,0,0,1,6,0,7,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat
1136577,119678fd,2018-04-20,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,KV Sharma,Chennai Super Kings,0,0,0,0,9,2,13,1,0,1,0,0,0,58,8,66,AM Rahane,H Klaasen,SV Samson,BA Stokes,JC Buttler,RA Tripathi,STR Binny,K Gowtham,S Gopal,JD Unadkat,B Laughlin
1136580,119678fd,2018-04-22,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,KV Sharma,Chennai Super Kings,0,0,0,0,18,1,30,0,0,1,0,0,0,25,8,33,RK Bhui,KS Williamson,MK Pandey,DJ Hooda,Shakib Al Hasan,YK Pathan,WP Saha,Rashid Khan,B Kumar,B Stanlake,S Kaul
1136590,119678fd,2018-04-30,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,KV Sharma,Chennai Super Kings,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,PP Shaw,C Munro,SS Iyer,RR Pant,GJ Maxwell,V Shankar,R Tewatia,LE Plunkett,A Mishra,Avesh Khan,TA Boult
1136593,119678fd,2018-05-03,Eden Gardens,Indian Premier League,T20,20,KV Sharma,Chennai Super Kings,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,CA Lynn,SP Narine,RV Uthappa,Shubman Gill,RK Singh,KD Karthik,AD Russell,Shivam Mavi,PP Chawla,MG Johnson,Kuldeep Yadav
1136603,119678fd,2018-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,KV Sharma,Chennai Super Kings,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,JC Buttler,BA Stokes,AM Rahane,SV Samson,P Chopra,STR Binny,K Gowtham,JC Archer,Ankit Sharma,JD Unadkat,IS Sodhi
