date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-14,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,LH Ferguson,Rising Pune Supergiant,1,1,0,0,24,0,45,0,0,0,0,0,1,-4,0,-3,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,Ishan Kishan,RA Jadeja,P Kumar,Basil Thampi,AJ Tye,SB Jakati
2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,LH Ferguson,Rising Pune Supergiant,0,0,0,0,24,3,8,0,0,0,0,1,0,85,6,91,TM Head,V Kohli,AB de Villiers,KM Jadhav,Sachin Baby,STR Binny,P Negi,AF Milne,S Badree,S Aravind,YS Chahal
2017-05-16,Wankhede Stadium,Indian Premier League,T20,20,LH Ferguson,Rising Pune Supergiant,0,0,0,0,18,1,22,0,0,0,0,0,0,25,0,25,LMP Simmons,PA Patel,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,MJ McClenaghan,KV Sharma,JJ Bumrah,SL Malinga
2017-05-21,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,LH Ferguson,Rising Pune Supergiant,0,0,0,0,12,1,21,0,0,0,0,0,0,23,0,23,LMP Simmons,PA Patel,AT Rayudu,RG Sharma,KH Pandya,KA Pollard,HH Pandya,KV Sharma,MG Johnson,JJ Bumrah,SL Malinga
2019-03-24,Eden Gardens,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,24,0,36,0,0,0,0,0,0,0,0,0,DA Warner,JM Bairstow,V Shankar,YK Pathan,MK Pandey,DJ Hooda,Shakib Al Hasan,Rashid Khan,B Kumar,Sandeep Sharma,S Kaul
2019-03-27,Eden Gardens,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,24,1,42,0,0,0,0,0,0,23,0,23,KL Rahul,CH Gayle,MA Agarwal,SN Khan,DA Miller,Mandeep Singh,R Ashwin,GC Viljoen,CV Varun,Mohammed Shami,AJ Tye
2019-03-30,Arun Jaitley Stadium,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,24,1,38,0,0,0,0,0,0,25,0,25,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,GH Vihari,HV Patel,CH Morris,A Mishra,S Lamichhane,K Rabada
2019-04-05,M.Chinnaswamy Stadium,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,12,0,32,0,0,0,0,0,0,-6,0,-6,PA Patel,V Kohli,AB de Villiers,MP Stoinis,MM Ali,AD Nath,P Negi,Navdeep Saini,TG Southee,YS Chahal,Mohammed Siraj
2019-04-12,Eden Gardens,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,18,0,37,0,0,0,0,0,0,-6,0,-6,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,CH Morris,AR Patel,KMA Paul,R Tewatia,K Rabada,I Sharma
2020-10-21,Sheikh Zayed Stadium,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,19,16,1,0,24,2,17,0,0,0,0,0,20,56,0,76,D Padikkal,AJ Finch,Gurkeerat Singh,V Kohli,AB de Villiers,CH Morris,Washington Sundar,I Udana,Navdeep Saini,YS Chahal,Mohammed Siraj
2020-10-24,Sheikh Zayed Stadium,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,24,1,30,0,0,0,0,0,0,25,0,25,AM Rahane,S Dhawan,SS Iyer,RR Pant,SO Hetmyer,MP Stoinis,AR Patel,K Rabada,R Ashwin,TU Deshpande,A Nortje
2020-10-18,Sheikh Zayed Stadium,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,27,5,18,4,0,0,0,0,0,179,0,179,JM Bairstow,KS Williamson,PK Garg,DA Warner,MK Pandey,V Shankar,Abdul Samad,Rashid Khan,Sandeep Sharma,Basil Thampi,T Natarajan
2020-10-26,Sharjah Cricket Stadium,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,24,13,3,1,23,1,34,0,0,0,0,0,35,25,0,60,KL Rahul,Mandeep Singh,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,M Ashwin,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
2020-10-29,Dubai International Cricket Stadium,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,25,0,54,0,0,0,0,0,0,-6,0,-6,SR Watson,RD Gaikwad,AT Rayudu,MS Dhoni,SM Curran,RA Jadeja,N Jagadeesan,MJ Santner,DL Chahar,KV Sharma,L Ngidi
2021-09-20,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,25,2,24,1,0,0,0,0,0,62,0,62,V Kohli,D Padikkal,KS Bharat,GJ Maxwell,AB de Villiers,Sachin Baby,PWH de Silva,KA Jamieson,HV Patel,Mohammed Siraj,YS Chahal
2021-09-28,Sharjah Cricket Stadium,Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,12,2,10,1,0,1,0,0,0,62,8,70,SPD Smith,S Dhawan,SS Iyer,RR Pant,SO Hetmyer,Lalit Yadav,AR Patel,R Ashwin,K Rabada,Avesh Khan,A Nortje
2021-09-23,"Zayed Cricket Stadium, Abu Dhabi",Indian Premier League,T20,20,LH Ferguson,Kolkata Knight Riders,0,0,0,0,24,3,27,0,0,0,0,1,0,81,6,87,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KA Pollard,KH Pandya,SS Tiwary,AF Milne,RD Chahar,JJ Bumrah,TA Boult
