match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1136589,e2db2409,2018-04-29,M.Chinnaswamy Stadium,Indian Premier League,T20,20,M Ashwin,Royal Challengers Bangalore,0,0,0,0,24,2,37,0,0,0,0,0,0,50,0,50,CA Lynn,SP Narine,RV Uthappa,N Rana,AD Russell,KD Karthik,Shubman Gill,Shivam Mavi,PP Chawla,MG Johnson,Kuldeep Yadav
1136595,e2db2409,2018-05-05,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,M Ashwin,Royal Challengers Bangalore,1,2,0,0,18,1,17,0,0,0,0,0,1,29,0,30,SR Watson,AT Rayudu,SK Raina,DR Shorey,MS Dhoni,DJ Bravo,RA Jadeja,DJ Willey,Harbhajan Singh,L Ngidi,SN Thakur
1175364,e2db2409,2019-03-30,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,24,2,26,1,0,1,0,0,0,60,8,68,RG Sharma,Q de Kock,SA Yadav,Yuvraj Singh,KA Pollard,HH Pandya,KH Pandya,MJ McClenaghan,M Markande,SL Malinga,JJ Bumrah
1175368,e2db2409,2019-04-01,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,1,2,0,0,12,0,19,0,0,0,0,0,1,0,0,1,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,CH Morris,GH Vihari,HV Patel,K Rabada,Avesh Khan,S Lamichhane
1178393,e2db2409,2019-04-06,MA Chidambaram Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,24,0,23,0,0,0,0,0,0,4,0,4,SR Watson,F du Plessis,SK Raina,MS Dhoni,AT Rayudu,KM Jadhav,SC Kuggeleijn,RA Jadeja,Harbhajan Singh,DL Chahar,Imran Tahir
1178403,e2db2409,2019-04-13,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,24,0,24,0,0,1,0,0,0,2,8,10,PA Patel,V Kohli,AB de Villiers,MP Stoinis,MM Ali,AD Nath,P Negi,UT Yadav,Mohammed Siraj,YS Chahal,Navdeep Saini
1178407,e2db2409,2019-04-16,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,24,1,24,0,0,0,0,0,0,27,0,27,RA Tripathi,JC Buttler,SV Samson,AM Rahane,AJ Turner,JC Archer,STR Binny,S Gopal,JD Unadkat,DS Kulkarni,IS Sodhi
1178412,e2db2409,2019-04-20,Arun Jaitley Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,19,0,21,0,0,0,0,0,0,2,0,2,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,AR Patel,SE Rutherford,A Mishra,K Rabada,I Sharma,S Lamichhane
1178417,e2db2409,2019-04-24,M.Chinnaswamy Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,1,2,0,0,24,1,31,0,0,0,0,0,1,25,0,26,PA Patel,V Kohli,AB de Villiers,MM Ali,AD Nath,MP Stoinis,Washington Sundar,UT Yadav,TG Southee,YS Chahal,Navdeep Saini
1178423,e2db2409,2019-04-29,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,1,1,0,0,24,1,32,0,0,1,0,0,1,25,8,34,DA Warner,WP Saha,MK Pandey,Mohammad Nabi,KS Williamson,Rashid Khan,V Shankar,Abhishek Sharma,B Kumar,KK Ahmed,Sandeep Sharma
1178427,e2db2409,2019-05-03,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,12,0,24,0,0,0,0,0,0,-4,0,-4,Shubman Gill,CA Lynn,RV Uthappa,AD Russell,KD Karthik,SP Narine,N Rana,RK Singh,PP Chawla,HF Gurney,S Sandeep Warrier
1178430,e2db2409,2019-05-05,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,18,0,33,0,0,0,0,0,0,-2,0,-2,F du Plessis,SR Watson,SK Raina,MS Dhoni,AT Rayudu,KM Jadhav,DJ Bravo,RA Jadeja,DL Chahar,Harbhajan Singh,Imran Tahir
1216498,e2db2409,2020-10-24,Dubai International Cricket Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,4,4,0,0,24,1,27,1,0,1,0,0,4,35,8,47,DA Warner,JM Bairstow,MK Pandey,Abdul Samad,V Shankar,JO Holder,PK Garg,Rashid Khan,Sandeep Sharma,T Natarajan,KK Ahmed
1216506,e2db2409,2020-11-01,Sheikh Zayed Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,24,0,17,0,0,0,0,0,0,6,0,6,RD Gaikwad,F du Plessis,AT Rayudu,MS Dhoni,N Jagadeesan,SM Curran,RA Jadeja,DL Chahar,SN Thakur,L Ngidi,Imran Tahir
1216510,e2db2409,2020-09-24,Dubai International Cricket Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,18,3,22,2,0,0,0,0,0,95,0,95,D Padikkal,AJ Finch,JR Philippe,V Kohli,AB de Villiers,Washington Sundar,S Dube,UT Yadav,Navdeep Saini,DW Steyn,YS Chahal
1216517,e2db2409,2020-10-18,Dubai International Cricket Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,18,0,32,0,0,2,0,0,0,-2,16,14,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,NM Coulter-Nile,RD Chahar,TA Boult,JJ Bumrah
1216520,e2db2409,2020-10-26,Sharjah Cricket Stadium,Indian Premier League,T20,20,M Ashwin,Kings XI Punjab,0,0,0,0,24,1,27,1,0,1,0,0,0,35,8,43,Shubman Gill,N Rana,RA Tripathi,KD Karthik,EJG Morgan,SP Narine,KL Nagarkoti,PJ Cummins,LH Ferguson,CV Varun,M Prasidh Krishna
