date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,M Kaif,Rajasthan Royals,9,19,0,0,0,0,0,0,0,0,0,0,3,0,0,3,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,KD Karthik,R Bhatia,M Manhas,DL Vettori,MF Maharoof,B Geeves,GD McGrath
2008-04-21,Sawai Mansingh Stadium,Indian Premier League,T20,20,M Kaif,Rajasthan Royals,5,8,1,0,0,0,0,0,0,0,0,0,6,0,0,6,K Goel,JR Hopes,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,IK Pathan,S Sohal,B Lee,PP Chawla,WA Mota,S Sreesanth
2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,M Kaif,Rajasthan Royals,34,16,2,3,0,0,0,0,0,0,0,0,52,0,0,52,AC Gilchrist,VVS Laxman,Shahid Afridi,A Symonds,RG Sharma,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,PP Ojha,D Kalyankrishna
2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,M Kaif,Rajasthan Royals,4,6,1,0,0,0,0,0,0,0,0,0,5,0,0,5,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,P Kumar,SB Joshi,Z Khan,R Vinay Kumar,A Kumble
2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,M Kaif,Rajasthan Royals,21,19,3,1,0,0,0,0,0,1,0,0,26,0,8,34,Salman Butt,SC Ganguly,AB Agarkar,BJ Hodge,DJ Hussey,LR Shukla,DB Das,WP Saha,Umar Gul,I Sharma,AB Dinda
2008-05-04,Sawai Mansingh Stadium,Indian Premier League,T20,20,M Kaif,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,M Muralitharan,M Ntini
2008-05-07,Dr DY Patil Sports Academy,Indian Premier League,T20,20,M Kaif,Rajasthan Royals,4,7,0,0,0,0,0,0,0,0,0,0,4,0,0,4,YV Takawale,ST Jayasuriya,RV Uthappa,DJ Bravo,AM Nayar,DJ Thornely,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni
2008-05-09,Sawai Mansingh Stadium,Indian Premier League,T20,20,M Kaif,Rajasthan Royals,17,15,2,0,0,0,0,0,0,0,0,0,19,0,0,19,AC Gilchrist,HH Gibbs,SB Styris,RG Sharma,Shahid Afridi,SB Bangar,DB Ravi Teja,Y Venugopal Rao,RP Singh,PP Ojha,DP Vijaykumar
2008-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,M Kaif,Rajasthan Royals,1,5,0,0,0,0,0,0,0,1,0,0,1,0,8,9,G Gambhir,V Sehwag,S Dhawan,AB de Villiers,KD Karthik,TM Dilshan,A Mishra,MF Maharoof,VY Mahesh,GD McGrath,PJ Sangwan
2008-05-28,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,M Kaif,Rajasthan Royals,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,SE Marsh,JR Hopes,Yuvraj Singh,LA Pomersbach,KC Sangakkara,RR Powar,PP Chawla,IK Pathan,VRV Singh,S Sreesanth,WA Mota
