date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2008-04-18,M Chinnaswamy Stadium,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,16,R Dravid,W Jaffer,V Kohli,JH Kallis,CL White,MV Boucher,B Akhil,AA Noffke,P Kumar,Z Khan,SB Joshi
2008-04-20,Eden Gardens,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,22,4,17,0,0,1,0,0,0,114,8,122,AC Gilchrist,Y Venugopal Rao,VVS Laxman,A Symonds,RG Sharma,SB Styris,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,PP Ojha
2008-04-26,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,3,3,0,0,18,0,34,0,0,0,0,0,3,-4,0,-1,PA Patel,ML Hayden,MS Dhoni,MEK Hussey,S Badrinath,SK Raina,JDP Oram,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan
2008-04-29,Eden Gardens,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,10,12,1,0,18,0,25,0,0,0,0,0,11,0,0,11,AM Rahane,ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo,SM Pollock,AM Nayar,A Nehra,DS Kulkarni,CRD Fernando,PR Shah
2008-05-08,Eden Gardens,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,17,13,2,0,12,1,25,0,0,1,0,1,21,19,14,54,J Arunkumar,S Chanderpaul,MV Boucher,R Dravid,CL White,P Kumar,R Vinay Kumar,V Kohli,Z Khan,A Kumble,DW Steyn
2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,18,0,31,0,0,0,0,0,0,-2,0,-2,AC Gilchrist,HH Gibbs,DB Ravi Teja,RG Sharma,SB Styris,Y Venugopal Rao,SB Bangar,WPUJC Vaas,RP Singh,DP Vijaykumar,PP Ojha
2009-04-19,Newlands,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,10,10,0,0,24,0,24,0,0,0,0,0,10,2,0,12,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,SB Styris,Y Venugopal Rao,Harmeet Singh,PP Ojha,RP Singh,DB Ravi Teja,FH Edwards
2009-04-21,Kingsmead,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,6,0,7,0,0,1,0,0,0,0,8,8,RS Bopara,K Goel,IK Pathan,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,T Kohli,PP Chawla,VS Malik,VRV Singh,YA Abdulla
2009-04-29,Kingsmead,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,24,0,26,0,0,0,0,0,0,2,0,2,JH Kallis,SP Goswami,KP Pietersen,V Kohli,MV Boucher,RE van der Merwe,MK Pandey,P Kumar,Pankaj Singh,A Kumble,KP Appanna
2009-05-01,Buffalo Park,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,18,1,21,0,0,0,0,0,0,25,0,25,ST Jayasuriya,SR Tendulkar,Harbhajan Singh,AM Nayar,JP Duminy,GR Napier,AM Rahane,Z Khan,SS Tiwary,PR Shah,SL Malinga
2009-05-03,St George's Park,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,18,0,20,0,0,0,0,0,0,2,0,2,S Sohal,KC Sangakkara,SM Katich,DPMD Jayawardene,Yuvraj Singh,IK Pathan,RR Powar,TM Srivastava,VS Malik,PP Chawla,YA Abdulla
2009-05-05,Kingsmead,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,24,0,18,0,0,0,0,0,0,6,0,6,G Gambhir,DA Warner,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,R Bhatia,A Mishra,PJ Sangwan,A Nehra,DP Nannes
2009-05-10,New Wanderers Stadium,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,11,10,0,0,24,0,23,0,0,0,0,0,11,4,0,15,G Gambhir,DA Warner,AB de Villiers,TM Dilshan,KD Karthik,M Manhas,R Bhatia,A Mishra,PJ Sangwan,A Nehra,DP Nannes
2009-05-12,SuperSport Park,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,24,2,28,0,0,0,0,0,0,50,0,50,JD Ryder,JH Kallis,RV Uthappa,LRPL Taylor,R Dravid,MV Boucher,V Kohli,B Akhil,KP Appanna,R Vinay Kumar,A Kumble
2009-05-16,New Wanderers Stadium,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,24,1,12,0,0,0,0,0,0,31,0,31,AC Gilchrist,HH Gibbs,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,DB Ravi Teja,RJ Harris,Harmeet Singh,RP Singh,PP Ojha
2009-05-18,SuperSport Park,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,18,1,28,0,0,0,0,0,0,25,0,25,PA Patel,GJ Bailey,SK Raina,MS Dhoni,JA Morkel,S Badrinath,JDP Oram,SB Jakati,L Balaji,M Muralitharan,S Tyagi
2010-03-12,Dr DY Patil Sports Academy,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,18,1,18,0,0,0,0,0,0,27,0,27,AC Gilchrist,VVS Laxman,HH Gibbs,A Symonds,RG Sharma,Anirudh Singh,TL Suman,WPUJC Vaas,Jaskaran Singh,RP Singh,PP Ojha
2010-03-14,Eden Gardens,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,0,0,0,0,25,2,23,1,0,0,0,0,0,62,0,62,JH Kallis,SP Goswami,MK Pandey,V Kohli,EJG Morgan,R Dravid,RV Uthappa,RE van der Merwe,P Kumar,A Kumble,DW Steyn
2010-03-16,Eden Gardens,Indian Premier League,T20,20,M Kartik,Kolkata Knight Riders,21,20,2,0,24,0,22,0,0,0,0,0,23,4,0,27,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JM Kemp,JA Morkel,R Ashwin,L Balaji,M Muralitharan,MS Gony
