match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1304108,64839cb3,2022-05-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,19,2,26,1,0,0,0,0,0,58,0,58,WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,AS Joseph,Yash Dayal,Mohammed Shami
1304114,64839cb3,2022-05-20,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,22,0,30,0,0,1,0,0,0,0,8,8,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Ashwin,SO Hetmyer,R Parag,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy
1359498,64839cb3,2023-04-17,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,24,2,42,0,0,0,0,0,0,48,0,48,V Kohli,F du Plessis,MK Lomror,GJ Maxwell,Shahbaz Ahmed,KD Karthik,SS Prabhudessai,WD Parnell,PWH de Silva,HV Patel,Mohammed Siraj
1359503,64839cb3,2023-04-21,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,24,2,23,0,0,0,0,0,0,54,0,54,Mayank Dagar,HC Brook,Abhishek Sharma,RA Tripathi,AK Markram,H Klaasen,MA Agarwal,M Jansen,Washington Sundar,B Kumar,M Markande
1359507,64839cb3,2023-04-23,"Eden Gardens, Kolkata",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,24,1,27,0,0,0,0,0,0,27,0,27,Suyash Sharma,N Jagadeesan,SP Narine,VR Iyer,N Rana,JJ Roy,RK Singh,AD Russell,D Wiese,UT Yadav,CV Varun
1359511,64839cb3,2023-04-27,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,24,1,49,0,0,0,0,0,0,19,0,19,K Yadav,YBK Jaiswal,JC Buttler,SV Samson,SO Hetmyer,Dhruv Jurel,D Padikkal,R Ashwin,JO Holder,Sandeep Sharma,YS Chahal
1359515,64839cb3,2023-04-30,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,24,1,33,1,0,1,0,0,0,33,8,41,K Rabada,P Simran Singh,S Dhawan,Atharva Taide,LS Livingstone,SM Curran,JM Sharma,M Shahrukh Khan,Sikandar Raza,Harpreet Brar,RD Chahar
1359519,64839cb3,2023-05-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,20,2,22,0,1,0,0,0,0,64,0,64,M Vohra,KR Mayers,KS Sharma,KH Pandya,MP Stoinis,N Pooran,A Badoni,K Gowtham,Naveen-ul-Haq,Ravi Bishnoi,Mohsin Khan
1359523,64839cb3,2023-05-06,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,24,3,19,1,0,0,0,0,0,93,0,93,R Goyal,C Green,Ishan Kishan,RG Sharma,N Wadhera,SA Yadav,T Stubbs,TH David,Arshad Khan,JC Archer,PP Chawla
1359529,64839cb3,2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,M Pathirana,Chennai Super Kings,0,0,0,0,24,3,41,2,0,1,0,0,0,93,8,101,KK Ahmed,DA Warner,PD Salt,MR Marsh,MK Pandey,RR Rossouw,RV Patel,AR Patel,Aman Hakim Khan,Lalit Yadav,Kuldeep Yadav
