match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1136597,85e0cf10,2018-05-06,Wankhede Stadium,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,0,39,0,0,0,0,0,0,0,0,0,SA Yadav,E Lewis,RG Sharma,HH Pandya,KH Pandya,JP Duminy,Ishan Kishan,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah
1136601,85e0cf10,2018-05-09,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,1,5,0,0,24,1,41,0,0,0,0,0,1,23,0,24,SA Yadav,E Lewis,RG Sharma,Ishan Kishan,HH Pandya,BCJ Cutting,KH Pandya,JP Duminy,MJ McClenaghan,M Markande,JJ Bumrah
1136604,85e0cf10,2018-05-12,Holkar Cricket Stadium,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,2,31,1,0,1,0,0,0,58,8,66,KL Rahul,CH Gayle,MA Agarwal,KK Nair,AJ Finch,AR Patel,R Ashwin,AJ Tye,BB Sran,MM Sharma,Mujeeb Ur Rahman
1136609,85e0cf10,2018-05-15,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,2,36,1,0,0,0,0,0,58,0,58,RA Tripathi,JC Buttler,AM Rahane,SV Samson,BA Stokes,STR Binny,K Gowtham,JD Unadkat,IS Sodhi,JC Archer,Anureet Singh
1136614,85e0cf10,2018-05-19,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,5,30,1,0,0,0,0,0,149,0,149,S Dhawan,SP Goswami,KS Williamson,MK Pandey,YK Pathan,CR Brathwaite,Shakib Al Hasan,Rashid Khan,B Kumar,S Kaul,Sandeep Sharma
1136618,85e0cf10,2018-05-23,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,1,28,0,0,0,0,0,0,25,0,25,AM Rahane,RA Tripathi,SV Samson,H Klaasen,STR Binny,K Gowtham,JC Archer,S Gopal,IS Sodhi,JD Unadkat,B Laughlin
1136619,85e0cf10,2018-05-25,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,1,56,0,0,0,0,0,0,19,0,19,WP Saha,S Dhawan,KS Williamson,Shakib Al Hasan,DJ Hooda,YK Pathan,CR Brathwaite,Rashid Khan,B Kumar,S Kaul,KK Ahmed
1175357,85e0cf10,2019-03-24,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,25,0,34,0,0,0,0,0,0,0,0,0,DA Warner,JM Bairstow,V Shankar,YK Pathan,MK Pandey,DJ Hooda,Shakib Al Hasan,Rashid Khan,B Kumar,Sandeep Sharma,S Kaul
1175361,85e0cf10,2019-03-27,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,0,42,0,0,1,0,0,0,-2,8,6,KL Rahul,CH Gayle,MA Agarwal,SN Khan,DA Miller,Mandeep Singh,R Ashwin,GC Viljoen,CV Varun,Mohammed Shami,AJ Tye
1175365,85e0cf10,2019-03-30,Arun Jaitley Stadium,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,30,1,43,0,0,0,0,0,0,25,0,25,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,GH Vihari,HV Patel,CH Morris,A Mishra,S Lamichhane,K Rabada
1175372,85e0cf10,2019-04-05,M.Chinnaswamy Stadium,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,18,0,42,0,0,0,0,0,0,-6,0,-6,PA Patel,V Kohli,AB de Villiers,MP Stoinis,MM Ali,AD Nath,P Negi,Navdeep Saini,TG Southee,YS Chahal,Mohammed Siraj
1178396,85e0cf10,2019-04-07,Sawai Mansingh Stadium,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,26,1,36,1,0,0,0,0,0,33,0,33,AM Rahane,JC Buttler,SPD Smith,RA Tripathi,BA Stokes,P Chopra,K Gowtham,JC Archer,S Gopal,S Midhun,DS Kulkarni
1178398,85e0cf10,2019-04-09,MA Chidambaram Stadium,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,2,0,0,25,0,23,0,0,0,0,0,-2,4,0,2,SR Watson,F du Plessis,SK Raina,AT Rayudu,KM Jadhav,MS Dhoni,SC Kuggeleijn,RA Jadeja,Harbhajan Singh,DL Chahar,Imran Tahir
1178401,85e0cf10,2019-04-12,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,18,1,26,0,0,0,0,0,0,25,0,25,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,CH Morris,AR Patel,KMA Paul,R Tewatia,K Rabada,I Sharma
1178404,85e0cf10,2019-04-14,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0,0,SR Watson,F du Plessis,SK Raina,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,MJ Santner,Imran Tahir,SN Thakur,DL Chahar
1178410,85e0cf10,2019-04-19,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,24,0,53,0,0,1,0,0,0,-6,8,2,PA Patel,V Kohli,AD Nath,MM Ali,MP Stoinis,H Klaasen,P Negi,DW Steyn,Mohammed Siraj,YS Chahal,Navdeep Saini
1178418,85e0cf10,2019-04-25,Eden Gardens,Indian Premier League,T20,20,M Prasidh Krishna,Kolkata Knight Riders,0,0,0,0,20,1,43,0,0,0,0,0,0,19,0,19,AM Rahane,SV Samson,SPD Smith,BA Stokes,R Parag,STR Binny,S Gopal,JC Archer,JD Unadkat,VR Aaron,O Thomas
