match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1136572,4b57e452,2018-04-15,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,12,11,0,1,0,0,0,0,0,0,0,0,14,0,0,14,KL Rahul,CH Gayle,MA Agarwal,Yuvraj Singh,AJ Finch,KK Nair,R Ashwin,AJ Tye,BB Sran,MM Sharma,Mujeeb Ur Rahman
1178419,4b57e452,2019-04-26,MA Chidambaram Stadium,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,38,35,3,1,0,0,0,0,0,1,0,0,47,0,8,55,RG Sharma,Q de Kock,E Lewis,KH Pandya,HH Pandya,KA Pollard,SA Yadav,AS Roy,RD Chahar,JJ Bumrah,SL Malinga
1181764,4b57e452,2019-05-07,MA Chidambaram Stadium,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,26,26,3,0,0,0,0,0,0,0,0,0,29,0,0,29,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,J Yadav,RD Chahar,SL Malinga,JJ Bumrah
1216492,4b57e452,2020-09-19,Sheikh Zayed Stadium,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,RG Sharma,Q de Kock,SA Yadav,SS Tiwary,HH Pandya,KA Pollard,KH Pandya,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
1216496,4b57e452,2020-09-22,Sharjah Cricket Stadium,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,21,21,3,0,0,0,0,0,0,0,0,0,24,0,0,24,YBK Jaiswal,SPD Smith,SV Samson,DA Miller,RV Uthappa,R Tewatia,R Parag,TK Curran,JC Archer,S Gopal,JD Unadkat
1216539,4b57e452,2020-09-25,Dubai International Cricket Stadium,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,10,15,1,0,0,0,0,0,0,0,0,0,9,0,0,9,PP Shaw,S Dhawan,RR Pant,SS Iyer,MP Stoinis,SO Hetmyer,AR Patel,A Mishra,K Rabada,A Nortje,Avesh Khan
392206,4b57e452,2009-05-02,New Wanderers Stadium,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,14,14,2,0,0,0,0,0,0,0,0,0,16,0,0,16,G Gambhir,DA Warner,AB de Villiers,TM Dilshan,KD Karthik,M Manhas,R Bhatia,PJ Sangwan,A Mishra,A Nehra,DP Nannes
392209,4b57e452,2009-05-04,Buffalo Park,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,31,33,2,1,0,0,0,0,0,2,0,0,39,0,16,55,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,DR Smith,TL Suman,Y Venugopal Rao,RJ Harris,RP Singh,Shoaib Ahmed,PP Ojha
392217,4b57e452,2009-05-09,De Beers Diamond Oval,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,10,13,0,1,0,0,0,0,0,0,0,0,12,0,0,12,GC Smith,NV Ojha,SA Asnodkar,RA Jadeja,YK Pathan,LA Carseldine,AS Raut,SK Warne,SM Harwood,A Singh,SK Trivedi
392224,4b57e452,2009-05-14,Kingsmead,Indian Premier League,T20,20,M Vijay,Chennai Super Kings,5,9,0,0,0,0,0,0,0,0,0,0,5,0,0,5,RV Uthappa,JH Kallis,R Dravid,LRPL Taylor,V Kohli,MV Boucher,RE van der Merwe,B Akhil,P Kumar,R Vinay Kumar,A Kumble
