date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-06,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,MA Agarwal,Rising Pune Supergiant,6,6,1,0,0,0,0,0,0,1,0,0,7,0,8,15,PA Patel,JC Buttler,RG Sharma,N Rana,AT Rayudu,KH Pandya,KA Pollard,HH Pandya,TG Southee,MJ McClenaghan,JJ Bumrah
2017-04-08,Holkar Cricket Stadium,Indian Premier League,T20,20,MA Agarwal,Rising Pune Supergiant,0,4,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,HM Amla,M Vohra,WP Saha,AR Patel,GJ Maxwell,DA Miller,MP Stoinis,Swapnil Singh,MM Sharma,Sandeep Sharma,T Natarajan
2017-04-11,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,MA Agarwal,Rising Pune Supergiant,20,19,2,0,0,0,0,0,0,0,0,1,22,0,6,28,AP Tare,SW Billings,SV Samson,RR Pant,CJ Anderson,CH Morris,KK Nair,PJ Cummins,A Mishra,Z Khan,S Nadeem
2017-04-29,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,MA Agarwal,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,LH Ferguson,JD Unadkat,DL Chahar,Imran Tahir
2018-04-08,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,MA Agarwal,Kings XI Punjab,7,5,0,1,0,0,0,0,0,0,0,0,9,0,0,9,C Munro,G Gambhir,SS Iyer,V Shankar,RR Pant,R Tewatia,CH Morris,DT Christian,A Mishra,TA Boult,Mohammed Shami
2018-04-13,M.Chinnaswamy Stadium,Indian Premier League,T20,20,MA Agarwal,Kings XI Punjab,15,11,3,0,0,0,0,0,0,0,0,0,20,0,0,20,Q de Kock,BB McCullum,V Kohli,AB de Villiers,SN Khan,Mandeep Singh,CR Woakes,Washington Sundar,UT Yadav,K Khejroliya,YS Chahal
2018-04-15,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,MA Agarwal,Kings XI Punjab,30,19,1,2,0,0,0,0,0,0,0,0,43,0,0,43,SR Watson,M Vijay,AT Rayudu,SW Billings,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,SN Thakur,Imran Tahir
2018-04-19,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,MA Agarwal,Kings XI Punjab,18,9,2,1,0,0,0,0,0,0,0,0,22,0,0,22,WP Saha,S Dhawan,KS Williamson,YK Pathan,MK Pandey,DJ Hooda,Shakib Al Hasan,CJ Jordan,B Kumar,Rashid Khan,S Kaul
2018-04-21,Eden Gardens,Indian Premier League,T20,20,MA Agarwal,Kings XI Punjab,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,TK Curran,PP Chawla,Shivam Mavi,Kuldeep Yadav
2018-04-23,Arun Jaitley Stadium,Indian Premier League,T20,20,MA Agarwal,Kings XI Punjab,21,16,3,0,0,0,0,0,0,0,0,0,26,0,0,26,PP Shaw,G Gambhir,GJ Maxwell,SS Iyer,RR Pant,DT Christian,R Tewatia,LE Plunkett,A Mishra,Avesh Khan,TA Boult
