match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
335983,48fd7349,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,116,54,8,9,0,0,0,0,0,0,0,0,164,0,0,164,K Goel,JR Hopes,KC Sangakkara,Yuvraj Singh,SM Katich,IK Pathan,P Dharmani,B Lee,PP Chawla,WA Mota,S Sreesanth
335989,48fd7349,2008-04-23,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,5,9,1,0,0,0,0,0,0,0,0,0,6,0,0,6,L Ronchi,ST Jayasuriya,RV Uthappa,SM Pollock,DJ Bravo,AM Nayar,MA Khote,Harbhajan Singh,A Nehra,VS Yeligati,DS Kulkarni
335993,48fd7349,2008-04-26,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC Ganguly,BB McCullum,RT Ponting,WP Saha,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
335996,48fd7349,2008-04-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,47,37,3,2,0,0,0,0,0,2,0,0,58,0,16,74,B Chipli,W Jaffer,LRPL Taylor,JH Kallis,MV Boucher,V Kohli,R Dravid,P Kumar,Z Khan,B Akhil,DW Steyn
419142,48fd7349,2010-04-06,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,14,15,0,0,0,0,0,0,0,0,0,0,14,0,0,14,S Dhawan,SR Tendulkar,SS Tiwary,AT Rayudu,DJ Bravo,KA Pollard,R Sathish,R McLaren,Harbhajan Singh,AN Ahmed,SL Malinga
419147,48fd7349,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,8,11,0,0,0,0,0,0,0,0,0,0,8,0,0,8,MD Mishra,AC Gilchrist,TL Suman,RG Sharma,A Symonds,DR Smith,B Sumanth,RP Singh,PP Ojha,RJ Harris,Harmeet Singh
419155,48fd7349,2010-04-15,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,15,18,2,0,0,0,0,0,0,0,0,0,17,0,0,17,V Sehwag,DA Warner,TM Dilshan,G Gambhir,KD Karthik,M Manhas,PD Collingwood,A Mishra,A Nehra,DP Nannes,UT Yadav
501211,48fd7349,2011-04-16,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,83,56,11,1,0,0,0,0,0,0,0,0,106,0,0,106,MA Agarwal,TM Dilshan,AUK Pathan,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,JJ van der Wath,DL Vettori,R Ninan,Z Khan
501215,48fd7349,2011-04-18,Nehru Stadium,Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,8,10,2,0,0,0,0,0,0,0,0,0,10,0,0,10,BB McCullum,DPMD Jayawardene,PA Patel,BJ Hodge,RA Jadeja,KM Jadhav,NLTC Perera,RV Gomez,R Vinay Kumar,RP Singh,RR Powar
501221,48fd7349,2011-04-22,Wankhede Stadium,Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,41,34,6,0,0,0,0,0,0,2,0,0,51,0,16,67,R Sathish,SR Tendulkar,AT Rayudu,RG Sharma,A Symonds,KA Pollard,JEC Franklin,Harbhajan Singh,AN Ahmed,MM Patel,SL Malinga
501226,48fd7349,2011-04-25,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,MEK Hussey,Chennai Super Kings,61,50,6,1,0,0,0,0,0,0,0,0,77,0,0,77,JD Ryder,MD Mishra,MK Pandey,RV Uthappa,Yuvraj Singh,M Manhas,NL McCullum,R Sharma,JE Taylor,M Kartik,AC Thomas
