match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
335983,d8699ab7,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,25,17,4,1,0,0,0,0,0,0,0,0,33,0,0,33,K Goel,JR Hopes,KC Sangakkara,Yuvraj Singh,SM Katich,IK Pathan,P Dharmani,B Lee,PP Chawla,WA Mota,S Sreesanth
335989,d8699ab7,2008-04-23,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,81,47,12,2,0,0,0,0,0,0,0,0,111,0,0,111,L Ronchi,ST Jayasuriya,RV Uthappa,SM Pollock,DJ Bravo,AM Nayar,MA Khote,Harbhajan Singh,A Nehra,VS Yeligati,DS Kulkarni
335993,d8699ab7,2008-04-26,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,70,50,6,3,0,0,0,0,0,0,0,0,92,0,0,92,SC Ganguly,BB McCullum,RT Ponting,WP Saha,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
335996,d8699ab7,2008-04-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,13,21,2,0,0,0,0,0,0,0,0,0,13,0,0,13,B Chipli,W Jaffer,LRPL Taylor,JH Kallis,MV Boucher,V Kohli,R Dravid,P Kumar,Z Khan,B Akhil,DW Steyn
392181,d8699ab7,2009-04-18,Newlands,Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,44,35,6,1,0,0,0,0,0,2,0,0,56,0,16,72,ST Jayasuriya,SR Tendulkar,S Dhawan,JP Duminy,DJ Bravo,AM Nayar,Harbhajan Singh,Z Khan,PR Shah,SL Malinga,RR Raje
392185,d8699ab7,2009-04-20,St George's Park,Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,65,37,9,2,0,0,0,0,0,1,0,0,92,0,8,100,P Kumar,RV Uthappa,JH Kallis,LRPL Taylor,KP Pietersen,R Dravid,V Kohli,R Bishnoi,R Vinay Kumar,DW Steyn,A Kumble
392189,d8699ab7,2009-04-23,Kingsmead,Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,57,28,5,3,0,0,0,0,0,0,0,0,82,0,0,82,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,KD Karthik,MK Tiwary,DL Vettori,DP Nannes,AM Salvi,PJ Sangwan,A Nehra
392196,d8699ab7,2009-04-27,Kingsmead,Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,49,36,8,0,0,0,0,0,0,0,0,0,63,0,0,63,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,DR Smith,AA Bilakhia,Y Venugopal Rao,PP Ojha,RP Singh,FH Edwards,Shoaib Ahmed
392202,d8699ab7,2009-04-30,SuperSport Park,Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,1,2,0,0,0,0,0,0,0,1,0,0,1,0,8,9,RJ Quiney,GC Smith,SA Asnodkar,RA Jadeja,YK Pathan,AD Mascarenhas,SK Warne,M Rawat,MM Patel,SK Trivedi,Kamran Khan
392206,d8699ab7,2009-05-02,New Wanderers Stadium,Indian Premier League,T20,20,ML Hayden,Chennai Super Kings,30,20,4,1,0,0,0,0,0,0,0,0,42,0,0,42,G Gambhir,DA Warner,AB de Villiers,TM Dilshan,KD Karthik,M Manhas,R Bhatia,PJ Sangwan,A Mishra,A Nehra,DP Nannes
