match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082606,f0f628c7,2017-04-16,Wankhede Stadium,Indian Premier League,T20,20,MM Patel,Gujarat Lions,0,0,0,0,24,1,36,0,0,0,0,0,0,25,0,25,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,HH Pandya,KH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082643,f0f628c7,2017-05-13,Green Park,Indian Premier League,T20,20,MM Patel,Gujarat Lions,0,1,0,0,18,0,22,0,0,0,0,0,-2,0,0,-2,DA Warner,S Dhawan,MC Henriques,V Shankar,DJ Hooda,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
335984,f0f628c7,2008-04-19,Feroz Shah Kotla,Indian Premier League,T20,20,MM Patel,Rajasthan Royals,0,0,0,0,18,0,25,0,0,0,0,0,0,0,0,0,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,KD Karthik,R Bhatia,M Manhas,DL Vettori,MF Maharoof,B Geeves,GD McGrath
335987,f0f628c7,2008-04-21,Sawai Mansingh Stadium,Indian Premier League,T20,20,MM Patel,Rajasthan Royals,0,0,0,0,24,2,36,1,0,0,0,0,0,58,0,58,K Goel,JR Hopes,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,IK Pathan,S Sohal,B Lee,PP Chawla,WA Mota,S Sreesanth
335990,f0f628c7,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,MM Patel,Rajasthan Royals,0,0,0,0,24,0,55,0,0,0,0,0,0,-6,0,-6,AC Gilchrist,VVS Laxman,Shahid Afridi,A Symonds,RG Sharma,AS Yadav,SB Bangar,WPUJC Vaas,RP Singh,PP Ojha,D Kalyankrishna
335992,f0f628c7,2008-04-26,M Chinnaswamy Stadium,Indian Premier League,T20,20,MM Patel,Rajasthan Royals,0,0,0,0,18,2,20,0,0,1,0,0,0,52,8,60,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,P Kumar,SB Joshi,Z Khan,R Vinay Kumar,A Kumble
336000,f0f628c7,2008-05-01,Sawai Mansingh Stadium,Indian Premier League,T20,20,MM Patel,Rajasthan Royals,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0,0,Salman Butt,SC Ganguly,AB Agarkar,BJ Hodge,DJ Hussey,LR Shukla,DB Das,WP Saha,Umar Gul,I Sharma,AB Dinda
336005,f0f628c7,2008-05-04,Sawai Mansingh Stadium,Indian Premier League,T20,20,MM Patel,Rajasthan Royals,0,0,0,0,24,2,16,0,0,0,0,0,0,56,0,56,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,M Muralitharan,M Ntini
336008,f0f628c7,2008-05-07,Dr DY Patil Sports Academy,Indian Premier League,T20,20,MM Patel,Rajasthan Royals,0,1,0,0,18,0,22,0,0,0,0,0,-2,0,0,-2,YV Takawale,ST Jayasuriya,RV Uthappa,DJ Bravo,AM Nayar,DJ Thornely,SM Pollock,SS Tiwary,RR Raje,A Nehra,DS Kulkarni
336011,f0f628c7,2008-05-09,Sawai Mansingh Stadium,Indian Premier League,T20,20,MM Patel,Rajasthan Royals,0,0,0,0,24,1,28,0,0,1,0,0,0,25,8,33,AC Gilchrist,HH Gibbs,SB Styris,RG Sharma,Shahid Afridi,SB Bangar,DB Ravi Teja,Y Venugopal Rao,RP Singh,PP Ojha,DP Vijaykumar
