match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1216534,3d8feaf8,2020-09-21,Dubai International Cricket Stadium,Indian Premier League,T20,20,MR Marsh,Sunrisers Hyderabad,0,1,0,0,4,0,6,0,0,0,0,0,-2,0,0,-2,D Padikkal,AJ Finch,V Kohli,AB de Villiers,S Dube,JR Philippe,Washington Sundar,UT Yadav,Navdeep Saini,DW Steyn,YS Chahal
1304073,3d8feaf8,2022-04-16,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,14,24,0,0,0,0,0,0,0,0,0,0,10,0,0,10,F du Plessis,Anuj Rawat,V Kohli,GJ Maxwell,SS Prabhudessai,Shahbaz Ahmed,KD Karthik,PWH de Silva,Mohammed Siraj,HV Patel,JR Hazlewood
1304087,3d8feaf8,2022-04-28,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,13,7,2,0,0,0,0,0,0,0,0,0,15,0,0,15,AJ Finch,VR Iyer,SS Iyer,B Indrajith,SP Narine,N Rana,AD Russell,RK Singh,UT Yadav,TG Southee,Harshit Rana
1304091,3d8feaf8,2022-05-01,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,37,20,3,3,0,0,0,0,0,0,0,0,56,0,0,56,Q de Kock,KL Rahul,DJ Hooda,MP Stoinis,KH Pandya,A Badoni,JO Holder,Mohsin Khan,K Gowtham,PVD Chameera,Ravi Bishnoi
1304096,3d8feaf8,2022-05-05,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,10,7,2,0,24,1,36,0,0,0,0,0,12,25,0,37,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Shashank Singh,SA Abbott,S Gopal,Kartik Tyagi,B Kumar,Umran Malik
1304101,3d8feaf8,2022-05-08,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,25,20,3,1,18,1,34,0,0,0,0,0,30,21,0,51,RD Gaikwad,DP Conway,S Dube,AT Rayudu,MS Dhoni,MM Ali,RV Uthappa,DJ Bravo,Simarjeet Singh,M Theekshana,Mukesh Choudhary
1304104,3d8feaf8,2022-05-11,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,89,64,5,7,18,2,25,0,0,0,0,0,118,50,0,168,YBK Jaiswal,JC Buttler,R Ashwin,D Padikkal,SV Samson,R Parag,HE van der Dussen,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
1304110,3d8feaf8,2022-05-16,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,63,49,4,3,0,0,0,0,0,0,0,0,81,0,0,81,JM Bairstow,S Dhawan,PBB Rajapaksa,LS Livingstone,MA Agarwal,JM Sharma,Harpreet Brar,R Dhawan,RD Chahar,K Rabada,Arshdeep Singh
1304115,3d8feaf8,2022-05-21,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,0,1,0,0,12,0,7,0,0,0,0,0,-2,6,0,4,Ishan Kishan,RG Sharma,D Brevis,Tilak Varma,TH David,Ramandeep Singh,DR Sams,HR Shokeen,JJ Bumrah,M Markande,RP Meredith
1359477,3d8feaf8,2023-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,KL Rahul,KR Mayers,DJ Hooda,KH Pandya,MP Stoinis,N Pooran,A Badoni,K Gowtham,Avesh Khan,Ravi Bishnoi,JD Unadkat
1359481,3d8feaf8,2023-04-04,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,4,4,1,0,19,1,24,1,0,0,0,0,5,33,0,38,J Little,WP Saha,Shubman Gill,B Sai Sudharsan,HH Pandya,V Shankar,DA Miller,R Tewatia,Rashid Khan,AS Joseph,Yash Dayal
1359494,3d8feaf8,2023-04-15,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,0,4,0,0,12,2,19,0,0,0,0,0,-2,50,0,48,V Kohli,F du Plessis,MK Lomror,GJ Maxwell,HV Patel,Shahbaz Ahmed,KD Karthik,Anuj Rawat,PWH de Silva,WD Parnell,Mohammed Siraj
1359502,3d8feaf8,2023-04-20,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,2,9,0,0,12,0,25,0,0,1,0,0,2,-6,8,4,JJ Roy,Liton Das,VR Iyer,N Rana,Mandeep Singh,RK Singh,SP Narine,AD Russell,AS Roy,UT Yadav,CV Varun
1359508,3d8feaf8,2023-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,25,15,5,0,13,0,16,0,0,0,0,0,34,0,0,34,T Natarajan,HC Brook,MA Agarwal,RA Tripathi,Abhishek Sharma,AK Markram,H Klaasen,Washington Sundar,M Jansen,M Markande,B Kumar
1359514,3d8feaf8,2023-04-29,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,63,39,1,6,24,4,27,0,1,0,0,0,88,122,0,210,T Natarajan,Abhishek Sharma,MA Agarwal,RA Tripathi,AK Markram,HC Brook,H Klaasen,Abdul Samad,AJ Hosein,M Markande,B Kumar
1359524,3d8feaf8,2023-05-06,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,26,17,3,1,18,2,21,0,0,0,0,0,35,50,0,85,HV Patel,V Kohli,F du Plessis,GJ Maxwell,MK Lomror,KD Karthik,Anuj Rawat,KM Jadhav,PWH de Silva,KV Sharma,Mohammed Siraj
1359529,3d8feaf8,2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,5,4,1,0,18,3,19,0,0,1,0,0,6,81,8,95,M Pathirana,RD Gaikwad,DP Conway,AM Rahane,MM Ali,S Dube,AT Rayudu,RA Jadeja,MS Dhoni,DL Chahar,TU Deshpande
1359533,3d8feaf8,2023-05-13,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,3,4,0,0,6,0,21,0,0,1,0,0,3,0,8,11,NT Ellis,P Simran Singh,S Dhawan,LS Livingstone,JM Sharma,SM Curran,Harpreet Brar,M Shahrukh Khan,Sikandar Raza,R Dhawan,RD Chahar
1422120,3d8feaf8,2024-03-23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,20,14,2,2,24,0,52,0,0,0,0,0,28,-6,0,22,Arshdeep Singh,S Dhawan,JM Bairstow,P Simran Singh,SM Curran,JM Sharma,LS Livingstone,Shashank Singh,Harpreet Brar,HV Patel,K Rabada
1422127,3d8feaf8,2024-03-28,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,23,12,5,0,0,0,0,0,0,0,0,0,34,0,0,34,N Burger,YBK Jaiswal,JC Buttler,SV Samson,R Parag,R Ashwin,Dhruv Jurel,SO Hetmyer,TA Boult,Avesh Khan,Sandeep Sharma
1422131,3d8feaf8,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,18,13,2,1,6,0,14,0,0,0,0,0,24,0,0,24,M Pathirana,RD Gaikwad,R Ravindra,AM Rahane,DJ Mitchell,S Dube,Sameer Rizvi,RA Jadeja,MS Dhoni,DL Chahar,TU Deshpande
1422134,3d8feaf8,2024-04-03,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Indian Premier League,T20,20,MR Marsh,Delhi Capitals,0,2,0,0,18,1,37,0,0,0,0,0,-2,19,0,17,VG Arora,PD Salt,SP Narine,A Raghuvanshi,AD Russell,SS Iyer,RK Singh,VR Iyer,Ramandeep Singh,MA Starc,Harshit Rana
