date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2022-03-28,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,MS Wade,Gujarat Titans,30,30,4,0,0,0,0,0,0,1,0,0,38,0,8,46,KL Rahul,Q de Kock,E Lewis,MK Pandey,DJ Hooda,A Badoni,KH Pandya,PVD Chameera,Mohsin Khan,Ravi Bishnoi,Avesh Khan
2022-04-02,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,MS Wade,Gujarat Titans,1,2,0,0,0,0,0,0,0,3,0,0,1,0,28,29,PP Shaw,TL Seifert,Mandeep Singh,RR Pant,Lalit Yadav,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,KK Ahmed,Mustafizur Rahman
2022-04-08,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,MS Wade,Gujarat Titans,6,7,1,0,0,0,0,0,0,1,0,1,7,0,14,21,MA Agarwal,S Dhawan,JM Bairstow,LS Livingstone,JM Sharma,OF Smith,M Shahrukh Khan,K Rabada,RD Chahar,VG Arora,Arshdeep Singh
2022-04-11,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,MS Wade,Gujarat Titans,19,21,3,0,0,0,0,0,0,0,0,0,22,0,0,22,Abhishek Sharma,KS Williamson,RA Tripathi,N Pooran,AK Markram,Shashank Singh,Washington Sundar,M Jansen,B Kumar,T Natarajan,Umran Malik
2022-04-14,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,MS Wade,Gujarat Titans,12,6,3,0,0,0,0,0,0,1,0,0,15,0,8,23,JC Buttler,D Padikkal,R Ashwin,SV Samson,HE van der Dussen,SO Hetmyer,R Parag,JDS Neesham,M Prasidh Krishna,YS Chahal,KR Sen
2022-05-10,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,MS Wade,Gujarat Titans,10,7,2,0,0,0,0,0,0,0,0,0,12,0,0,12,Q de Kock,KL Rahul,DJ Hooda,KS Sharma,KH Pandya,A Badoni,MP Stoinis,JO Holder,Mohsin Khan,PVD Chameera,Avesh Khan
2022-05-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,MS Wade,Gujarat Titans,20,16,2,0,0,0,0,0,0,1,0,0,22,0,8,30,RD Gaikwad,DP Conway,MM Ali,N Jagadeesan,S Dube,MS Dhoni,MJ Santner,PH Solanki,Simarjeet Singh,M Pathirana,Mukesh Choudhary
2022-05-19,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,MS Wade,Gujarat Titans,16,13,2,1,0,0,0,0,0,0,0,0,20,0,0,20,V Kohli,F du Plessis,GJ Maxwell,KD Karthik,RM Patidar,MK Lomror,Shahbaz Ahmed,HV Patel,PWH de Silva,JR Hazlewood,S Kaul
2022-05-24,"Eden Gardens, Kolkata",Indian Premier League,T20,20,MS Wade,Gujarat Titans,35,32,6,0,0,0,0,0,0,0,0,0,45,0,0,45,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,R Ashwin,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy
2022-05-29,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,MS Wade,Gujarat Titans,8,11,0,1,0,0,0,0,0,0,0,0,10,0,0,10,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Ashwin,R Parag,TA Boult,OC McCoy,M Prasidh Krishna,YS Chahal
2024-04-10,"Sawai Mansingh Stadium, Jaipur",Indian Premier League,T20,20,MS Wade,Gujarat Titans,4,7,0,0,0,0,0,0,0,1,0,0,4,0,8,12,KA Maharaj,YBK Jaiswal,JC Buttler,SV Samson,R Parag,SO Hetmyer,Dhruv Jurel,R Ashwin,TA Boult,Avesh Khan,KR Sen
2024-05-10,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,MS Wade,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TU Deshpande,AM Rahane,R Ravindra,RD Gaikwad,DJ Mitchell,MM Ali,S Dube,RA Jadeja,MS Dhoni,MJ Santner,SN Thakur
2011-04-17,Dr DY Patil Sports Academy,Indian Premier League,T20,20,MS Wade,Delhi Daredevils,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,JD Ryder,GC Smith,M Manhas,Yuvraj Singh,RV Uthappa,MD Mishra,WD Parnell,AA Jhunjhunwala,R Sharma,SB Wagh,AC Thomas
2011-04-26,Feroz Shah Kotla,Indian Premier League,T20,20,MS Wade,Delhi Daredevils,8,9,0,0,0,0,0,0,0,0,0,0,8,0,0,8,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,DL Vettori,A Mithun,J Syed Mohammad,Z Khan,S Aravind
2011-05-21,Feroz Shah Kotla,Indian Premier League,T20,20,MS Wade,Delhi Daredevils,11,20,0,0,0,0,0,0,0,0,0,0,7,0,0,7,MK Pandey,JP Faulkner,SC Ganguly,RV Uthappa,Yuvraj Singh,CJ Ferguson,S Rana,MR Marsh,SS Mundhe,R Sharma,AC Thomas
