match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082591,c3a96caf,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,24,16,5,0,0,0,0,0,0,1,0,0,31,0,8,39,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,A Nehra,Rashid Khan
1082595,c3a96caf,2017-04-08,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,12,10,3,0,0,0,0,0,0,0,0,0,15,0,0,15,AP Tare,SW Billings,KK Nair,SV Samson,RR Pant,CH Morris,CR Brathwaite,PJ Cummins,A Mishra,S Nadeem,Z Khan
1082598,c3a96caf,2017-04-10,Holkar Cricket Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,28,34,1,1,0,0,0,0,0,0,0,0,31,0,0,31,M Vohra,HM Amla,AR Patel,GJ Maxwell,WP Saha,DA Miller,MP Stoinis,MM Sharma,Sandeep Sharma,VR Aaron,T Natarajan
1082602,c3a96caf,2017-04-14,M Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,0,1,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,PA Patel,JC Buttler,RG Sharma,MJ McClenaghan,N Rana,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,JJ Bumrah,TG Southee
1082607,c3a96caf,2017-04-16,M Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,0,3,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,DT Christian,MK Tiwary,SN Thakur,JD Unadkat,RD Chahar,Imran Tahir
1082610,c3a96caf,2017-04-18,Saurashtra Cricket Association Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,DR Smith,BB McCullum,SK Raina,AJ Finch,KD Karthik,RA Jadeja,Ishan Kishan,AJ Tye,Basil Thampi,DS Kulkarni,S Kaushik
1082617,c3a96caf,2017-04-23,Eden Gardens,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,1,3,0,0,0,0,0,0,0,1,0,0,1,0,8,9,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082621,c3a96caf,2017-04-27,M Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,8,14,0,0,0,0,0,0,0,0,0,0,4,0,0,4,Ishan Kishan,BB McCullum,SK Raina,AJ Finch,RA Jadeja,KD Karthik,JP Faulkner,AJ Tye,Basil Thampi,NB Singh,Ankit Soni
1082628,c3a96caf,2017-05-01,Wankhede Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,17,13,3,0,0,0,0,0,0,0,0,0,22,0,0,22,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,KV Sharma,HH Pandya,MJ McClenaghan,SL Malinga,JJ Bumrah
1082633,c3a96caf,2017-05-05,M Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,46,40,5,2,0,0,0,0,0,1,0,0,59,0,8,67,HM Amla,MJ Guptill,SE Marsh,M Vohra,WP Saha,GJ Maxwell,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,T Natarajan
1082636,c3a96caf,2017-05-07,M Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,52,44,4,1,0,0,0,0,0,0,0,0,66,0,0,66,CA Lynn,SP Narine,C de Grandhomme,G Gambhir,MK Pandey,YK Pathan,SP Jackson,CR Woakes,UT Yadav,PP Chawla,AS Rajpoot
1136563,c3a96caf,2018-04-08,Eden Gardens,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,37,18,4,2,0,0,0,0,0,0,0,0,55,0,0,55,SP Narine,CA Lynn,RV Uthappa,N Rana,KD Karthik,RK Singh,AD Russell,R Vinay Kumar,PP Chawla,MG Johnson,Kuldeep Yadav
1136568,c3a96caf,2018-04-13,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,22,20,1,0,0,0,0,0,0,0,0,0,23,0,0,23,KL Rahul,MA Agarwal,AJ Finch,Yuvraj Singh,KK Nair,MP Stoinis,AR Patel,R Ashwin,AJ Tye,MM Sharma,Mujeeb Ur Rahman
1136571,c3a96caf,2018-04-15,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,47,25,6,1,0,0,0,0,0,0,0,0,65,0,0,65,AM Rahane,DJM Short,SV Samson,BA Stokes,JC Buttler,RA Tripathi,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
1136574,c3a96caf,2018-04-17,Wankhede Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,16,16,1,0,0,0,0,0,0,0,0,0,17,0,0,17,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman
1136579,c3a96caf,2018-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,17,10,1,1,0,0,0,0,0,0,0,0,24,0,0,24,JJ Roy,G Gambhir,SS Iyer,RR Pant,GJ Maxwell,R Tewatia,CH Morris,V Shankar,S Nadeem,HV Patel,TA Boult
1136584,c3a96caf,2018-04-25,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,32,19,1,3,0,0,0,0,0,1,0,0,47,0,8,55,SR Watson,AT Rayudu,SK Raina,SW Billings,RA Jadeja,MS Dhoni,DJ Bravo,Harbhajan Singh,DL Chahar,SN Thakur,Imran Tahir
1136589,c3a96caf,2018-04-29,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,19,15,0,2,0,0,0,0,0,0,0,0,23,0,0,23,CA Lynn,SP Narine,RV Uthappa,N Rana,AD Russell,KD Karthik,Shubman Gill,Shivam Mavi,PP Chawla,MG Johnson,Kuldeep Yadav
1136591,c3a96caf,2018-05-01,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,14,10,1,1,0,0,0,0,0,1,0,0,19,0,8,27,SA Yadav,Ishan Kishan,JP Duminy,RG Sharma,KA Pollard,HH Pandya,KH Pandya,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah
1136595,c3a96caf,2018-05-05,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,7,13,0,0,0,0,0,0,0,1,0,0,3,0,8,11,SR Watson,AT Rayudu,SK Raina,DR Shorey,MS Dhoni,DJ Bravo,RA Jadeja,DJ Willey,Harbhajan Singh,L Ngidi,SN Thakur
1136599,c3a96caf,2018-05-07,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,21,23,1,0,0,0,0,0,0,1,0,0,22,0,8,30,AD Hales,S Dhawan,KS Williamson,MK Pandey,Shakib Al Hasan,YK Pathan,WP Saha,Rashid Khan,B Kumar,S Kaul,Sandeep Sharma
1136605,c3a96caf,2018-05-12,Arun Jaitley Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,13,14,0,1,0,0,0,0,0,0,0,0,15,0,0,15,PP Shaw,JJ Roy,SS Iyer,RR Pant,V Shankar,Abhishek Sharma,HV Patel,A Mishra,S Lamichhane,CJ Dala,TA Boult
1136608,c3a96caf,2018-05-14,Holkar Cricket Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KL Rahul,CH Gayle,KK Nair,AJ Finch,MP Stoinis,MA Agarwal,AR Patel,R Ashwin,AJ Tye,MM Sharma,AS Rajpoot
1136611,c3a96caf,2018-05-17,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,4,6,0,0,0,0,0,0,0,0,0,0,4,0,0,4,S Dhawan,AD Hales,KS Williamson,MK Pandey,DJ Hooda,Shakib Al Hasan,SP Goswami,Rashid Khan,S Kaul,Sandeep Sharma,Basil Thampi
1136613,c3a96caf,2018-05-19,Sawai Mansingh Stadium,Indian Premier League,T20,20,Mandeep Singh,Royal Challengers Bangalore,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,RA Tripathi,JC Archer,AM Rahane,SV Samson,H Klaasen,K Gowtham,STR Binny,S Gopal,IS Sodhi,JD Unadkat,B Laughlin
1175359,c3a96caf,2019-03-25,Sawai Mansingh Stadium,Indian Premier League,T20,20,Mandeep Singh,Kings XI Punjab,5,2,0,0,0,0,0,0,0,0,0,0,5,0,0,5,AM Rahane,JC Buttler,SV Samson,SPD Smith,BA Stokes,RA Tripathi,K Gowtham,JC Archer,JD Unadkat,S Gopal,DS Kulkarni
