date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,2,3,0,0,24,1,28,1,0,0,0,0,2,33,0,35,HM Amla,M Vohra,GJ Maxwell,EJG Morgan,DA Miller,WP Saha,AR Patel,MM Sharma,KC Cariappa,I Sharma,Sandeep Sharma
2017-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,0,0,0,0,24,1,13,1,0,0,0,0,0,39,0,39,LMP Simmons,PA Patel,N Rana,RG Sharma,HH Pandya,KA Pollard,KV Sharma,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga
2017-05-13,Green Park,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,0,0,0,0,18,0,18,0,0,0,0,0,0,2,0,2,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,PJ Sangwan,Ankit Soni,P Kumar,MM Patel
2018-04-24,Wankhede Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,14,10,2,0,18,1,23,0,0,0,0,0,18,25,0,43,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman
2018-04-26,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,4,2,1,0,12,0,24,0,0,0,0,0,5,-4,0,1,KL Rahul,CH Gayle,MA Agarwal,KK Nair,AJ Finch,MK Tiwary,R Ashwin,AJ Tye,BB Sran,AS Rajpoot,Mujeeb Ur Rahman
2019-03-31,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,0,0,0,0,24,4,15,1,0,0,1,0,0,122,12,134,PA Patel,SO Hetmyer,V Kohli,AB de Villiers,MM Ali,S Dube,C de Grandhomme,P Ray Barman,UT Yadav,Mohammed Siraj,YS Chahal
2019-04-04,Arun Jaitley Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,17,9,2,1,24,2,23,0,0,2,0,0,21,54,16,91,PP Shaw,S Dhawan,SS Iyer,RR Pant,R Tewatia,CA Ingram,CH Morris,AR Patel,K Rabada,I Sharma,S Lamichhane
2019-04-06,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,11,14,0,1,24,1,13,0,0,0,0,0,13,31,0,44,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,KA Pollard,HH Pandya,RD Chahar,AS Joseph,JP Behrendorff,JJ Bumrah
2019-04-08,Punjab Cricket Association IS Bindra Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,12,7,0,0,23,0,43,0,0,0,0,0,12,-4,0,8,KL Rahul,CH Gayle,MA Agarwal,DA Miller,Mandeep Singh,SM Curran,SN Khan,R Ashwin,Mohammed Shami,Mujeeb Ur Rahman,AS Rajpoot
2019-04-29,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,20,13,0,2,18,0,28,0,0,0,0,0,28,0,0,28,KL Rahul,CH Gayle,MA Agarwal,N Pooran,DA Miller,R Ashwin,P Simran Singh,M Ashwin,Mujeeb Ur Rahman,Mohammed Shami,Arshdeep Singh
2019-05-02,Wankhede Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,37,22,2,3,24,1,24,0,0,2,0,0,53,27,16,96,RG Sharma,Q de Kock,SA Yadav,E Lewis,HH Pandya,KA Pollard,KH Pandya,BB Sran,RD Chahar,SL Malinga,JJ Bumrah
2019-05-04,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,4,3,1,0,14,0,26,0,0,0,0,0,5,-4,0,1,PA Patel,V Kohli,AB de Villiers,SO Hetmyer,Gurkeerat Singh,C de Grandhomme,Washington Sundar,UT Yadav,K Khejroliya,YS Chahal,Navdeep Saini
2019-05-08,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,20,13,3,1,24,0,29,0,0,2,0,0,29,0,16,45,PP Shaw,S Dhawan,SS Iyer,RR Pant,C Munro,AR Patel,SE Rutherford,KMA Paul,A Mishra,TA Boult,I Sharma
2020-09-26,Sheikh Zayed Stadium,Indian Premier League,T20,20,Mohammad Nabi,Sunrisers Hyderabad,11,8,2,0,24,0,24,0,0,0,0,0,13,2,0,15,Shubman Gill,SP Narine,N Rana,KD Karthik,EJG Morgan,AD Russell,PJ Cummins,Shivam Mavi,Kuldeep Yadav,KL Nagarkoti,CV Varun
