match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082611,2f49c897,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Mohammed Siraj,Sunrisers Hyderabad,0,0,0,0,24,2,39,0,0,0,0,0,0,50,0,50,SV Samson,SW Billings,KK Nair,RR Pant,SS Iyer,AD Mathews,CH Morris,J Yadav,PJ Cummins,A Mishra,Z Khan
1082615,2f49c897,2017-04-22,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,Mohammed Siraj,Sunrisers Hyderabad,0,0,0,0,24,0,43,0,0,0,0,0,0,-2,0,-2,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,BA Stokes,MK Tiwary,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
1082627,2f49c897,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Mohammed Siraj,Sunrisers Hyderabad,0,0,0,0,24,2,26,0,0,0,0,0,0,52,0,52,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SP Jackson,C de Grandhomme,CR Woakes,NM Coulter-Nile,UT Yadav,Kuldeep Yadav
1082630,2f49c897,2017-05-02,Feroz Shah Kotla,Indian Premier League,T20,20,Mohammed Siraj,Sunrisers Hyderabad,0,0,0,0,24,2,41,1,0,1,0,0,0,56,8,64,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,CH Morris,AD Mathews,J Yadav,K Rabada,A Mishra,Mohammed Shami
1082638,2f49c897,2017-05-08,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,Mohammed Siraj,Sunrisers Hyderabad,0,0,0,0,18,0,33,0,0,0,0,0,0,-2,0,-2,LMP Simmons,PA Patel,N Rana,RG Sharma,HH Pandya,KA Pollard,KV Sharma,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga
1082643,2f49c897,2017-05-13,Green Park,Indian Premier League,T20,20,Mohammed Siraj,Sunrisers Hyderabad,0,0,0,0,24,4,32,2,0,0,0,0,0,124,0,124,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,PJ Sangwan,Ankit Soni,P Kumar,MM Patel
1136574,2f49c897,2018-04-17,Wankhede Stadium,Indian Premier League,T20,20,Mohammed Siraj,Royal Challengers Bangalore,8,3,0,1,24,0,34,0,0,0,0,0,10,0,0,10,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman
1136579,2f49c897,2018-04-21,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mohammed Siraj,Royal Challengers Bangalore,0,0,0,0,24,0,36,0,0,2,0,0,0,0,16,16,JJ Roy,G Gambhir,SS Iyer,RR Pant,GJ Maxwell,R Tewatia,CH Morris,V Shankar,S Nadeem,HV Patel,TA Boult
1136584,2f49c897,2018-04-25,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mohammed Siraj,Royal Challengers Bangalore,0,0,0,0,24,0,48,0,0,1,0,0,0,-4,8,4,SR Watson,AT Rayudu,SK Raina,SW Billings,RA Jadeja,MS Dhoni,DJ Bravo,Harbhajan Singh,DL Chahar,SN Thakur,Imran Tahir
1136589,2f49c897,2018-04-29,M.Chinnaswamy Stadium,Indian Premier League,T20,20,Mohammed Siraj,Royal Challengers Bangalore,0,0,0,0,24,3,40,0,0,0,0,0,0,79,0,79,CA Lynn,SP Narine,RV Uthappa,N Rana,AD Russell,KD Karthik,Shubman Gill,Shivam Mavi,PP Chawla,MG Johnson,Kuldeep Yadav
