date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2022-03-31,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,21,0,39,0,0,0,0,0,0,-4,0,-4,KL Rahul,Q de Kock,MK Pandey,E Lewis,DJ Hooda,A Badoni,KH Pandya,PVD Chameera,AJ Tye,Ravi Bishnoi,Avesh Khan
2022-04-03,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,2,2,0,0,24,1,52,0,0,0,0,0,2,19,0,21,MA Agarwal,S Dhawan,PBB Rajapaksa,LS Livingstone,JM Sharma,M Shahrukh Khan,OF Smith,K Rabada,RD Chahar,VG Arora,Arshdeep Singh
2022-04-09,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,24,1,30,0,0,0,0,0,0,25,0,25,Abhishek Sharma,KS Williamson,RA Tripathi,N Pooran,AK Markram,Shashank Singh,Washington Sundar,B Kumar,M Jansen,Umran Malik,T Natarajan
2022-04-12,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,18,1,40,0,0,0,0,0,0,19,0,19,F du Plessis,Anuj Rawat,V Kohli,GJ Maxwell,Shahbaz Ahmed,SS Prabhudessai,KD Karthik,PWH de Silva,Akash Deep,Mohammed Siraj,JR Hazlewood
2022-04-17,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,18,1,18,0,0,0,0,0,0,27,0,27,WP Saha,Shubman Gill,V Shankar,A Manohar,DA Miller,R Tewatia,Rashid Khan,AS Joseph,LH Ferguson,Mohammed Shami,Yash Dayal
2022-04-21,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,18,3,19,1,0,1,0,0,0,89,8,97,RG Sharma,Ishan Kishan,D Brevis,SA Yadav,Tilak Varma,HR Shokeen,KA Pollard,DR Sams,JD Unadkat,RP Meredith,JJ Bumrah
2022-04-25,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,24,0,36,0,0,1,0,0,0,0,8,8,MA Agarwal,S Dhawan,PBB Rajapaksa,LS Livingstone,JM Bairstow,JM Sharma,R Dhawan,K Rabada,RD Chahar,Arshdeep Singh,Sandeep Sharma
2022-05-01,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,24,4,46,1,0,0,0,0,0,112,0,112,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Shashank Singh,Washington Sundar,M Jansen,B Kumar,T Natarajan,Umran Malik
2022-05-04,"Maharashtra Cricket Association Stadium, Pune",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,18,0,30,0,0,1,0,0,0,0,8,8,V Kohli,F du Plessis,GJ Maxwell,MK Lomror,RM Patidar,KD Karthik,PWH de Silva,Shahbaz Ahmed,HV Patel,Mohammed Siraj,JR Hazlewood
2022-05-08,"Dr DY Patil Sports Academy, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,18,2,22,1,0,0,0,0,0,58,0,58,DA Warner,KS Bharat,MR Marsh,RR Pant,R Powell,RV Patel,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,KK Ahmed
2022-05-12,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,4,4,1,0,24,3,24,2,0,0,0,0,5,97,0,102,Ishan Kishan,RG Sharma,DR Sams,Tilak Varma,T Stubbs,HR Shokeen,TH David,Ramandeep Singh,JJ Bumrah,RP Meredith,K Kartikeya
2022-05-15,"Wankhede Stadium, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,18,0,28,0,0,0,0,0,0,0,0,0,WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,AS Joseph,Yash Dayal,Mohammed Shami
2022-05-20,"Brabourne Stadium, Mumbai",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,24,0,41,0,0,0,0,0,0,-2,0,-2,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Ashwin,SO Hetmyer,R Parag,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy
2024-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,Mukesh Choudhary,Chennai Super Kings,0,0,0,0,7,0,27,0,0,0,0,0,0,0,0,0,T Natarajan,TM Head,Abhishek Sharma,AK Markram,Shahbaz Ahmed,H Klaasen,Nithish Kumar Reddy,Abdul Samad,PJ Cummins,B Kumar,M Markande
